,estado,evidencia,fecha_revision
2021-01-04,cero_confirmado,fixture sintético de prueba,2026-09-12
2021-01-11,observada,fixture sintético de prueba,2026-09-12
2021-01-18,observada,fixture sintético de prueba,2026-09-12
2021-01-25,observada,fixture sintético de prueba,2026-09-12
2021-02-01,observada,fixture sintético de prueba,2026-09-12
2021-02-08,observada,fixture sintético de prueba,2026-09-12
2021-02-15,observada,fixture sintético de prueba,2026-09-12
2021-02-22,observada,fixture sintético de prueba,2026-09-12
2021-03-01,observada,fixture sintético de prueba,2026-09-12
2021-03-08,observada,fixture sintético de prueba,2026-09-12
2021-03-15,observada,fixture sintético de prueba,2026-09-12
2021-03-22,observada,fixture sintético de prueba,2026-09-12
2021-03-29,observada,fixture sintético de prueba,2026-09-12
2021-04-05,cero_confirmado,fixture sintético de prueba,2026-09-12
2021-04-12,observada,fixture sintético de prueba,2026-09-12
2021-04-19,observada,fixture sintético de prueba,2026-09-12
2021-04-26,observada,fixture sintético de prueba,2026-09-12
2021-05-03,observada,fixture sintético de prueba,2026-09-12
2021-05-10,observada,fixture sintético de prueba,2026-09-12
2021-05-17,observada,fixture sintético de prueba,2026-09-12
2021-05-24,observada,fixture sintético de prueba,2026-09-12
2021-05-31,observada,fixture sintético de prueba,2026-09-12
2021-06-07,observada,fixture sintético de prueba,2026-09-12
2021-06-14,observada,fixture sintético de prueba,2026-09-12
2021-06-21,observada,fixture sintético de prueba,2026-09-12
2021-06-28,observada,fixture sintético de prueba,2026-09-12
2021-07-05,cero_confirmado,fixture sintético de prueba,2026-09-12
2021-07-12,observada,fixture sintético de prueba,2026-09-12
2021-07-19,observada,fixture sintético de prueba,2026-09-12
2021-07-26,observada,fixture sintético de prueba,2026-09-12
2021-08-02,observada,fixture sintético de prueba,2026-09-12
2021-08-09,observada,fixture sintético de prueba,2026-09-12
2021-08-16,observada,fixture sintético de prueba,2026-09-12
2021-08-23,observada,fixture sintético de prueba,2026-09-12
2021-08-30,observada,fixture sintético de prueba,2026-09-12
2021-09-06,observada,fixture sintético de prueba,2026-09-12
2021-09-13,observada,fixture sintético de prueba,2026-09-12
2021-09-20,observada,fixture sintético de prueba,2026-09-12
2021-09-27,observada,fixture sintético de prueba,2026-09-12
2021-10-04,cero_confirmado,fixture sintético de prueba,2026-09-12
2021-10-11,observada,fixture sintético de prueba,2026-09-12
2021-10-18,observada,fixture sintético de prueba,2026-09-12
2021-10-25,observada,fixture sintético de prueba,2026-09-12
2021-11-01,observada,fixture sintético de prueba,2026-09-12
2021-11-08,observada,fixture sintético de prueba,2026-09-12
2021-11-15,observada,fixture sintético de prueba,2026-09-12
2021-11-22,observada,fixture sintético de prueba,2026-09-12
2021-11-29,observada,fixture sintético de prueba,2026-09-12
2021-12-06,observada,fixture sintético de prueba,2026-09-12
2021-12-13,observada,fixture sintético de prueba,2026-09-12
2021-12-20,observada,fixture sintético de prueba,2026-09-12
2021-12-27,observada,fixture sintético de prueba,2026-09-12
2022-01-03,cero_confirmado,fixture sintético de prueba,2026-09-12
2022-01-10,observada,fixture sintético de prueba,2026-09-12
2022-01-17,observada,fixture sintético de prueba,2026-09-12
2022-01-24,observada,fixture sintético de prueba,2026-09-12
2022-01-31,observada,fixture sintético de prueba,2026-09-12
2022-02-07,observada,fixture sintético de prueba,2026-09-12
2022-02-14,observada,fixture sintético de prueba,2026-09-12
2022-02-21,observada,fixture sintético de prueba,2026-09-12
2022-02-28,observada,fixture sintético de prueba,2026-09-12
2022-03-07,observada,fixture sintético de prueba,2026-09-12
2022-03-14,observada,fixture sintético de prueba,2026-09-12
2022-03-21,observada,fixture sintético de prueba,2026-09-12
2022-03-28,observada,fixture sintético de prueba,2026-09-12
2022-04-04,cero_confirmado,fixture sintético de prueba,2026-09-12
2022-04-11,observada,fixture sintético de prueba,2026-09-12
2022-04-18,observada,fixture sintético de prueba,2026-09-12
2022-04-25,observada,fixture sintético de prueba,2026-09-12
2022-05-02,observada,fixture sintético de prueba,2026-09-12
2022-05-09,observada,fixture sintético de prueba,2026-09-12
2022-05-16,observada,fixture sintético de prueba,2026-09-12
2022-05-23,observada,fixture sintético de prueba,2026-09-12
2022-05-30,observada,fixture sintético de prueba,2026-09-12
2022-06-06,observada,fixture sintético de prueba,2026-09-12
2022-06-13,observada,fixture sintético de prueba,2026-09-12
2022-06-20,observada,fixture sintético de prueba,2026-09-12
2022-06-27,observada,fixture sintético de prueba,2026-09-12
2022-07-04,cero_confirmado,fixture sintético de prueba,2026-09-12
2022-07-11,observada,fixture sintético de prueba,2026-09-12
2022-07-18,observada,fixture sintético de prueba,2026-09-12
2022-07-25,observada,fixture sintético de prueba,2026-09-12
2022-08-01,observada,fixture sintético de prueba,2026-09-12
2022-08-08,observada,fixture sintético de prueba,2026-09-12
2022-08-15,observada,fixture sintético de prueba,2026-09-12
2022-08-22,observada,fixture sintético de prueba,2026-09-12
2022-08-29,observada,fixture sintético de prueba,2026-09-12
2022-09-05,observada,fixture sintético de prueba,2026-09-12
2022-09-12,observada,fixture sintético de prueba,2026-09-12
2022-09-19,observada,fixture sintético de prueba,2026-09-12
2022-09-26,observada,fixture sintético de prueba,2026-09-12
2022-10-03,cero_confirmado,fixture sintético de prueba,2026-09-12
2022-10-10,observada,fixture sintético de prueba,2026-09-12
2022-10-17,observada,fixture sintético de prueba,2026-09-12
2022-10-24,observada,fixture sintético de prueba,2026-09-12
2022-10-31,observada,fixture sintético de prueba,2026-09-12
2022-11-07,observada,fixture sintético de prueba,2026-09-12
2022-11-14,observada,fixture sintético de prueba,2026-09-12
2022-11-21,observada,fixture sintético de prueba,2026-09-12
2022-11-28,observada,fixture sintético de prueba,2026-09-12
2022-12-05,observada,fixture sintético de prueba,2026-09-12
2022-12-12,observada,fixture sintético de prueba,2026-09-12
2022-12-19,observada,fixture sintético de prueba,2026-09-12
2022-12-26,observada,fixture sintético de prueba,2026-09-12
2023-01-02,cero_confirmado,fixture sintético de prueba,2026-09-12
2023-01-09,observada,fixture sintético de prueba,2026-09-12
2023-01-16,observada,fixture sintético de prueba,2026-09-12
2023-01-23,observada,fixture sintético de prueba,2026-09-12
2023-01-30,observada,fixture sintético de prueba,2026-09-12
2023-02-06,observada,fixture sintético de prueba,2026-09-12
