horizonte,stat,ml,peso,mse,n
1,ets,ridge_0.1,0.25,124.04642636044973,8
1,ets,ridge_0.1,0.5,430.25922877065375,8
1,ets,ridge_0.1,0.75,982.90556493267,8
1,ets,ridge_1,0.25,268.61913091858963,8
1,ets,ridge_1,0.5,530.1880438629737,8
1,ets,ridge_1,0.75,1034.64347850561,8
1,ets,ridge_10,0.25,638.978551211499,8
1,ets,ridge_10,0.5,729.557629611307,8
1,ets,ridge_10,0.75,1110.5599241563068,8
1,ets,rf,0.25,783.5304520058373,8
1,ets,rf,0.5,735.7618005810456,8
1,ets,rf,0.75,1068.580128194599,8
1,arima,ridge_0.1,0.25,204.29391849251957,8
1,arima,ridge_0.1,0.5,576.0399834554484,8
1,arima,ridge_0.1,0.75,1179.5053525908456,8
1,arima,ridge_1,0.25,422.2674771136799,8
1,arima,ridge_1,0.5,773.8366039651289,8
1,arima,ridge_1,0.75,1304.644120226806,8
1,arima,ridge_10,0.25,951.1583785568645,8
1,arima,ridge_10,0.5,1184.5814979138293,8
1,arima,ridge_10,0.75,1539.092047027778,8
1,arima,rf,0.25,1055.5570000698694,8
1,arima,rf,0.5,1137.2479631751235,8
1,arima,rf,0.75,1456.9589717847373,8
2,ets,ridge_0.1,0.25,1500.3392510793076,8
2,ets,ridge_0.1,0.5,5647.607055823063,8
2,ets,ridge_0.1,0.75,12601.186539523183,8
2,ets,ridge_1,0.25,1723.1837934473328,8
2,ets,ridge_1,0.5,5935.442971943085,8
2,ets,ridge_1,0.75,12814.740941520533,8
2,ets,ridge_10,0.25,3489.869029935115,8
2,ets,ridge_10,0.5,7833.708151430874,8
2,ets,ridge_10,0.75,14124.111042179058,8
2,ets,rf,0.25,2914.389915115426,8
2,ets,rf,0.5,7282.680581974538,8
2,ets,rf,0.75,13764.909844329286,8
2,arima,ridge_0.1,0.25,1339.8508579647014,8
2,arima,ridge_0.1,0.5,4806.629297248262,8
2,arima,ridge_0.1,0.75,10559.718443142601,8
2,arima,ridge_1,0.25,1538.4215640655807,8
2,arima,ridge_1,0.5,5062.100098345423,8
2,arima,ridge_1,0.75,10748.999008872803,8
2,arima,ridge_10,0.25,3257.4266727837235,8
2,arima,ridge_10,0.5,6896.79177414036,8
2,arima,ridge_10,0.75,12010.68898176169,8
2,arima,rf,0.25,2657.520443751164,8
2,arima,rf,0.5,6313.194719066862,8
2,arima,rf,0.75,11627.060669699045,8
3,ets,ridge_0.1,0.25,9336.528109761544,8
3,ets,ridge_0.1,0.5,12652.800056102478,8
3,ets,ridge_0.1,0.75,17137.189103536064,8
3,ets,ridge_1,0.25,11138.995119287358,8
3,ets,ridge_1,0.5,13930.50517048035,8
3,ets,ridge_1,0.75,17814.07188140533,8
3,ets,ridge_10,0.25,14637.359264880215,8
3,ets,ridge_10,0.5,16175.604966417042,8
3,ets,ridge_10,0.75,18893.050295477744,8
3,ets,rf,0.25,13830.857858986936,8
3,ets,rf,0.5,15419.396428858963,8
3,ets,rf,0.75,18405.675559884086,8
3,arima,ridge_0.1,0.25,8781.226004902559,8
3,arima,ridge_0.1,0.5,11239.05043306689,8
3,arima,ridge_0.1,0.75,14561.84654900625,8
3,arima,ridge_1,0.25,10781.46156418441,8
3,arima,ridge_1,0.5,12780.446947119477,8
3,arima,ridge_1,0.75,15436.497876631554,8
3,arima,ridge_10,0.25,14687.917512834394,8
3,arima,ridge_10,0.5,15569.669147132341,8
3,arima,ridge_10,0.75,16923.568093761096,8
3,arima,rf,0.25,14014.234501248951,8
3,arima,rf,0.5,14990.551801984708,8
3,arima,rf,0.75,16569.01175247527,8
4,ets,ridge_0.1,0.25,14791.427688346696,8
4,ets,ridge_0.1,0.5,16517.257104536406,8
4,ets,ridge_0.1,0.75,19554.517782028663,8
4,ets,ridge_1,0.25,15696.338631055682,8
4,ets,ridge_1,0.5,17093.22270996125,8
4,ets,ridge_1,0.75,19828.84640655051,8
4,ets,ridge_10,0.25,17444.82401963758,8
4,ets,ridge_10,0.5,18150.700350829153,8
4,ets,ridge_10,0.75,20303.495584557786,8
4,ets,rf,0.25,20124.653256039153,8
4,ets,rf,0.5,19942.266207430574,8
4,ets,rf,0.75,21201.785029025337,8
4,arima,ridge_0.1,0.25,14719.918213113186,8
4,arima,ridge_0.1,0.5,15871.877099612737,8
4,arima,ridge_0.1,0.75,17832.906192958184,8
4,arima,ridge_1,0.25,15865.017898132759,8
4,arima,ridge_1,0.5,16768.09436145169,8
4,arima,ridge_1,0.75,18347.42355979062,8
4,arima,ridge_10,0.25,17974.61686541637,8
4,arima,ridge_10,0.5,18307.056773921886,8
4,arima,ridge_10,0.75,19183.186316499607,8
4,arima,rf,0.25,20666.84723770788,8
4,arima,rf,0.5,20115.157478376543,8
4,arima,rf,0.75,20093.8768968571,8
