PROVEEDOR,fecha,NUMERO,CANT,U#MEDIDA,descripcion,importe_nominal,P#UNITARIO,CLASIFICACION,SUBCLASIFICACION,semana_inicio,es_sintetico,metodo_sintesis,registro_id,descripcion_normalizada,motivo
REPOSTEARTE,2022-01-03,ND,1.0,pz,Transfer,45.0,45.0,DECORACION,,2022-01-03,False,,2,TRANSFER,
REPOSTEARTE,2022-01-03,ND,1.0,pz,base 28cm,10.5,10.5,BASES,,2022-01-03,False,,3,BASE 28CM,
REPOSTEARTE,2022-01-03,ND,1.0,pz,duya,40.0,40.0,HERRAMIENTA,,2022-01-03,False,,4,DUYA,
REPOSTEARTE,2022-01-03,ND,2.0,pz,mangas,10.0,5.0,CONSUMIBLES,,2022-01-03,False,,5,MANGAS,
REPOSTEARTE,2022-01-03,ND,50.0,gr,perlas,17.5,350.0,DECORACION,,2022-01-03,False,,6,PERLAS,
REPOSTEARTE,2022-01-03,ND,1.0,paq,capacillos ,45.0,45.0,CAPACILLOS,,2022-01-03,False,,7,CAPACILLOS,
ESTRELLA,2022-01-11,46337,100.0,gr,Turin amargo,26.5,265.0,CHOCOLATE,,2022-01-10,False,,8,TURIN AMARGO,
ESTRELLA,2022-01-11,46337,1.0,kg,chantilli,68.5,68.5,CHANTILLY,,2022-01-10,False,,9,CHANTILLI,
ESTRELLA,2022-01-11,46337,5.0,pz,Domo mantecada 6 cavidades,42.5,8.5,EMPAQUE,,2022-01-10,False,,10,DOMO MANTECADA 6 CAVIDADES,
REPOSTEARTE,2022-01-11,ND,1.0,pz,DESCONOCIDO,238.0,238.0,NO DEFINIDO,,2022-01-10,False,,11,DESCONOCIDO,
REPOSTEARTE,2022-01-11,ND,2.0,pz,Transfer,90.0,45.0,DECORACION,,2022-01-10,False,,12,TRANSFER,
REPOSTEARTE,2022-01-11,ND,1.0,paq,capacillos,39.0,39.0,CAPACILLOS,,2022-01-10,False,,13,CAPACILLOS,
REPOSTEARTE,2022-01-11,ND,2.0,Kg,Foundant,166.0,83.0,FONDANT,,2022-01-10,False,,14,FOUNDANT,
REPOSTEARTE,2022-01-11,ND,1.0,paq,srpinkles,52.0,52.0,DECORACION,,2022-01-10,False,,15,SRPINKLES,
REPOSTEARTE,2022-01-11,ND,1.0,pz,base,10.5,10.5,BASES,,2022-01-10,False,,16,BASE,
REPOSTEARTE,2022-01-11,ND,50.0,gr,perlas,17.5,350.0,DECORACION,,2022-01-10,False,,17,PERLAS,
REPOSTEARTE,2022-01-11,ND,10.0,gr,rutz,25.0,2500.0,DECORACION,,2022-01-10,False,,18,RUTZ,
B. AURRERA,2022-01-12,847707697575074188728,2.0,pz,Queso philadelphia,63.0,31.5,RELLENO,,2022-01-10,False,,19,QUESO PHILADELPHIA,
OXXO,2022-01-13,2246073,1.0,paq,manteca,43.5,43.5,OTROS,,2022-01-10,False,,20,MANTECA,
ESTRELLA,2022-01-14,46422,1.0,kg,Chantilli,68.5,68.5,CHANTILLY,,2022-01-10,False,,21,CHANTILLI,
