horizonte,stat,ml,peso,mse,n
1,ets,ridge_0.1,0.25,1421865.6557904573,8
1,ets,ridge_0.1,0.5,1153146.5922800114,8
1,ets,ridge_0.1,0.75,944827.406052224,8
1,ets,ridge_1,0.25,1342710.6195833294,8
1,ets,ridge_1,0.5,1115206.0008079337,8
1,ets,ridge_1,0.75,933271.826649189,8
1,ets,ridge_10,0.25,1089261.7529094731,8
1,ets,ridge_10,0.5,976156.679617175,8
1,ets,ridge_10,0.75,878705.4610163824,8
1,ets,rf,0.25,912804.0009896535,8
1,ets,rf,0.5,869540.601789453,8
1,ets,rf,0.75,830908.6338286003,8
1,arima,ridge_0.1,0.25,1443475.3390982242,8
1,arima,ridge_0.1,0.5,1182250.6737663788,8
1,arima,ridge_0.1,0.75,967310.6005880263,8
1,arima,ridge_1,0.25,1358875.82333724,8
1,arima,ridge_1,0.5,1137050.7762224923,8
1,arima,ridge_1,0.75,950310.5416311348,8
1,arima,ridge_10,0.25,1095019.3475765013,8
1,arima,ridge_10,0.5,984124.6429158911,8
1,arima,ridge_10,0.75,885336.5669114464,8
1,arima,rf,0.25,913506.1945906252,8
1,arima,rf,0.5,870768.0303334268,8
1,arima,rf,0.75,832484.3386576073,8
2,ets,ridge_0.1,0.25,1884498.841576707,8
2,ets,ridge_0.1,0.5,1535699.0370673002,8
2,ets,ridge_0.1,0.75,1252143.0229874812,8
2,ets,ridge_1,0.25,1769295.0898215543,8
2,ets,ridge_1,0.5,1482856.9180725492,8
2,ets,ridge_1,0.75,1237702.154577781,8
2,ets,ridge_10,0.25,1340181.6850829176,8
2,ets,ridge_10,0.5,1227582.5560931067,8
2,ets,ridge_10,0.75,1125465.5941778843,8
2,ets,rf,0.25,1195932.8439125372,8
2,ets,rf,0.5,1137701.9745651907,8
2,ets,rf,0.75,1083667.9597067619,8
2,arima,ridge_0.1,0.25,1910582.0263861464,8
2,arima,ridge_0.1,0.5,1572897.0119868394,8
2,arima,ridge_0.1,0.75,1285487.3933177812,8
2,arima,ridge_1,0.25,1783027.6635300543,8
2,arima,ridge_1,0.5,1503587.411524169,8
2,arima,ridge_1,0.75,1258695.9138071414,8
2,arima,ridge_10,0.25,1341391.7509509416,8
2,arima,ridge_10,0.5,1231616.3724240914,8
2,arima,ridge_10,0.75,1133936.8455667684,8
2,arima,rf,0.25,1200233.4490421452,8
2,arima,rf,0.5,1145856.509911621,8
2,arima,rf,0.75,1095229.7503572302,8
3,ets,ridge_0.1,0.25,1335718.383707956,8
3,ets,ridge_0.1,0.5,1013029.0210189539,8
3,ets,ridge_0.1,0.75,762266.8981235332,8
3,ets,ridge_1,0.25,1305297.175483465,8
3,ets,ridge_1,0.5,1012560.6845242956,8
3,ets,ridge_1,0.75,771938.964370372,8
3,ets,ridge_10,0.25,876299.2526692975,8
3,ets,ridge_10,0.5,763099.8126204594,8
3,ets,ridge_10,0.75,665477.4000712582,8
3,ets,rf,0.25,740744.6794241088,8
3,ets,rf,0.5,682273.346292877,8
3,ets,rf,0.75,629835.7914920722,8
3,arima,ridge_0.1,0.25,1357237.316876824,8
3,arima,ridge_0.1,0.5,1046477.5767948197,8
3,arima,ridge_0.1,0.75,798055.7659445272,8
3,arima,ridge_1,0.25,1316291.765471398,8
3,arima,ridge_1,0.5,1031976.7827255817,8
3,arima,ridge_1,0.75,797203.4890104311,8
3,arima,ridge_10,0.25,879379.1038546129,8
3,arima,ridge_10,0.5,771962.9257515885,8
3,arima,ridge_10,0.75,682827.1859086995,8
3,arima,rf,0.25,743344.5575670665,8
3,arima,rf,0.5,690496.4953675292,8
3,arima,rf,0.75,646705.6042871559,8
4,ets,ridge_0.1,0.25,820392.0046632974,8
4,ets,ridge_0.1,0.5,689039.9208388196,8
4,ets,ridge_0.1,0.75,623334.7376676735,8
4,ets,ridge_1,0.25,788611.7027797983,8
4,ets,ridge_1,0.5,675680.4655881635,8
4,ets,ridge_1,0.75,620568.7163781837,8
4,ets,ridge_10,0.25,629662.1635169182,8
4,ets,ridge_10,0.5,614121.783626309,8
4,ets,ridge_10,0.75,611993.2141706226,8
4,ets,rf,0.25,528074.8679897619,8
4,ets,rf,0.5,555662.3111481881,8
4,ets,rf,0.75,587396.1735348871,8
4,arima,ridge_0.1,0.25,851103.891621358,8
4,arima,ridge_0.1,0.5,734764.3993581625,8
4,arima,ridge_0.1,0.75,668372.5123515199,8
4,arima,ridge_1,0.25,816562.8255716324,8
4,arima,ridge_1,0.5,717723.9252192042,8
4,arima,ridge_1,0.75,662845.7268958036,8
4,arima,ridge_10,0.25,644331.5987210262,8
4,arima,ridge_10,0.5,638456.326473715,8
4,arima,ridge_10,0.75,640988.5371005165,8
4,arima,rf,0.25,535396.8166324308,8
4,arima,rf,0.5,570200.2052470085,8
4,arima,rf,0.75,609044.0099033418,8
