semana_inicio,aceite,administracion,ambiante,azucar,bases,capacillos,casetas,categoria_otros,chantilly,chocolate,colorantes,combustible,consumibles,decoracion,detalle_cremas,detalle_desconocido,detalle_gv_a_10w_l,detalle_nd,detalle_nestle_bota_felices_fiestas,detalle_porta,detalle_yahel_platano_500gr,domo,dulceria,empaque,fondant,galletas,harina,herramienta,horneado,huevo,leche_en_polvo,lechera,licores,mantequilla,muebles,queso_crema,relleno,royalicing,saborizante,transfer,total
2022-01-03,0.0,0.0,0.0,0.0,10.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0
2022-01-10,0.0,0.0,0.0,0.0,10.5,39.0,0.0,43.5,137.0,31.5,14.5,0.0,11.0,184.5,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,981.0
2022-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.78,0.0,0.0,52.64,464.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.1,0.0,0.0,0.0,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,0.0,0.0,0.0,912.09
2022-01-24,0.0,0.0,0.0,28.5,3.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,0.0,0.0,0.0,193.0
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,330.9,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,21.9,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.3
2022-02-07,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,112.5,95.0,0.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,31.5,0.0,50.0,0.0,0.0,886.6
2022-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
2022-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,103.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0
2022-02-28,40.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,66.0,47.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,47.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,638.0
2022-03-07,9.48,0.0,0.0,3.75,4.529999999999999,5.13,0.0,5.72,69.81,49.07,1.91,59.269999999999996,9.68,121.08,0.0,31.28,0.0,6.31,0.0,0.0,0.0,0.0,2.06,54.17,56.13,2.88,27.419999999999998,2.59,0.0,20.9,0.0,0.0,0.0,24.32,0.0,12.42,20.669999999999998,6.57,0.0,0.0,607.1500000000001
2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.5
2022-03-21,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,66.0,0.0,0.0,210.9,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,528.4
2022-03-28,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.9
