id,titulo,estado,archivo,vector,datos,sha256_datos,run_id,capitulo,motivo,demostracion
F00,Arquitectura del pipeline,generada,figuras/F00.png,figuras/F00.svg,figuras/F00_datos.csv,11efe7324df1aa22d36bf7f40420138754aa6383b65e2afd06588de39f8a1a9c,run_20260913T193403Z_ae0e51,Metodología,,False
F01,Auditoría de registros,generada,figuras/F01.png,figuras/F01.svg,figuras/F01_datos.csv,8eb71d5f7d29e45bea109dffce56ea289914c44942eda8ce32f1520c64ce172e,run_20260913T193403Z_ae0e51,Desarrollo,,False
F02,Cobertura semanal,generada,figuras/F02.png,figuras/F02.svg,figuras/F02_datos.csv,83703a519190a14c471ab9e891f3fb91c255a5c756a1d225edb9543c2b06a842,run_20260913T193403Z_ae0e51,Desarrollo,,False
F03,Importe semanal de compras,generada,figuras/F03.png,figuras/F03.svg,figuras/F03_datos.csv,6e5e8ca2f59184e58da361f357cebee3930a07c59ba73123be9459ff1c661a9b,run_20260913T193403Z_ae0e51,Desarrollo,,False
F04,Selección de insumos en desarrollo,generada,figuras/F04.png,figuras/F04.svg,figuras/F04_datos.csv,a7168eab00e6fc4a0ded57a034f6f2f4a2498c9744defff31f2367cd85b6080e,run_20260913T193403Z_ae0e51,Desarrollo,,False
F05,Composición semanal en desarrollo,generada,figuras/F05.png,figuras/F05.svg,figuras/F05_datos.csv,991cafd38a9d1d16d18d89c65a5059ac47e56d30efd022b07341ca3ee9d4c35b,run_20260913T193403Z_ae0e51,Desarrollo,,False
F06,Dependencia temporal en desarrollo,generada,figuras/F06.png,figuras/F06.svg,figuras/F06_datos.csv,4c2f51053c2a97cc4cd63e2b244498915ead4b5b26f1f6c80cfc5b1a2b8d921e,run_20260913T193403Z_ae0e51,Desarrollo,,False
F07,Distribución del importe y ceros,generada,figuras/F07.png,figuras/F07.svg,figuras/F07_datos.csv,077c16728ecdd39c4de2cfe3ef6c82d60898171ccf00e0751ef60d5275c98847,run_20260913T193403Z_ae0e51,Desarrollo,,False
F08,Descomposición temporal exploratoria,omitida,,,,,run_20260913T193403Z_ae0e51,Desarrollo,STL requiere al menos 156 semanas de desarrollo en esta configuración.,False
F09,Particiones temporales,generada,figuras/F09.png,figuras/F09.svg,figuras/F09_datos.csv,2c5748848c3226ba2e6370d99a5b4ae7e4529714d0573510c5d97180c62773e7,run_20260913T193403Z_ae0e51,Desarrollo,,False
F10,Disponibilidad de información,generada,figuras/F10.png,figuras/F10.svg,figuras/F10_datos.csv,c08676101cf0de14dc28448bc646e1a0828201099969acc6bc2c66c8691817ba,run_20260913T193403Z_ae0e51,Metodología,,False
F11,Selección de características,omitida,,,,,run_20260913T193403Z_ae0e51,Desarrollo,"Esta versión usa un conjunto parsimonioso prefijado, sin selección por frecuencia; no se fabrican importancias.",False
F12,Integración híbrida,generada,figuras/F12.png,figuras/F12.svg,figuras/F12_datos.csv,7924e8b6c1834ca2780fe0450b22ff4deb4fc0d55ecd8a6fad5f2e6168aac366,run_20260913T193403Z_ae0e51,Metodología,,False
F13,Pesos y validación interna,generada,figuras/F13.png,figuras/F13.svg,figuras/F13_datos.csv,4c6e260dda277cfb83ee70a9d4c1297e015e387e0af39dad817cad9dc68f964b,run_20260913T193403Z_ae0e51,Desarrollo,,False
F14,Pronósticos fuera de muestra,generada,figuras/F14.png,figuras/F14.svg,figuras/F14_datos.csv,77733a2798bd53e7765c27ad4daf2f8c8d9d84b0bc52c15a62ecffeb30b298b7,run_20260913T193403Z_ae0e51,Resultados,,False
F15,Composición observada y pronosticada,generada,figuras/F15.png,figuras/F15.svg,figuras/F15_datos.csv,4d587d89c399a3829e65ca37213c76dd69b1cb442d6815cac02413f92ee62777,run_20260913T193403Z_ae0e51,Resultados,,False
F16,Asignación y reconciliación,generada,figuras/F16.png,figuras/F16.svg,figuras/F16_datos.csv,334799c3a2405bcf3015d394e06883a69da82fe71a1da6b4018d660e71c48f90,run_20260913T193403Z_ae0e51,Resultados,,False
F17,Errores monetarios,generada,figuras/F17.png,figuras/F17.svg,figuras/F17_datos.csv,390e9c8bd4db522a7047c823980d49bc702d9a5dfad460ff5b67226a64db6e45,run_20260913T193403Z_ae0e51,Resultados,,False
F18,Errores de participación,generada,figuras/F18.png,figuras/F18.svg,figuras/F18_datos.csv,e39e194f5f4a58bc69a0c34a13c51c87bbe8d420ee46adef2742a412f6a1d99d,run_20260913T193403Z_ae0e51,Resultados,,False
F19,Diferencias de pérdidas para H1,generada,figuras/F19.png,figuras/F19.svg,figuras/F19_datos.csv,bdbbd37dda2fa88d0344632e26b10f3c8edfa67bb0050861bd2137e410840baf,run_20260913T193403Z_ae0e51,Resultados,,False
F20,Presupuesto de las cuatro semanas siguientes,generada,figuras/F20.png,figuras/F20.svg,figuras/F20_datos.csv,961a2564a73b319e55a20f54717d0f310b2b40046dfe1823336e807c1dea2eab,run_20260913T193403Z_ae0e51,Desarrollo,,False
F21,Interfaz del tablero,omitida,,,,,run_20260913T193403Z_ae0e51,Desarrollo,Captura requiere inspeccionar el HTML de la ejecución en navegador; no se sustituye con una maqueta.,False
F22,Controles de calidad,generada,figuras/F22.png,figuras/F22.svg,figuras/F22_datos.csv,6648c657b752713789eaa1eab5744373dba6024b6234a4718f843e8c61da55e2,run_20260913T193403Z_ae0e51,Desarrollo,,False
