horizonte,modelo,n,rmse,mae,mase,n_mase
1,estacional_52s,9,1585.7892667270346,1157.4355555555555,1.4402920768074208,9
1,ets,9,840.2022068511444,664.7202745895144,0.8303536812203473,9
1,hibrido,9,826.7440172906812,643.2825723212125,0.803988243050882,9
1,promedio_4s,9,1058.6674222568276,823.3441666666664,1.0326768899445227,9
1,rf,9,805.8322063305769,578.969465516307,0.7248919285424863,9
1,ultimo_valor,9,1175.9313458607085,959.0244444444444,1.2039088284900368,9
2,estacional_52s,9,1596.449317447246,1199.8666666666666,1.4806690198083885,9
2,ets,9,965.4059036291742,699.695278090764,0.8664994869399124,9
2,hibrido,9,905.7438431040258,664.3090730977218,0.8238234343892087,9
2,promedio_4s,9,955.1894233304516,807.1469444444444,1.0051013438316216,9
2,rf,9,762.4914151965912,558.1504581185958,0.6957952767370978,9
2,ultimo_valor,9,1276.808797432098,923.06,1.1602144412845168,9
3,estacional_52s,9,1626.1576697062449,1259.243333333333,1.563211203001435,9
3,ets,9,1029.850994216248,824.9153755232611,1.0228547705493025,9
3,hibrido,9,1001.6587002138442,797.8023304672155,0.9904257829033496,9
3,promedio_4s,9,979.3741401318638,805.848611111111,0.9999014823923904,9
3,rf,9,947.6117780537015,716.4631952990777,0.8931388199654902,9
3,ultimo_valor,9,1297.7028339766816,1132.031111111111,1.4121139691999351,9
4,estacional_52s,9,1605.8721721890292,1210.132222222222,1.5020252616002265,9
4,ets,9,1062.730519594054,870.7538882514854,1.075252223998667,9
4,hibrido,9,920.6313856305369,728.1922365374927,0.9002078913011246,9
4,promedio_4s,9,945.7197520572623,822.5924999999999,1.017826371189472,9
4,rf,9,882.1926823378212,684.7999837187431,0.8472076966761287,9
4,ultimo_valor,9,1401.5392303860463,1047.6822222222222,1.310391347331369,9
