origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2023-11-06,2023-11-06,1,ets,544.7,1090.4353449568378,771.9450980392156
2023-11-06,2023-11-06,1,rf,544.7,869.5814102812556,771.9450980392156
2023-11-06,2023-11-06,1,hibrido,544.7,1035.2218612879421,771.9450980392156
2023-11-06,2023-11-06,1,ultimo_valor,544.7,2594.3999999999996,771.9450980392156
2023-11-06,2023-11-06,1,promedio_4s,544.7,1663.58,771.9450980392156
2023-11-06,2023-11-06,1,estacional_52s,544.7,753.5,771.9450980392156
2023-11-06,2023-11-13,2,ets,673.5,1095.4428900846096,771.9450980392156
2023-11-06,2023-11-13,2,rf,673.5,954.1497806827167,771.9450980392156
2023-11-06,2023-11-13,2,hibrido,673.5,1060.1196127341364,771.9450980392156
2023-11-06,2023-11-13,2,ultimo_valor,673.5,2594.3999999999996,771.9450980392156
2023-11-06,2023-11-13,2,promedio_4s,673.5,1663.58,771.9450980392156
2023-11-06,2023-11-13,2,estacional_52s,673.5,134.5,771.9450980392156
2023-11-06,2023-11-20,3,ets,1125.0,1100.4504352123818,771.9450980392156
2023-11-06,2023-11-20,3,rf,1125.0,952.5249214883194,771.9450980392156
2023-11-06,2023-11-20,3,hibrido,1125.0,1063.4690567813661,771.9450980392156
2023-11-06,2023-11-20,3,ultimo_valor,1125.0,2594.3999999999996,771.9450980392156
2023-11-06,2023-11-20,3,promedio_4s,1125.0,1663.58,771.9450980392156
2023-11-06,2023-11-20,3,estacional_52s,1125.0,236.5,771.9450980392156
2023-11-06,2023-11-27,4,ets,1161.19,1105.4579803401537,771.9450980392156
2023-11-06,2023-11-27,4,rf,1161.19,1214.9624976870916,771.9450980392156
2023-11-06,2023-11-27,4,hibrido,1161.19,1187.5863683503571,771.9450980392156
2023-11-06,2023-11-27,4,ultimo_valor,1161.19,2594.3999999999996,771.9450980392156
2023-11-06,2023-11-27,4,promedio_4s,1161.19,1663.58,771.9450980392156
2023-11-06,2023-11-27,4,estacional_52s,1161.19,1291.9,771.9450980392156
2023-11-13,2023-11-13,1,ets,673.5,1050.3564680646011,799.9980392156862
2023-11-13,2023-11-13,1,rf,673.5,701.842691653028,799.9980392156862
2023-11-13,2023-11-13,1,hibrido,673.5,963.2280239617078,799.9980392156862
