insumo,importe,acumulado_pct
combustible,8539.36,11.75212875353141
chocolate,7272.07,21.760174197767647
fondant,7015.74,31.41545044578863
harina,6652.900000000001,40.57137517368031
empaque,5438.17,48.05555127394917
chantilly,4942.08,54.85699312325082
decoracion,4290.21,60.7613115147565
relleno,4275.27,66.64506902071834
huevo,2557.23,70.16440726297458
muebles,2500.0,73.6049838265377
herramienta,2317.46,76.79434325173573
domo,2155.22,79.76042302026474
ambiante,1972.3400000000001,82.47481773201598
bases,1583.3200000000002,84.6538312058643
queso_crema,1570.8899999999999,86.81573813303858
capacillos,1472.56,88.8423203028148
categoria_otros,1335.6399999999999,90.68046897535778
aceite,922.31,91.94978024349375
mantequilla,909.29,93.20117298888667
licores,714.72,94.18479254149061
galletas,665.73,95.10099055575496
dulceria,497.86,95.78616073492918
colorantes,453.53999999999996,96.41033637278454
royalicing,442.89,97.01985515447913
consumibles,374.89,97.5357902536448
detalle_nd,338.7,98.00191956647633
casetas,294.53000000000003,98.40726077258284
transfer,293.96,98.81181752723285
detalle_desconocido,285.73999999999995,99.20506166614187
azucar,285.36,99.59778283741322
lechera,125.08999999999999,99.76993552634767
detalle_yahel_platano_500gr,54.84,99.84540801384598
horneado,53.95,99.91965565608767
detalle_gv_a_10w_l,31.41,99.96288306003228
leche_en_polvo,26.97,100.0
administracion,0.0,100.0
detalle_nestle_bota_felices_fiestas,0.0,100.0
detalle_porta,0.0,100.0
detalle_cremas,0.0,100.0
saborizante,0.0,100.0
