rezago,acf,pacf
0,1.0,1.0
1,0.1314920156520019,0.13287614213254925
2,0.149522473480884,0.13747500169184879
3,0.08762862971262331,0.05674228792937611
4,0.054858477091560595,0.02086308577221335
5,0.09585749734587137,0.07537714522387638
6,0.01273238533131284,-0.021040265351049567
7,0.09202185170467062,0.07562130991062135
8,0.16789326775912583,0.16220567642807934
9,0.08256963104230673,0.03294649709672385
10,0.13220928444006333,0.08313102339012575
11,-0.052721885481067196,-0.1266506818824644
12,-0.008643448500291329,-0.053137453460839874
13,-0.011517908254299597,-0.025280768988276005
14,0.06746418382258816,0.09746719206479194
15,0.0014161003350314245,-0.03919563159752645
16,-0.03065531019564222,-0.07259826029153467
17,0.05642779357032868,0.04203511930697385
18,0.0401589916612283,0.02598798451825322
19,-0.14753797094670004,-0.20950415876232104
20,-0.0049400454605173305,0.04488097125608632
21,-0.12326760554352618,-0.10463074902795282
22,-0.0506636431768462,-0.06569170875615545
23,-0.009454634122879536,0.04851974338933868
24,-0.08357422825242887,-0.08458229720651303
25,0.059048292619100044,0.11409553223263766
26,-0.0035315903217350442,0.04688168105226003
