semana_inicio,total
2022-01-03,168.0
2022-01-10,981.0
2022-01-17,912.09
2022-01-24,193.0
2022-01-31,576.3
2022-02-07,886.6
2022-02-14,125.0
2022-02-21,307.0
2022-02-28,638.0
2022-03-07,607.1500000000001
2022-03-14,438.5
2022-03-21,528.4
2022-03-28,450.9
2022-04-04,545.0
2022-04-11,489.6499999999999
2022-04-18,509.02
2022-04-25,1333.9
2022-05-02,518.71
2022-05-09,835.0
2022-05-16,523.5600000000001
2022-05-23,521.13
2022-05-30,914.9
2022-06-06,132.0
2022-06-13,122.0
2022-06-20,46.0
2022-06-27,958.8
2022-07-04,522.35
2022-07-11,521.74
2022-07-18,90.0
2022-07-25,1050.5
2022-08-01,450.9
2022-08-08,80.0
2022-08-15,255.0
2022-08-22,204.5
2022-08-29,941.8
2022-09-05,257.0
2022-09-12,387.0
2022-09-19,802.0
2022-09-26,954.9
2022-10-03,70.0
2022-10-10,322.0
2022-10-17,587.5
2022-10-24,374.5
2022-10-31,726.9
2022-11-07,753.5
2022-11-14,134.5
2022-11-21,236.5
2022-11-28,1291.9
2022-12-05,685.0
2022-12-12,552.0
2022-12-19,1472.5
2022-12-26,1691.0
2023-01-02,3795.4
2023-01-09,373.0
2023-01-16,1188.39
2023-01-23,1008.4
2023-01-30,705.5
2023-02-06,984.22
2023-02-13,619.0
2023-02-20,163.5
2023-02-27,1386.0
2023-03-06,582.1800000000001
2023-03-13,1743.09
2023-03-20,877.02
2023-03-27,1283.0
2023-04-03,168.36
2023-04-10,748.0100000000001
2023-04-17,592.5
2023-04-24,454.27
2023-05-01,1320.8
2023-05-08,812.51
2023-05-15,55.0
2023-05-22,1723.48
2023-05-29,87.0
2023-06-05,213.0
2023-06-12,69.0
2023-06-19,333.63
2023-06-26,782.55
2023-07-03,273.30999999999995
2023-07-10,1778.03
2023-07-17,691.0
2023-07-24,740.5699999999999
2023-07-31,1760.0
2023-08-07,711.85
2023-08-14,492.0
2023-08-21,521.0
2023-08-28,2645.0
2023-09-04,2403.35
2023-09-11,521.5
2023-09-18,598.9
2023-09-25,634.5
2023-10-02,491.0
2023-10-09,1001.0
2023-10-16,2241.17
2023-10-23,817.7499999999999
2023-10-30,2594.3999999999996
