etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento
validacion_interna,2023-08-21,2023-08-21,1,2022-08-22,2023-08-14
validacion_interna,2023-08-21,2023-08-28,2,2022-08-22,2023-08-14
validacion_interna,2023-08-21,2023-09-04,3,2022-08-22,2023-08-14
validacion_interna,2023-08-21,2023-09-11,4,2022-08-22,2023-08-14
validacion_interna,2023-08-28,2023-08-28,1,2022-08-29,2023-08-21
validacion_interna,2023-08-28,2023-09-04,2,2022-08-29,2023-08-21
validacion_interna,2023-08-28,2023-09-11,3,2022-08-29,2023-08-21
validacion_interna,2023-08-28,2023-09-18,4,2022-08-29,2023-08-21
validacion_interna,2023-09-04,2023-09-04,1,2022-09-05,2023-08-28
validacion_interna,2023-09-04,2023-09-11,2,2022-09-05,2023-08-28
validacion_interna,2023-09-04,2023-09-18,3,2022-09-05,2023-08-28
validacion_interna,2023-09-04,2023-09-25,4,2022-09-05,2023-08-28
validacion_interna,2023-09-11,2023-09-11,1,2022-09-12,2023-09-04
validacion_interna,2023-09-11,2023-09-18,2,2022-09-12,2023-09-04
validacion_interna,2023-09-11,2023-09-25,3,2022-09-12,2023-09-04
validacion_interna,2023-09-11,2023-10-02,4,2022-09-12,2023-09-04
validacion_interna,2023-09-18,2023-09-18,1,2022-09-19,2023-09-11
validacion_interna,2023-09-18,2023-09-25,2,2022-09-19,2023-09-11
validacion_interna,2023-09-18,2023-10-02,3,2022-09-19,2023-09-11
validacion_interna,2023-09-18,2023-10-09,4,2022-09-19,2023-09-11
validacion_interna,2023-09-25,2023-09-25,1,2022-09-26,2023-09-18
validacion_interna,2023-09-25,2023-10-02,2,2022-09-26,2023-09-18
validacion_interna,2023-09-25,2023-10-09,3,2022-09-26,2023-09-18
validacion_interna,2023-09-25,2023-10-16,4,2022-09-26,2023-09-18
validacion_interna,2023-10-02,2023-10-02,1,2022-10-03,2023-09-25
validacion_interna,2023-10-02,2023-10-09,2,2022-10-03,2023-09-25
validacion_interna,2023-10-02,2023-10-16,3,2022-10-03,2023-09-25
validacion_interna,2023-10-02,2023-10-23,4,2022-10-03,2023-09-25
validacion_interna,2023-10-09,2023-10-09,1,2022-10-10,2023-10-02
validacion_interna,2023-10-09,2023-10-16,2,2022-10-10,2023-10-02
validacion_interna,2023-10-09,2023-10-23,3,2022-10-10,2023-10-02
validacion_interna,2023-10-09,2023-10-30,4,2022-10-10,2023-10-02
evaluacion,2023-11-06,2023-11-06,1,2022-11-07,2023-10-30
evaluacion,2023-11-06,2023-11-13,2,2022-11-07,2023-10-30
evaluacion,2023-11-06,2023-11-20,3,2022-11-07,2023-10-30
evaluacion,2023-11-06,2023-11-27,4,2022-11-07,2023-10-30
evaluacion,2023-11-13,2023-11-13,1,2022-11-14,2023-11-06
evaluacion,2023-11-13,2023-11-20,2,2022-11-14,2023-11-06
evaluacion,2023-11-13,2023-11-27,3,2022-11-14,2023-11-06
evaluacion,2023-11-13,2023-12-04,4,2022-11-14,2023-11-06
evaluacion,2023-11-20,2023-11-20,1,2022-11-21,2023-11-13
evaluacion,2023-11-20,2023-11-27,2,2022-11-21,2023-11-13
evaluacion,2023-11-20,2023-12-04,3,2022-11-21,2023-11-13
evaluacion,2023-11-20,2023-12-11,4,2022-11-21,2023-11-13
evaluacion,2023-11-27,2023-11-27,1,2022-11-28,2023-11-20
evaluacion,2023-11-27,2023-12-04,2,2022-11-28,2023-11-20
evaluacion,2023-11-27,2023-12-11,3,2022-11-28,2023-11-20
evaluacion,2023-11-27,2023-12-18,4,2022-11-28,2023-11-20
evaluacion,2023-12-04,2023-12-04,1,2022-12-05,2023-11-27
evaluacion,2023-12-04,2023-12-11,2,2022-12-05,2023-11-27
evaluacion,2023-12-04,2023-12-18,3,2022-12-05,2023-11-27
evaluacion,2023-12-04,2023-12-25,4,2022-12-05,2023-11-27
evaluacion,2023-12-11,2023-12-11,1,2022-12-12,2023-12-04
evaluacion,2023-12-11,2023-12-18,2,2022-12-12,2023-12-04
evaluacion,2023-12-11,2023-12-25,3,2022-12-12,2023-12-04
evaluacion,2023-12-11,2024-01-01,4,2022-12-12,2023-12-04
evaluacion,2023-12-18,2023-12-18,1,2022-12-19,2023-12-11
evaluacion,2023-12-18,2023-12-25,2,2022-12-19,2023-12-11
evaluacion,2023-12-18,2024-01-01,3,2022-12-19,2023-12-11
evaluacion,2023-12-18,2024-01-08,4,2022-12-19,2023-12-11
evaluacion,2023-12-25,2023-12-25,1,2022-12-26,2023-12-18
evaluacion,2023-12-25,2024-01-01,2,2022-12-26,2023-12-18
evaluacion,2023-12-25,2024-01-08,3,2022-12-26,2023-12-18
evaluacion,2023-12-25,2024-01-15,4,2022-12-26,2023-12-18
evaluacion,2024-01-01,2024-01-01,1,2023-01-02,2023-12-25
evaluacion,2024-01-01,2024-01-08,2,2023-01-02,2023-12-25
evaluacion,2024-01-01,2024-01-15,3,2023-01-02,2023-12-25
evaluacion,2024-01-01,2024-01-22,4,2023-01-02,2023-12-25
