id,titulo,estado,archivo,vector,datos,sha256_datos,run_id,capitulo,motivo,demostracion
F00,Arquitectura del pipeline,generada,figuras/F00.png,figuras/F00.svg,figuras/F00_datos.csv,11efe7324df1aa22d36bf7f40420138754aa6383b65e2afd06588de39f8a1a9c,DEMO_20260922T022805Z_37f2d0,Metodología,,True
F01,Auditoría de registros,generada,figuras/F01.png,figuras/F01.svg,figuras/F01_datos.csv,5c1c29671de0d92a1e2e6d313e92a3e979cf317479cdd88300c95f018ceaa0e2,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F02,Cobertura semanal,generada,figuras/F02.png,figuras/F02.svg,figuras/F02_datos.csv,920606e63fa7b3b707af6e0fe35bb3dfd427cec2a4e1014ab9561a1867efaea5,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F03,Importe semanal de compras,generada,figuras/F03.png,figuras/F03.svg,figuras/F03_datos.csv,f80f8309e6fb9d9257ee5f21129dfbd9628e98977f2748c78953b2bf3793e76c,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F04,Selección de insumos en desarrollo,generada,figuras/F04.png,figuras/F04.svg,figuras/F04_datos.csv,531e3e3cb6fbf370be62ccd010e86e8909f81328009ee6ebc1a2daf1ec16dbb1,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F05,Composición semanal en desarrollo,generada,figuras/F05.png,figuras/F05.svg,figuras/F05_datos.csv,9530711405a615fb9b747ed995d9e5239b8f2e13b71cea4ad85ef7a27304be79,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F06,Dependencia temporal en desarrollo,generada,figuras/F06.png,figuras/F06.svg,figuras/F06_datos.csv,998fe9ab2eb64a3730b864b312ae36f86538a9e7ef8e1282431b603e20c380af,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F07,Distribución del importe y ceros,generada,figuras/F07.png,figuras/F07.svg,figuras/F07_datos.csv,367ce989d898baa8adbad17091826402336f68828de1de62a12e8fe6f198660a,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F08,Descomposición temporal exploratoria,omitida,,,,,DEMO_20260922T022805Z_37f2d0,Desarrollo,STL requiere al menos 156 semanas de desarrollo sin huecos en esta configuración.,True
F09,Particiones temporales,generada,figuras/F09.png,figuras/F09.svg,figuras/F09_datos.csv,bafd4f170fae1000eda70275bddd53576236250f2ef8d74b4413b194509e55bd,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F10,Disponibilidad de información,generada,figuras/F10.png,figuras/F10.svg,figuras/F10_datos.csv,c08676101cf0de14dc28448bc646e1a0828201099969acc6bc2c66c8691817ba,DEMO_20260922T022805Z_37f2d0,Metodología,,True
F11,Selección de características,omitida,,,,,DEMO_20260922T022805Z_37f2d0,Desarrollo,"Esta versión usa un conjunto parsimonioso prefijado, sin selección por frecuencia; no se fabrican importancias.",True
F12,Integración híbrida,generada,figuras/F12.png,figuras/F12.svg,figuras/F12_datos.csv,7924e8b6c1834ca2780fe0450b22ff4deb4fc0d55ecd8a6fad5f2e6168aac366,DEMO_20260922T022805Z_37f2d0,Metodología,,True
F13,Pesos y validación interna,generada,figuras/F13.png,figuras/F13.svg,figuras/F13_datos.csv,c4bcd934d958664ef471af134620a7073362ab14d8668b09b604759096632587,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F14,Pronósticos fuera de muestra,generada,figuras/F14.png,figuras/F14.svg,figuras/F14_datos.csv,a7f1a77c9f0aae8998f5e19a7f22dd855eff8268e34e4dbbd3bff1c71a9aec9a,DEMO_20260922T022805Z_37f2d0,Resultados,,True
F15,Composición observada y pronosticada,generada,figuras/F15.png,figuras/F15.svg,figuras/F15_datos.csv,af6361bad88976a4c1a994e9f7b5cc4fddc782bd083edf988e703e0018ec1408,DEMO_20260922T022805Z_37f2d0,Resultados,,True
F16,Asignación y reconciliación,generada,figuras/F16.png,figuras/F16.svg,figuras/F16_datos.csv,07885f88e13ebb7a68c6e9d2b503e1fe9f6106806b8c41366099ea85515833c1,DEMO_20260922T022805Z_37f2d0,Resultados,,True
F17,Errores monetarios,generada,figuras/F17.png,figuras/F17.svg,figuras/F17_datos.csv,c857e3c1f0c8e2f761dbd28ca90e3cb4fd044321e79c9682141c04025f20dfae,DEMO_20260922T022805Z_37f2d0,Resultados,,True
F18,Errores de participación,generada,figuras/F18.png,figuras/F18.svg,figuras/F18_datos.csv,85f18ddff1ebf30643a9f20a75cc0d7ad2018bec67d410d4a7cc878064cc492e,DEMO_20260922T022805Z_37f2d0,Resultados,,True
F19,Diferencias de pérdidas para H1,generada,figuras/F19.png,figuras/F19.svg,figuras/F19_datos.csv,2bdc38bb113154af11a936db300cb8879315ca29beb54e3ea6553744cd0fb021,DEMO_20260922T022805Z_37f2d0,Resultados,,True
F20,Presupuesto de las cuatro semanas siguientes,generada,figuras/F20.png,figuras/F20.svg,figuras/F20_datos.csv,c21a7e0837a3b0b364a3fa8a53dca9f248ecb4b76efd2b0598b2242db1167dd9,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
F21,Interfaz del tablero,omitida,,,,,DEMO_20260922T022805Z_37f2d0,Desarrollo,Captura requiere inspeccionar el HTML de la ejecución en navegador; no se sustituye con una maqueta.,True
F22,Controles de calidad,generada,figuras/F22.png,figuras/F22.svg,figuras/F22_datos.csv,7c437ab8cdb7e28294fa4c8136a923d938db3ae2b67fd4cb1a95237799bec03b,DEMO_20260922T022805Z_37f2d0,Desarrollo,,True
