semana_inicio,registros_detectados,importe_registrado_MXN,articulos_con_cero,estado,evidencia,fecha_revision
2021-05-03,2,100.0,0,observada,ticket,2026-09-19
2021-05-10,0,0.0,0,incierta,ticket,2026-09-19
2021-05-17,5,443.0,0,observada,ticket,2026-09-19
2021-05-24,0,0.0,0,incierta,ticket,2026-09-19
2021-05-31,2,60.0,0,observada,ticket,2026-09-19
2021-06-07,0,0.0,0,incierta,ticket,2026-09-19
2021-06-14,1,35.0,0,observada,ticket,2026-09-19
2021-06-21,2,108.0,0,observada,ticket,2026-09-19
2021-06-28,4,106.5,0,observada,ticket,2026-09-19
2021-07-05,0,0.0,0,incierta,ticket,2026-09-19
2021-07-12,0,0.0,0,incierta,ticket,2026-09-19
2021-07-19,20,1239.0,0,observada,ticket,2026-09-19
2021-07-26,16,774.0,0,observada,ticket,2026-09-19
2021-08-02,0,0.0,0,incierta,ticket,2026-09-19
2021-08-09,0,0.0,0,incierta,ticket,2026-09-19
2021-08-16,0,0.0,0,incierta,ticket,2026-09-19
2021-08-23,11,612.0,0,observada,ticket,2026-09-19
2021-08-30,0,0.0,0,incierta,ticket,2026-09-19
2021-09-06,4,200.0,0,observada,ticket,2026-09-19
2021-09-13,1,166.0,0,observada,ticket,2026-09-19
2021-09-20,11,570.5,0,observada,ticket,2026-09-19
2021-09-27,13,1660.2,0,observada,ticket,2026-09-19
2021-10-04,5,234.0,0,observada,ticket,2026-09-19
2021-10-11,3,433.0,0,observada,ticket,2026-09-19
2021-10-18,3,94.0,0,observada,ticket,2026-09-19
2021-10-25,12,574.0,0,observada,ticket,2026-09-19
2021-11-01,3,88.5,0,observada,ticket,2026-09-19
2021-11-08,6,205.5,0,observada,ticket,2026-09-19
2021-11-15,13,806.5,0,observada,ticket,2026-09-19
2021-11-22,5,231.0,0,observada,ticket,2026-09-19
2021-11-29,24,921.3,0,observada,ticket,2026-09-19
2021-12-06,22,1192.4,0,observada,ticket,2026-09-19
2021-12-13,14,581.0,0,observada,ticket,2026-09-19
2021-12-20,7,307.0,0,observada,ticket,2026-09-19
2021-12-27,14,1320.1399999999999,0,observada,ticket,2026-09-19
2022-01-03,6,168.0,0,observada,ticket,2026-09-19
2022-01-10,17,981.0,0,observada,ticket,2026-09-19
2022-01-17,14,912.09,0,observada,ticket,2026-09-19
2022-01-24,5,193.0,0,observada,ticket,2026-09-19
2022-01-31,9,576.3,0,observada,ticket,2026-09-19
2022-02-07,14,886.6,0,observada,ticket,2026-09-19
2022-02-14,2,125.0,0,observada,ticket,2026-09-19
2022-02-21,7,307.0,0,observada,ticket,2026-09-19
2022-02-28,11,638.0,0,observada,ticket,2026-09-19
2022-03-07,0,0.0,0,incierta,ticket,2026-09-19
2022-03-14,3,438.5,0,observada,ticket,2026-09-19
2022-03-21,8,528.4,0,observada,ticket,2026-09-19
2022-03-28,4,450.9,0,observada,ticket,2026-09-19
2022-04-04,8,545.0,0,observada,ticket,2026-09-19
2022-04-11,0,0.0,0,incierta,ticket,2026-09-19
2022-04-18,0,0.0,0,incierta,ticket,2026-09-19
2022-04-25,20,1333.9,0,observada,ticket,2026-09-19
