descripcion_normalizada,insumo_id,aprobado,decision,evidencia
1/4 DE PLANCHA,,False,revisar,
15-14-CHS,,False,revisar,
150 CAPACILLOS,,False,revisar,
2 PAQ INIX CONTENEDOR MANTECADA 25 PZ,,False,revisar,
2 PAQ NESTLE CARLOS V STICK 20 PZ,,False,revisar,
30*30*30,,False,revisar,
31*31*20,,False,revisar,
32*32*30,,False,revisar,
40 CAPACILLOS,,False,revisar,
9 COLORES,,False,revisar,
AC AU800,,False,revisar,
ACEITE,,False,revisar,
ACEITE AURRERA 800,,False,revisar,
ALAMBRE,,False,revisar,
ALEGRIA CAPACILLO BCO DOTS COLORES 100PZ,,False,revisar,
ALEGRIA CAPACILLO GOLOSINAS,,False,revisar,
ALEGRIA CAPACILLO GOLOSINAS 100 PZ,,False,revisar,
ALEGRIA CAPACILLO MET DORADO 50 PZ,,False,revisar,
ALEGRIA CAPACILLO MORADO 100 PZ,,False,revisar,
ALEGRIA CAPACILLO POLKA NEGRO 100 PZ,,False,revisar,
ALEGRIA CAPACILLO VELITAS CUMPL 100 PZ,,False,revisar,
ALPEZZI 14000,,False,revisar,
ALPEZZI BLANCO,,False,revisar,
ALPEZZI BLANCO 500 G,,False,revisar,
ALPEZZI CHIPS BLANCO,,False,revisar,
ALPEZZI CHIPS BLANCO 500 GR,,False,revisar,
ALPURA MED,,False,revisar,
AMBIANTE,,False,revisar,
AU AZUCAR,,False,revisar,
AU HUEVO 1,,False,revisar,
AVELLANA,,False,revisar,
AZUCAR,,False,revisar,
AZUCAR ESTANDAR,,False,revisar,
AZUCAR GLASS,,False,revisar,
AZUCAR GLASS DE PRIME,,False,revisar,
AZUCAR GLASS DE PRIMERA,,False,revisar,
AZUCZULKA,,False,revisar,
BAILEY'S,,False,revisar,
BASE,,False,revisar,
BASE 16,,False,revisar,
BASE 25 CM DOBLE,,False,revisar,
BASE 25 X 35,,False,revisar,
BASE 25X35,,False,revisar,
BASE 26 CM,,False,revisar,
BASE 28,,False,revisar,
BASE 28 CM,,False,revisar,
BASE 28 CM DOBLE,,False,revisar,
BASE 28 DOBLE,,False,revisar,
BASE 28CM,,False,revisar,
BASE 30 CM,,False,revisar,
BASE 32,,False,revisar,
BASE 32CM DOBLE,,False,revisar,
BASE 33 X 33,,False,revisar,
BASE 33X3,,False,revisar,
BASE 33X33,,False,revisar,
BASE 36 DOBLE,,False,revisar,
BASE 36CM DOBLE,,False,revisar,
BASE 40 CM DOBLE,,False,revisar,
BASE D LISTON,,False,revisar,
BASE DE LISTON,,False,revisar,
BASE DE LISTON #26,,False,revisar,
BASE DOBLE 28,,False,revisar,
BASE DOBLE 32 CM,,False,revisar,
BASE DOBLE LISTON NEGRA 36CM,,False,revisar,
BASE DORADA PASTELOSO 28 CM,,False,revisar,
BASE DORADA PASTELOSO 30CM,,False,revisar,
BASE DORADA PASTELOSO 32CM,,False,revisar,
BASE DORADA PASTELOSO 46X66 CM,,False,revisar,
BASE EXTRAFUERTE 20 CM C/ BLONDA,,False,revisar,
BASE FANSASIA PASTELOSO 28 CM,,False,revisar,
BASE FANTASIA PASTELOSO 28CM,,False,revisar,
