insumo,importe,acumulado_pct
fondant_sin_especificacion,6759.0,10.387567377413564
nutella,2557.56,14.318152792678815
tegral_satin_creme_cake_sabor_no_especificado,2452.0,18.086508349627785
chantilly_sin_especificacion,2372.0,21.731915927557207
crema_batir_ambiente_1_l,2092.0,24.947005578918233
queso_philadelphia,1766.54,27.661912114633008
tegral_satin_red_velvet,1736.0,30.32988325935707
easy_pastel_tres_leches_sabor_no_especificado,1728.0,32.98555960617918
transfer_sin_especificacion,1710.0,35.61357265772189
chantilly_dulce,1595.0,38.06484798942401
chantilly_asturias,1352.0,40.14266883485428
chips_blanco_alpezzi,1195.98,41.98071038420167
fondant_nata_coco_blanco,1079.0,43.63897125122775
chantilly_dull,1037.0,45.232684429268566
capacillos,947.0,46.688081130912394
huevo_sin_especificacion,911.0,48.08815124199743
contenedor_mantecadas_inix_25_pz,896.5999999999999,49.46609071685894
confitier_semiamargo_turin,803.0,50.70018105626759
chips_chocolate_semi,695.0,51.768291623999865
tegral_satin_vainilla,681.0,52.81488629540372
transfer_hoja_de_arroz_gruesa,675.0,53.852259868381104
tegral_satin_chocolate,635.0,54.82815945184873
domo_cupcake_12,634.0,55.802522185578596
mantequilla_gloria_presentacion_no_especificada,608.5,56.73769525099599
ferrero_rocher_t16,529.87,57.55202582153455
huevo_san_juan,494.5,58.311998016849095
relleno_zarzamora_puratos,458.0,59.01587519673597
aceite_sin_especificacion,439.0,59.69055223160571
matizador,415.0,60.32834487276958
caja_de_carton_para_cupcake_6_pz,391.5,60.930021545096466
carlos_v_stick,374.03999999999996,61.504864821002336
kisses_leche,368.0,62.07042552449224
empaque_32_x_32_x_30,348.0,62.60524923322725
ferrero_sin_especificacion,345.0,63.13546239274902
domo_media_plancha_inix,344.0,63.664138702533045
deiman_plumones_magicos,335.5,64.17975178954626
empaque_30_x_30_x_30,324.0,64.6776911045754
queso_crema_suelto,310.0,65.15411452327612
royal_icing_deiman_50_sin_unidad,309.0,65.62900109223911
pegamento_fondant,303.0,66.09466656277561
base_28_cm,302.5,66.55956360844326
bailey_s,300.0,67.02061852976655
domo_1_4_plancha,300.0,67.48167345108983
colorantes_9_colores,290.0,67.92735987503568
sabrosano,285.5,68.36613047516165
huevo_blanco_tepa_de_linea,279.41999999999996,68.79555702888216
mangas,278.38,69.22338525887541
relleno_durazno_puratos,275.5,69.64678736162396
kit_kat_9_pz,271.6,70.06419575039531
oblea_arroz,270.0,70.47914517958625
huevo_calvario,262.9,70.88318297563923
bisagra_12_cupcakes,253.5,71.2727743841574
chocolate_sin_especificacion,236.8,71.63670040205525
caja_cupcake_12,232.0,71.99324954121192
oreo_273_6,222.0,72.33443018299116
empaque_31_x_31_x_20,222.0,72.67561082477039
perlas_sin_especificacion,216.5,73.00833879299202
chips_chocolate_con_l,210.0,73.33107723791832
relleno_fresa_frutifru,203.0,73.64305773468041
base_36_cm_doble,200.0,73.95042768222926
harina_red_velvet_esp,200.0,74.25779762977812
mantequilla_gloria_verde,199.0,74.56363072758923
caja_cupcake_6,192.0,74.85870587723613
botellas_jack_daniels,190.0,75.15070732740755
royal_icing_sin_especificacion,190.0,75.44270877757896
azucar_glass,188.5,75.73240495314376
kisses_leche_choc_bl_807_gr,187.08,76.01991880208095
dlr_malvavisco_chocolate_32_pz,186.32,76.30626464521747
relleno_queso_creme_p,186.0,76.59211869643791
alpezzi_blanco,186.0,76.87797274765835
ac_au800,185.0,77.16228994914103
domo_cupcake_6,185.0,77.44660715062372
caja_cupcake_sin_capacidad,182.0,77.72631380289317
red_velvet,180.0,78.00294675568715
cereza_con_rabo_diana,176.0,78.27343230953015
charola_galletera_alta_grande,175.0,78.54238101363539
mantequilla_gloria_22,174.0,78.80979286800289
domo_cupcake_sin_capacidad,171.0,79.07259417315716
