origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2024-01-01,2024-01-01,1,ss_arima111,,864.4973574118883,467.1239583333333
2024-01-01,2024-01-01,1,rf,,634.0643240638349,467.1239583333333
2024-01-01,2024-01-01,1,hibrido,,691.6725824008482,467.1239583333333
2024-01-01,2024-01-01,1,ultimo_valor,,864.0,467.1239583333333
2024-01-01,2024-01-01,1,promedio_4s,,1065.7925,467.1239583333333
2024-01-01,2024-01-01,1,estacional_52s,,1223.4,467.1239583333333
2024-01-01,2024-01-08,2,ss_arima111,898.6800000000001,864.4822312498661,467.1239583333333
2024-01-01,2024-01-08,2,rf,898.6800000000001,901.2982493539212,467.1239583333333
2024-01-01,2024-01-08,2,hibrido,898.6800000000001,892.0942448279075,467.1239583333333
2024-01-01,2024-01-08,2,ultimo_valor,898.6800000000001,864.0,467.1239583333333
2024-01-01,2024-01-08,2,promedio_4s,898.6800000000001,1065.7925,467.1239583333333
2024-01-01,2024-01-08,2,estacional_52s,898.6800000000001,373.0,467.1239583333333
2024-01-01,2024-01-15,3,ss_arima111,115.0,864.4826912827762,467.1239583333333
2024-01-01,2024-01-15,3,rf,115.0,935.7261492600222,467.1239583333333
2024-01-01,2024-01-15,3,hibrido,115.0,882.2935557770877,467.1239583333333
2024-01-01,2024-01-15,3,ultimo_valor,115.0,864.0,467.1239583333333
2024-01-01,2024-01-15,3,promedio_4s,115.0,1065.7925,467.1239583333333
2024-01-01,2024-01-15,3,estacional_52s,115.0,1109.4299999999998,467.1239583333333
2024-01-01,2024-01-22,4,ss_ar1,342.0,568.2989113409695,467.1239583333333
2024-01-01,2024-01-22,4,hgb,342.0,499.16549193646074,467.1239583333333
2024-01-01,2024-01-22,4,hibrido,342.0,533.7322016387152,467.1239583333333
2024-01-01,2024-01-22,4,ultimo_valor,342.0,864.0,467.1239583333333
2024-01-01,2024-01-22,4,promedio_4s,342.0,1065.7925,467.1239583333333
2024-01-01,2024-01-22,4,estacional_52s,342.0,789.0,467.1239583333333
2024-01-08,2024-01-08,1,ss_arima111,898.6800000000001,864.4822318654319,467.1239583333333
2024-01-08,2024-01-08,1,rf,898.6800000000001,708.2782967686127,467.1239583333333
2024-01-08,2024-01-08,1,hibrido,898.6800000000001,747.3292805428175,467.1239583333333
2024-01-08,2024-01-08,1,ultimo_valor,898.6800000000001,864.0,467.1239583333333
2024-01-08,2024-01-08,1,promedio_4s,898.6800000000001,706.25,467.1239583333333
2024-01-08,2024-01-08,1,estacional_52s,898.6800000000001,373.0,467.1239583333333
2024-01-08,2024-01-15,2,ss_arima111,115.0,864.4826918989271,467.1239583333333
2024-01-08,2024-01-15,2,rf,115.0,977.4709541078691,467.1239583333333
2024-01-08,2024-01-15,2,hibrido,115.0,949.2238885556336,467.1239583333333
2024-01-08,2024-01-15,2,ultimo_valor,115.0,864.0,467.1239583333333
2024-01-08,2024-01-15,2,promedio_4s,115.0,706.25,467.1239583333333
2024-01-08,2024-01-15,2,estacional_52s,115.0,1109.4299999999998,467.1239583333333
2024-01-08,2024-01-22,3,ss_arima111,342.0,864.4826779078998,467.1239583333333
2024-01-08,2024-01-22,3,rf,342.0,874.0109125735644,467.1239583333333
2024-01-08,2024-01-22,3,hibrido,342.0,866.8647365743159,467.1239583333333
2024-01-08,2024-01-22,3,ultimo_valor,342.0,864.0,467.1239583333333
2024-01-08,2024-01-22,3,promedio_4s,342.0,706.25,467.1239583333333
2024-01-08,2024-01-22,3,estacional_52s,342.0,789.0,467.1239583333333
2024-01-08,2024-01-29,4,ss_ar1,,568.4446729676449,467.1239583333333
2024-01-08,2024-01-29,4,hgb,,901.4195820317004,467.1239583333333
2024-01-08,2024-01-29,4,hibrido,,734.9321274996727,467.1239583333333
2024-01-08,2024-01-29,4,ultimo_valor,,864.0,467.1239583333333
2024-01-08,2024-01-29,4,promedio_4s,,706.25,467.1239583333333
2024-01-08,2024-01-29,4,estacional_52s,,427.5,467.1239583333333
2024-01-15,2024-01-15,1,ss_arima111,115.0,866.4444029824439,467.1239583333333
2024-01-15,2024-01-15,1,rf,115.0,804.3684549440258,467.1239583333333
2024-01-15,2024-01-15,1,hibrido,115.0,819.8874419536303,467.1239583333333
2024-01-15,2024-01-15,1,ultimo_valor,115.0,898.6800000000001,467.1239583333333
2024-01-15,2024-01-15,1,promedio_4s,115.0,700.4766666666668,467.1239583333333
2024-01-15,2024-01-15,1,estacional_52s,115.0,1109.4299999999998,467.1239583333333
2024-01-15,2024-01-22,2,ss_arima111,342.0,867.4461481999618,467.1239583333333
2024-01-15,2024-01-22,2,rf,342.0,967.7221118343136,467.1239583333333
2024-01-15,2024-01-22,2,hibrido,342.0,942.6531209257257,467.1239583333333
2024-01-15,2024-01-22,2,ultimo_valor,342.0,898.6800000000001,467.1239583333333
2024-01-15,2024-01-22,2,promedio_4s,342.0,700.4766666666668,467.1239583333333
2024-01-15,2024-01-22,2,estacional_52s,342.0,789.0,467.1239583333333
2024-01-15,2024-01-29,3,ss_arima111,,867.4150182202604,467.1239583333333
