horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,3823.3868940435327,8
1,ss_ar1,hgb,0.5,3393.8399199176683,8
1,ss_ar1,hgb,0.75,3386.8444539477864,8
1,ss_ar1,rf,0.25,2974.4230345964324,8
1,ss_ar1,rf,0.5,2694.8951920792592,8
1,ss_ar1,rf,0.75,2970.8876792584097,8
1,ss_arima111,hgb,0.25,3183.3933235692784,8
1,ss_arima111,hgb,0.5,2147.612830228112,8
1,ss_arima111,hgb,0.75,1568.143896301884,8
1,ss_arima111,rf,0.25,2345.0514677803767,8
1,ss_arima111,rf,0.5,1462.8307739339677,8
1,ss_arima111,rf,0.75,1162.8091252707059,8
2,ss_ar1,hgb,0.25,20549.986666585613,8
2,ss_ar1,hgb,0.5,18812.051003027285,8
2,ss_ar1,hgb,0.75,17948.570180044506,8
2,ss_ar1,rf,0.25,17138.533990072803,8
2,ss_ar1,rf,0.5,17155.908482680712,8
2,ss_ar1,rf,0.75,17429.578551868875,8
2,ss_arima111,hgb,0.25,21706.861005102444,8
2,ss_arima111,hgb,0.5,20535.93660946807,8
2,ss_arima111,hgb,0.75,19649.60398381635,8
2,ss_arima111,rf,0.25,17699.716578037773,8
2,ss_arima111,rf,0.5,18085.538421719004,8
2,ss_arima111,rf,0.75,18534.92060508885,8
3,ss_ar1,hgb,0.25,18063.357815554187,8
3,ss_ar1,hgb,0.5,17734.990329174576,8
3,ss_ar1,hgb,0.75,17781.06624226028,8
3,ss_ar1,rf,0.25,16816.153586117387,8
3,ss_ar1,rf,0.5,17158.32278869148,8
3,ss_ar1,rf,0.75,17620.133444922787,8
3,ss_arima111,hgb,0.25,18479.16870540701,8
3,ss_arima111,hgb,0.5,18439.17220753515,8
3,ss_arima111,hgb,0.75,18646.17920778353,8
3,ss_arima111,rf,0.25,17162.551565576374,8
3,ss_arima111,rf,0.5,17769.95411986027,8
3,ss_arima111,rf,0.75,18415.833500052195,8
4,ss_ar1,hgb,0.25,18831.100175521995,8
4,ss_ar1,hgb,0.5,18878.005021133107,8
4,ss_ar1,hgb,0.75,19388.829819983173,8
4,ss_ar1,rf,0.25,19251.79493667084,8
4,ss_ar1,rf,0.5,19600.576366160174,8
4,ss_ar1,rf,0.75,19971.169577960616,8
4,ss_arima111,hgb,0.25,19423.51172925417,8
4,ss_arima111,hgb,0.5,19700.070210843434,8
4,ss_arima111,hgb,0.75,20077.790727917614,8
4,ss_arima111,rf,0.25,19069.453985717253,8
4,ss_arima111,rf,0.5,19389.638216289484,8
4,ss_arima111,rf,0.75,19885.377981209305,8
