fecha,descripcion,importe_nominal
2021-01-11,HARINA,153.19
2021-01-11,AZUCAR,113.24
2021-01-11,MANTEQUILLA,66.61
2021-01-18,HARINA,159.68
2021-01-18,AZUCAR,112.24
2021-01-18,MANTEQUILLA,67.98
2021-01-25,HARINA,178.81
2021-01-25,AZUCAR,119.64
2021-01-25,MANTEQUILLA,74.61
2021-02-01,HARINA,182.35
2021-02-01,AZUCAR,116.36
2021-02-01,MANTEQUILLA,74.68
2021-02-08,HARINA,160.9
2021-02-08,AZUCAR,98.2
2021-02-08,MANTEQUILLA,64.77
2021-02-15,HARINA,155.26
2021-02-15,AZUCAR,90.93
2021-02-15,MANTEQUILLA,61.55
2021-02-22,HARINA,152.23
2021-02-22,AZUCAR,85.91
2021-02-22,MANTEQUILLA,59.54
2021-03-01,HARINA,138.86
2021-03-01,AZUCAR,75.88
2021-03-01,MANTEQUILLA,53.68
2021-03-08,HARINA,134.3
2021-03-08,AZUCAR,71.45
2021-03-08,MANTEQUILLA,51.44
2021-03-15,HARINA,128.96
2021-03-15,AZUCAR,67.2
2021-03-15,MANTEQUILLA,49.04
2021-03-22,HARINA,146.74
2021-03-22,AZUCAR,75.4
2021-03-22,MANTEQUILLA,55.53
2021-03-29,HARINA,158.65
2021-03-29,AZUCAR,80.91
2021-03-29,MANTEQUILLA,59.89
2021-04-12,HARINA,184.88
2021-04-12,AZUCAR,94.86
2021-04-12,MANTEQUILLA,69.94
2021-04-19,HARINA,202.85
2021-04-19,AZUCAR,105.48
2021-04-19,MANTEQUILLA,77.08
2021-04-26,HARINA,203.44
2021-04-26,AZUCAR,107.9
2021-04-26,MANTEQUILLA,77.83
2021-05-03,HARINA,192.34
2021-05-03,AZUCAR,104.69
2021-05-03,MANTEQUILLA,74.26
2021-05-10,HARINA,190.15
2021-05-10,AZUCAR,106.82
2021-05-10,MANTEQUILLA,74.24
2021-05-17,HARINA,167.5
2021-05-17,AZUCAR,97.58
2021-05-17,MANTEQUILLA,66.27
2021-05-24,HARINA,162.4
2021-05-24,AZUCAR,98.55
2021-05-24,MANTEQUILLA,65.24
2021-05-31,HARINA,142.5
2021-05-31,AZUCAR,90.39
2021-05-31,MANTEQUILLA,58.22
2021-06-07,HARINA,131.99
2021-06-07,AZUCAR,87.75
2021-06-07,MANTEQUILLA,54.94
2021-06-14,HARINA,125.67
2021-06-14,AZUCAR,87.75
2021-06-14,MANTEQUILLA,53.35
2021-06-21,HARINA,138.98
2021-06-21,AZUCAR,102.05
2021-06-21,MANTEQUILLA,60.26
2021-06-28,HARINA,138.9
2021-06-28,AZUCAR,107.31
2021-06-28,MANTEQUILLA,61.55
2021-07-12,HARINA,156.74
2021-07-12,AZUCAR,133.86
2021-07-12,MANTEQUILLA,72.65
2021-07-19,HARINA,163.35
2021-07-19,AZUCAR,146.37
2021-07-19,MANTEQUILLA,77.43
2021-07-26,HARINA,169.03
2021-07-26,AZUCAR,158.53
2021-07-26,MANTEQUILLA,81.89
2021-08-02,HARINA,163.93
2021-08-02,AZUCAR,160.46
2021-08-02,MANTEQUILLA,81.1
2021-08-09,HARINA,155.11
2021-08-09,AZUCAR,157.89
2021-08-09,MANTEQUILLA,78.25
2021-08-16,HARINA,143.14
2021-08-16,AZUCAR,150.89
