etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
validacion_interna,2022-08-08,2022-08-08,1,2021-01-04,2022-08-01,79,True,
validacion_interna,2022-08-08,2022-08-15,2,2021-01-04,2022-08-01,78,True,
validacion_interna,2022-08-08,2022-08-22,3,2021-01-04,2022-08-01,77,True,
validacion_interna,2022-08-08,2022-08-29,4,2021-01-04,2022-08-01,76,True,
validacion_interna,2022-08-15,2022-08-15,1,2021-01-04,2022-08-08,80,True,
validacion_interna,2022-08-15,2022-08-22,2,2021-01-04,2022-08-08,79,True,
validacion_interna,2022-08-15,2022-08-29,3,2021-01-04,2022-08-08,78,True,
validacion_interna,2022-08-15,2022-09-05,4,2021-01-04,2022-08-08,77,True,
validacion_interna,2022-08-22,2022-08-22,1,2021-01-04,2022-08-15,81,True,
validacion_interna,2022-08-22,2022-08-29,2,2021-01-04,2022-08-15,80,True,
validacion_interna,2022-08-22,2022-09-05,3,2021-01-04,2022-08-15,79,True,
validacion_interna,2022-08-22,2022-09-12,4,2021-01-04,2022-08-15,78,True,
validacion_interna,2022-08-29,2022-08-29,1,2021-01-04,2022-08-22,82,True,
validacion_interna,2022-08-29,2022-09-05,2,2021-01-04,2022-08-22,81,True,
validacion_interna,2022-08-29,2022-09-12,3,2021-01-04,2022-08-22,80,True,
validacion_interna,2022-08-29,2022-09-19,4,2021-01-04,2022-08-22,79,True,
validacion_interna,2022-09-05,2022-09-05,1,2021-01-04,2022-08-29,83,True,
validacion_interna,2022-09-05,2022-09-12,2,2021-01-04,2022-08-29,82,True,
validacion_interna,2022-09-05,2022-09-19,3,2021-01-04,2022-08-29,81,True,
validacion_interna,2022-09-05,2022-09-26,4,2021-01-04,2022-08-29,80,True,
validacion_interna,2022-09-12,2022-09-12,1,2021-01-04,2022-09-05,84,True,
validacion_interna,2022-09-12,2022-09-19,2,2021-01-04,2022-09-05,83,True,
validacion_interna,2022-09-12,2022-09-26,3,2021-01-04,2022-09-05,82,True,
validacion_interna,2022-09-12,2022-10-03,4,2021-01-04,2022-09-05,81,True,
validacion_interna,2022-09-19,2022-09-19,1,2021-01-04,2022-09-12,85,True,
validacion_interna,2022-09-19,2022-09-26,2,2021-01-04,2022-09-12,84,True,
validacion_interna,2022-09-19,2022-10-03,3,2021-01-04,2022-09-12,83,True,
validacion_interna,2022-09-19,2022-10-10,4,2021-01-04,2022-09-12,82,True,
validacion_interna,2022-09-26,2022-09-26,1,2021-01-04,2022-09-19,86,True,
validacion_interna,2022-09-26,2022-10-03,2,2021-01-04,2022-09-19,85,True,
validacion_interna,2022-09-26,2022-10-10,3,2021-01-04,2022-09-19,84,True,
validacion_interna,2022-09-26,2022-10-17,4,2021-01-04,2022-09-19,83,True,
evaluacion,2022-10-24,2022-10-24,1,2021-01-04,2022-10-17,90,True,
evaluacion,2022-10-24,2022-10-31,2,2021-01-04,2022-10-17,89,True,
evaluacion,2022-10-24,2022-11-07,3,2021-01-04,2022-10-17,88,True,
evaluacion,2022-10-24,2022-11-14,4,2021-01-04,2022-10-17,87,True,
evaluacion,2022-10-31,2022-10-31,1,2021-01-04,2022-10-24,91,True,
evaluacion,2022-10-31,2022-11-07,2,2021-01-04,2022-10-24,90,True,
evaluacion,2022-10-31,2022-11-14,3,2021-01-04,2022-10-24,89,True,
evaluacion,2022-10-31,2022-11-21,4,2021-01-04,2022-10-24,88,True,
evaluacion,2022-11-07,2022-11-07,1,2021-01-04,2022-10-31,92,True,
evaluacion,2022-11-07,2022-11-14,2,2021-01-04,2022-10-31,91,True,
evaluacion,2022-11-07,2022-11-21,3,2021-01-04,2022-10-31,90,True,
evaluacion,2022-11-07,2022-11-28,4,2021-01-04,2022-10-31,89,True,
evaluacion,2022-11-14,2022-11-14,1,2021-01-04,2022-11-07,93,True,
evaluacion,2022-11-14,2022-11-21,2,2021-01-04,2022-11-07,92,True,
evaluacion,2022-11-14,2022-11-28,3,2021-01-04,2022-11-07,91,True,
evaluacion,2022-11-14,2022-12-05,4,2021-01-04,2022-11-07,90,True,
evaluacion,2022-11-21,2022-11-21,1,2021-01-04,2022-11-14,94,True,
evaluacion,2022-11-21,2022-11-28,2,2021-01-04,2022-11-14,93,True,
evaluacion,2022-11-21,2022-12-05,3,2021-01-04,2022-11-14,92,True,
evaluacion,2022-11-21,2022-12-12,4,2021-01-04,2022-11-14,91,True,
evaluacion,2022-11-28,2022-11-28,1,2021-01-04,2022-11-21,95,True,
evaluacion,2022-11-28,2022-12-05,2,2021-01-04,2022-11-21,94,True,
evaluacion,2022-11-28,2022-12-12,3,2021-01-04,2022-11-21,93,True,
evaluacion,2022-11-28,2022-12-19,4,2021-01-04,2022-11-21,92,True,
evaluacion,2022-12-05,2022-12-05,1,2021-01-04,2022-11-28,96,True,
evaluacion,2022-12-05,2022-12-12,2,2021-01-04,2022-11-28,95,True,
evaluacion,2022-12-05,2022-12-19,3,2021-01-04,2022-11-28,94,True,
evaluacion,2022-12-05,2022-12-26,4,2021-01-04,2022-11-28,93,True,
evaluacion,2022-12-12,2022-12-12,1,2021-01-04,2022-12-05,97,True,
evaluacion,2022-12-12,2022-12-19,2,2021-01-04,2022-12-05,96,True,
evaluacion,2022-12-12,2022-12-26,3,2021-01-04,2022-12-05,95,True,
evaluacion,2022-12-12,2023-01-02,4,2021-01-04,2022-12-05,94,True,
evaluacion,2022-12-19,2022-12-19,1,2021-01-04,2022-12-12,98,True,
evaluacion,2022-12-19,2022-12-26,2,2021-01-04,2022-12-12,97,True,
evaluacion,2022-12-19,2023-01-02,3,2021-01-04,2022-12-12,96,True,
evaluacion,2022-12-19,2023-01-09,4,2021-01-04,2022-12-12,95,True,
evaluacion,2022-12-26,2022-12-26,1,2021-01-04,2022-12-19,99,True,
evaluacion,2022-12-26,2023-01-02,2,2021-01-04,2022-12-19,98,True,
evaluacion,2022-12-26,2023-01-09,3,2021-01-04,2022-12-19,97,True,
evaluacion,2022-12-26,2023-01-16,4,2021-01-04,2022-12-19,96,True,
evaluacion,2023-01-02,2023-01-02,1,2021-01-04,2022-12-26,100,True,
evaluacion,2023-01-02,2023-01-09,2,2021-01-04,2022-12-26,99,True,
evaluacion,2023-01-02,2023-01-16,3,2021-01-04,2022-12-26,98,True,
evaluacion,2023-01-02,2023-01-23,4,2021-01-04,2022-12-26,97,True,
evaluacion,2023-01-09,2023-01-09,1,2021-01-04,2023-01-02,101,True,
evaluacion,2023-01-09,2023-01-16,2,2021-01-04,2023-01-02,100,True,
evaluacion,2023-01-09,2023-01-23,3,2021-01-04,2023-01-02,99,True,
evaluacion,2023-01-09,2023-01-30,4,2021-01-04,2023-01-02,98,True,
evaluacion,2023-01-16,2023-01-16,1,2021-01-04,2023-01-09,102,True,
evaluacion,2023-01-16,2023-01-23,2,2021-01-04,2023-01-09,101,True,
evaluacion,2023-01-16,2023-01-30,3,2021-01-04,2023-01-09,100,True,
evaluacion,2023-01-16,2023-02-06,4,2021-01-04,2023-01-09,99,True,
evaluacion,2023-01-23,2023-01-23,1,2021-01-04,2023-01-16,103,True,
evaluacion,2023-01-23,2023-01-30,2,2021-01-04,2023-01-16,102,True,
evaluacion,2023-01-23,2023-02-06,3,2021-01-04,2023-01-16,101,True,
evaluacion,2023-01-23,2023-02-13,4,2021-01-04,2023-01-16,100,False,fuera_del_periodo
evaluacion,2023-01-30,2023-01-30,1,2021-01-04,2023-01-23,104,True,
evaluacion,2023-01-30,2023-02-06,2,2021-01-04,2023-01-23,103,True,
evaluacion,2023-01-30,2023-02-13,3,2021-01-04,2023-01-23,102,False,fuera_del_periodo
evaluacion,2023-01-30,2023-02-20,4,2021-01-04,2023-01-23,101,False,fuera_del_periodo
evaluacion,2023-02-06,2023-02-06,1,2021-01-04,2023-01-30,105,True,
evaluacion,2023-02-06,2023-02-13,2,2021-01-04,2023-01-30,104,False,fuera_del_periodo
evaluacion,2023-02-06,2023-02-20,3,2021-01-04,2023-01-30,103,False,fuera_del_periodo
evaluacion,2023-02-06,2023-02-27,4,2021-01-04,2023-01-30,102,False,fuera_del_periodo
