Estado,Mes,Valor,fecha,archivo
Aguascalientes,Ene,13.5,01/01/2022,2022.pdf
Baja California,Ene,14.3,01/01/2022,2022.pdf
Baja California Sur,Ene,19.2,01/01/2022,2022.pdf
Campeche,Ene,23.9,01/01/2022,2022.pdf
Coahuila,Ene,13,01/01/2022,2022.pdf
Colima,Ene,25.4,01/01/2022,2022.pdf
Chiapas,Ene,22.4,01/01/2022,2022.pdf
Chihuahua,Ene,10.9,01/01/2022,2022.pdf
Ciudad de México,Ene,15.4,01/01/2022,2022.pdf
Durango,Ene,12.3,01/01/2022,2022.pdf
Guanajuato,Ene,15.7,01/01/2022,2022.pdf
Guerrero,Ene,24.4,01/01/2022,2022.pdf
Hidalgo,Ene,15.2,01/01/2022,2022.pdf
Jalisco,Ene,18.2,01/01/2022,2022.pdf
Estado de México,Ene,12.3,01/01/2022,2022.pdf
Michoacán,Ene,17.6,01/01/2022,2022.pdf
Morelos,Ene,19.7,01/01/2022,2022.pdf
Nayarit,Ene,21.6,01/01/2022,2022.pdf
Nuevo León,Ene,13.6,01/01/2022,2022.pdf
Oaxaca,Ene,20.8,01/01/2022,2022.pdf
Puebla,Ene,15.7,01/01/2022,2022.pdf
Querétaro,Ene,16.4,01/01/2022,2022.pdf
Quintana Roo,Ene,24,01/01/2022,2022.pdf
San Luis Potosí,Ene,17.5,01/01/2022,2022.pdf
Sinaloa,Ene,20.7,01/01/2022,2022.pdf
Sonora,Ene,15.5,01/01/2022,2022.pdf
Tabasco,Ene,24,01/01/2022,2022.pdf
Tamaulipas,Ene,16.7,01/01/2022,2022.pdf
Tlaxcala,Ene,12.3,01/01/2022,2022.pdf
Veracruz,Ene,18.7,01/01/2022,2022.pdf
Yucatán,Ene,22.9,01/01/2022,2022.pdf
Zacatecas,Ene,13.7,01/01/2022,2022.pdf
Nacional,Ene,16.6,01/01/2022,2022.pdf
Aguascalientes,Feb,14.4,01/02/2022,2022.pdf
Baja California,Feb,14.6,01/02/2022,2022.pdf
Baja California Sur,Feb,18.3,01/02/2022,2022.pdf
Campeche,Feb,25,01/02/2022,2022.pdf
Coahuila,Feb,14,01/02/2022,2022.pdf
Colima,Feb,25.6,01/02/2022,2022.pdf
Chiapas,Feb,22.9,01/02/2022,2022.pdf
Chihuahua,Feb,11.1,01/02/2022,2022.pdf
Ciudad de México,Feb,16.2,01/02/2022,2022.pdf
Durango,Feb,12.7,01/02/2022,2022.pdf
Guanajuato,Feb,16.5,01/02/2022,2022.pdf
Guerrero,Feb,25.4,01/02/2022,2022.pdf
Hidalgo,Feb,15.7,01/02/2022,2022.pdf
Jalisco,Feb,19.1,01/02/2022,2022.pdf
Estado de México,Feb,13.1,01/02/2022,2022.pdf
Michoacán,Feb,18.5,01/02/2022,2022.pdf
Morelos,Feb,20.9,01/02/2022,2022.pdf
Nayarit,Feb,22.2,01/02/2022,2022.pdf
Nuevo León,Feb,14.4,01/02/2022,2022.pdf
Oaxaca,Feb,21.6,01/02/2022,2022.pdf
Puebla,Feb,16,01/02/2022,2022.pdf
Querétaro,Feb,16.9,01/02/2022,2022.pdf
Quintana Roo,Feb,25.3,01/02/2022,2022.pdf
San Luis Potosí,Feb,18.1,01/02/2022,2022.pdf
Sinaloa,Feb,20,01/02/2022,2022.pdf
Sonora,Feb,14.7,01/02/2022,2022.pdf
Tabasco,Feb,24.7,01/02/2022,2022.pdf
Tamaulipas,Feb,16.6,01/02/2022,2022.pdf
Tlaxcala,Feb,13.1,01/02/2022,2022.pdf
Veracruz,Feb,18.6,01/02/2022,2022.pdf
Yucatán,Feb,24.3,01/02/2022,2022.pdf
Zacatecas,Feb,14.4,01/02/2022,2022.pdf
Nacional,Feb,17,01/02/2022,2022.pdf
Aguascalientes,Mar,16.9,01/03/2022,2022.pdf
Baja California,Mar,16.5,01/03/2022,2022.pdf
Baja California Sur,Mar,20,01/03/2022,2022.pdf
Campeche,Mar,26.9,01/03/2022,2022.pdf
Coahuila,Mar,19.2,01/03/2022,2022.pdf
Colima,Mar,24.2,01/03/2022,2022.pdf
Chiapas,Mar,24.7,01/03/2022,2022.pdf
Chihuahua,Mar,15,01/03/2022,2022.pdf
Ciudad de México,Mar,18.5,01/03/2022,2022.pdf
Durango,Mar,16.3,01/03/2022,2022.pdf
Guanajuato,Mar,18.7,01/03/2022,2022.pdf
Guerrero,Mar,25.6,01/03/2022,2022.pdf
Hidalgo,Mar,18.6,01/03/2022,2022.pdf
Jalisco,Mar,20.5,01/03/2022,2022.pdf
Estado de México,Mar,15.1,01/03/2022,2022.pdf
Michoacán,Mar,19.9,01/03/2022,2022.pdf
Morelos,Mar,23,01/03/2022,2022.pdf
Nayarit,Mar,22.3,01/03/2022,2022.pdf
Nuevo León,Mar,19.1,01/03/2022,2022.pdf
Oaxaca,Mar,23.6,01/03/2022,2022.pdf
Puebla,Mar,18.3,01/03/2022,2022.pdf
Querétaro,Mar,19.9,01/03/2022,2022.pdf
Quintana Roo,Mar,26.7,01/03/2022,2022.pdf
San Luis Potosí,Mar,21.6,01/03/2022,2022.pdf
Sinaloa,Mar,21.3,01/03/2022,2022.pdf
Sonora,Mar,17.5,01/03/2022,2022.pdf
Tabasco,Mar,26.5,01/03/2022,2022.pdf
Tamaulipas,Mar,21.4,01/03/2022,2022.pdf
Tlaxcala,Mar,15.3,01/03/2022,2022.pdf
Veracruz,Mar,21.3,01/03/2022,2022.pdf
Yucatán,Mar,26,01/03/2022,2022.pdf
Zacatecas,Mar,16.9,01/03/2022,2022.pdf
Nacional,Mar,19.8,01/03/2022,2022.pdf
Aguascalientes,Abr,19.8,01/04/2022,2022.pdf
Baja California,Abr,19.2,01/04/2022,2022.pdf
Baja California Sur,Abr,21.8,01/04/2022,2022.pdf
Campeche,Abr,29.3,01/04/2022,2022.pdf
Coahuila,Abr,24.7,01/04/2022,2022.pdf
Colima,Abr,25.5,01/04/2022,2022.pdf
Chiapas,Abr,26.5,01/04/2022,2022.pdf
Chihuahua,Abr,20.7,01/04/2022,2022.pdf
Ciudad de México,Abr,20.3,01/04/2022,2022.pdf
Durango,Abr,20.6,01/04/2022,2022.pdf
Guanajuato,Abr,21.5,01/04/2022,2022.pdf
Guerrero,Abr,27.2,01/04/2022,2022.pdf
Hidalgo,Abr,21.4,01/04/2022,2022.pdf
Jalisco,Abr,22.8,01/04/2022,2022.pdf
Estado de México,Abr,16.7,01/04/2022,2022.pdf
Michoacán,Abr,22.5,01/04/2022,2022.pdf
Morelos,Abr,25,01/04/2022,2022.pdf
Nayarit,Abr,24.9,01/04/2022,2022.pdf
Nuevo León,Abr,24.9,01/04/2022,2022.pdf
Oaxaca,Abr,25,01/04/2022,2022.pdf
Puebla,Abr,20.7,01/04/2022,2022.pdf
Querétaro,Abr,22.5,01/04/2022,2022.pdf
Quintana Roo,Abr,27.9,01/04/2022,2022.pdf
San Luis Potosí,Abr,26.5,01/04/2022,2022.pdf
Sinaloa,Abr,24.7,01/04/2022,2022.pdf
Sonora,Abr,21.9,01/04/2022,2022.pdf
Tabasco,Abr,29.1,01/04/2022,2022.pdf
Tamaulipas,Abr,27.2,01/04/2022,2022.pdf
Tlaxcala,Abr,17,01/04/2022,2022.pdf
Veracruz,Abr,25,01/04/2022,2022.pdf
Yucatán,Abr,28.4,01/04/2022,2022.pdf
Zacatecas,Abr,20.4,01/04/2022,2022.pdf
Nacional,Abr,23.4,01/04/2022,2022.pdf
Aguascalientes,May,22.5,01/05/2022,2022.pdf
Baja California,May,21.3,01/05/2022,2022.pdf
Baja California Sur,May,23.7,01/05/2022,2022.pdf
Campeche,May,30,01/05/2022,2022.pdf
Coahuila,May,28.2,01/05/2022,2022.pdf
Colima,May,26.6,01/05/2022,2022.pdf
Chiapas,May,26.6,01/05/2022,2022.pdf
Chihuahua,May,24.4,01/05/2022,2022.pdf
Ciudad de México,May,21.7,01/05/2022,2022.pdf
Durango,May,23.2,01/05/2022,2022.pdf
Guanajuato,May,23.4,01/05/2022,2022.pdf
Guerrero,May,27.8,01/05/2022,2022.pdf
Hidalgo,May,22.6,01/05/2022,2022.pdf
Jalisco,May,24.7,01/05/2022,2022.pdf
Estado de México,May,17.9,01/05/2022,2022.pdf
Michoacán,May,23.9,01/05/2022,2022.pdf
Morelos,May,26.3,01/05/2022,2022.pdf
Nayarit,May,27.1,01/05/2022,2022.pdf
Nuevo León,May,28.1,01/05/2022,2022.pdf
Oaxaca,May,26.1,01/05/2022,2022.pdf
Puebla,May,21.9,01/05/2022,2022.pdf
Querétaro,May,24.5,01/05/2022,2022.pdf
Quintana Roo,May,29,01/05/2022,2022.pdf
San Luis Potosí,May,28.7,01/05/2022,2022.pdf
Sinaloa,May,27.1,01/05/2022,2022.pdf
Sonora,May,24.9,01/05/2022,2022.pdf
Tabasco,May,30.5,01/05/2022,2022.pdf
Tamaulipas,May,29.9,01/05/2022,2022.pdf
Tlaxcala,May,17.8,01/05/2022,2022.pdf
Veracruz,May,26.8,01/05/2022,2022.pdf
Yucatán,May,29.2,01/05/2022,2022.pdf
Zacatecas,May,22.7,01/05/2022,2022.pdf
Nacional,May,25.7,01/05/2022,2022.pdf
Aguascalientes,Jun,21.7,01/06/2022,2022.pdf
Baja California,Jun,25.4,01/06/2022,2022.pdf
Baja California Sur,Jun,26.7,01/06/2022,2022.pdf
Campeche,Jun,28.5,01/06/2022,2022.pdf
Coahuila,Jun,29.5,01/06/2022,2022.pdf
Colima,Jun,28,01/06/2022,2022.pdf
Chiapas,Jun,24.8,01/06/2022,2022.pdf
Chihuahua,Jun,26.6,01/06/2022,2022.pdf
Ciudad de México,Jun,19.3,01/06/2022,2022.pdf
Durango,Jun,24,01/06/2022,2022.pdf
Guanajuato,Jun,21.9,01/06/2022,2022.pdf
Guerrero,Jun,26.3,01/06/2022,2022.pdf
Hidalgo,Jun,20.6,01/06/2022,2022.pdf
Jalisco,Jun,24.2,01/06/2022,2022.pdf
Estado de México,Jun,16.4,01/06/2022,2022.pdf
Michoacán,Jun,22.5,01/06/2022,2022.pdf
Morelos,Jun,23.8,01/06/2022,2022.pdf
Nayarit,Jun,28.4,01/06/2022,2022.pdf
Nuevo León,Jun,28.4,01/06/2022,2022.pdf
Oaxaca,Jun,24.3,01/06/2022,2022.pdf
Puebla,Jun,20.2,01/06/2022,2022.pdf
Querétaro,Jun,22.5,01/06/2022,2022.pdf
Quintana Roo,Jun,28.3,01/06/2022,2022.pdf
San Luis Potosí,Jun,27.1,01/06/2022,2022.pdf
Sinaloa,Jun,30.2,01/06/2022,2022.pdf
Sonora,Jun,30,01/06/2022,2022.pdf
Tabasco,Jun,28.5,01/06/2022,2022.pdf
Tamaulipas,Jun,29.8,01/06/2022,2022.pdf
Tlaxcala,Jun,17,01/06/2022,2022.pdf
Veracruz,Jun,24.7,01/06/2022,2022.pdf
Yucatán,Jun,28.4,01/06/2022,2022.pdf
Zacatecas,Jun,22.1,01/06/2022,2022.pdf
Nacional,Jun,26.4,01/06/2022,2022.pdf
Aguascalientes,Jul,21,01/07/2022,2022.pdf
Baja California,Jul,27.1,01/07/2022,2022.pdf
Baja California Sur,Jul,29,01/07/2022,2022.pdf
Campeche,Jul,28.7,01/07/2022,2022.pdf
Coahuila,Jul,30.1,01/07/2022,2022.pdf
Colima,Jul,28.5,01/07/2022,2022.pdf
Chiapas,Jul,25.3,01/07/2022,2022.pdf
Chihuahua,Jul,26,01/07/2022,2022.pdf
Ciudad de México,Jul,19.7,01/07/2022,2022.pdf
Durango,Jul,23.8,01/07/2022,2022.pdf
Guanajuato,Jul,21.3,01/07/2022,2022.pdf
Guerrero,Jul,26.4,01/07/2022,2022.pdf
Hidalgo,Jul,21.1,01/07/2022,2022.pdf
Jalisco,Jul,23.5,01/07/2022,2022.pdf
Estado de México,Jul,16.6,01/07/2022,2022.pdf
Michoacán,Jul,21.7,01/07/2022,2022.pdf
Morelos,Jul,23.5,01/07/2022,2022.pdf
Nayarit,Jul,28.3,01/07/2022,2022.pdf
Nuevo León,Jul,29.1,01/07/2022,2022.pdf
Oaxaca,Jul,24.8,01/07/2022,2022.pdf
Puebla,Jul,20.2,01/07/2022,2022.pdf
Querétaro,Jul,22.5,01/07/2022,2022.pdf
Quintana Roo,Jul,29,01/07/2022,2022.pdf
San Luis Potosí,Jul,27.1,01/07/2022,2022.pdf
Sinaloa,Jul,30.3,01/07/2022,2022.pdf
Sonora,Jul,30.9,01/07/2022,2022.pdf
Tabasco,Jul,29.3,01/07/2022,2022.pdf
Tamaulipas,Jul,30.7,01/07/2022,2022.pdf
Tlaxcala,Jul,16.9,01/07/2022,2022.pdf
Veracruz,Jul,25,01/07/2022,2022.pdf
Yucatán,Jul,28.6,01/07/2022,2022.pdf
Zacatecas,Jul,21.7,01/07/2022,2022.pdf
Nacional,Jul,26.6,01/07/2022,2022.pdf
Aguascalientes,Ago,20.3,01/08/2022,2022.pdf
Baja California,Ago,28,01/08/2022,2022.pdf
Baja California Sur,Ago,29.2,01/08/2022,2022.pdf
Campeche,Ago,28.8,01/08/2022,2022.pdf
Coahuila,Ago,28.5,01/08/2022,2022.pdf
Colima,Ago,28.2,01/08/2022,2022.pdf
Chiapas,Ago,25.3,01/08/2022,2022.pdf
Chihuahua,Ago,24.2,01/08/2022,2022.pdf
Ciudad de México,Ago,19.1,01/08/2022,2022.pdf
Durango,Ago,22.3,01/08/2022,2022.pdf
Guanajuato,Ago,20.8,01/08/2022,2022.pdf
Guerrero,Ago,26.1,01/08/2022,2022.pdf
Hidalgo,Ago,21.3,01/08/2022,2022.pdf
Jalisco,Ago,23.1,01/08/2022,2022.pdf
Estado de México,Ago,16.1,01/08/2022,2022.pdf
Michoacán,Ago,21.4,01/08/2022,2022.pdf
Morelos,Ago,22.8,01/08/2022,2022.pdf
Nayarit,Ago,27.8,01/08/2022,2022.pdf
Nuevo León,Ago,28.7,01/08/2022,2022.pdf
Oaxaca,Ago,24.4,01/08/2022,2022.pdf
Puebla,Ago,19.9,01/08/2022,2022.pdf
Querétaro,Ago,22.3,01/08/2022,2022.pdf
Quintana Roo,Ago,28.7,01/08/2022,2022.pdf
San Luis Potosí,Ago,27.1,01/08/2022,2022.pdf
Sinaloa,Ago,29.1,01/08/2022,2022.pdf
Sonora,Ago,29.4,01/08/2022,2022.pdf
Tabasco,Ago,29.2,01/08/2022,2022.pdf
Tamaulipas,Ago,30.6,01/08/2022,2022.pdf
Tlaxcala,Ago,16.6,01/08/2022,2022.pdf
Veracruz,Ago,25.3,01/08/2022,2022.pdf
Yucatán,Ago,28.4,01/08/2022,2022.pdf
Zacatecas,Ago,20.9,01/08/2022,2022.pdf
Nacional,Ago,25.9,01/08/2022,2022.pdf
Aguascalientes,Sep,18.3,01/09/2022,2022.pdf
Baja California,Sep,26.8,01/09/2022,2022.pdf
Baja California Sur,Sep,28,01/09/2022,2022.pdf
Campeche,Sep,27.9,01/09/2022,2022.pdf
Coahuila,Sep,25,01/09/2022,2022.pdf
Colima,Sep,27.7,01/09/2022,2022.pdf
Chiapas,Sep,24.8,01/09/2022,2022.pdf
Chihuahua,Sep,22.3,01/09/2022,2022.pdf
Ciudad de México,Sep,18.2,01/09/2022,2022.pdf
Durango,Sep,20.1,01/09/2022,2022.pdf
Guanajuato,Sep,19.4,01/09/2022,2022.pdf
Guerrero,Sep,25.5,01/09/2022,2022.pdf
Hidalgo,Sep,19.8,01/09/2022,2022.pdf
Jalisco,Sep,22.9,01/09/2022,2022.pdf
Estado de México,Sep,15.9,01/09/2022,2022.pdf
Michoacán,Sep,21.1,01/09/2022,2022.pdf
