fecha,evento,tipo,peso_comercial
2020-01-03,Pago_Semanal,PAGO,1
2020-01-06,Reyes,COMERCIAL,5
2020-01-10,Pago_Semanal,PAGO,1
2020-01-15,Pago_Quincenal,PAGO,3
2020-01-17,Pago_Semanal,PAGO,1
2020-01-24,Pago_Semanal,PAGO,1
2020-01-31,Pago_Mensual,PAGO,2
2020-01-31,Pago_Semanal,PAGO,1
2020-01-31,Pago_Quincenal,PAGO,3
2020-02-07,Pago_Semanal,PAGO,1
2020-02-14,San_Valentin,COMERCIAL,5
2020-02-14,Pago_Semanal,PAGO,1
2020-02-15,Pago_Quincenal,PAGO,3
2020-02-21,Pago_Semanal,PAGO,1
2020-02-28,Pago_Semanal,PAGO,1
2020-02-29,Pago_Mensual,PAGO,2
2020-02-29,Pago_Quincenal,PAGO,3
2020-03-06,Pago_Semanal,PAGO,1
2020-03-08,Dia_Mujer,COMERCIAL,2
2020-03-13,Pago_Semanal,PAGO,1
2020-03-15,Pago_Quincenal,PAGO,3
2020-03-20,Pago_Semanal,PAGO,1
2020-03-27,Pago_Semanal,PAGO,1
2020-03-31,Pago_Quincenal,PAGO,3
2020-03-31,Pago_Mensual,PAGO,2
2020-04-03,Pago_Semanal,PAGO,1
2020-04-10,Pago_Semanal,PAGO,1
2020-04-15,Pago_Quincenal,PAGO,3
2020-04-17,Pago_Semanal,PAGO,1
2020-04-24,Pago_Semanal,PAGO,1
2020-04-30,Pago_Quincenal,PAGO,3
2020-04-30,Pago_Mensual,PAGO,2
2020-04-30,Dia_Nino,COMERCIAL,4
2020-05-01,Pago_Semanal,PAGO,1
2020-05-08,Pago_Semanal,PAGO,1
2020-05-10,Dia_Madres,COMERCIAL,5
2020-05-15,Pago_Quincenal,PAGO,3
2020-05-15,Pago_Semanal,PAGO,1
2020-05-15,Dia_Maestro,COMERCIAL,2
2020-05-22,Pago_Semanal,PAGO,1
2020-05-29,Pago_Semanal,PAGO,1
2020-05-31,Pago_Mensual,PAGO,2
2020-05-31,Pago_Quincenal,PAGO,3
2020-06-05,Pago_Semanal,PAGO,1
2020-06-12,Pago_Semanal,PAGO,1
2020-06-15,Graduaciones,COMERCIAL,4
2020-06-15,Pago_Quincenal,PAGO,3
2020-06-19,Pago_Semanal,PAGO,1
2020-06-21,Dia_Padre,COMERCIAL,4
2020-06-26,Pago_Semanal,PAGO,1
2020-06-30,Pago_Mensual,PAGO,2
2020-06-30,Pago_Quincenal,PAGO,3
2020-07-03,Pago_Semanal,PAGO,1
2020-07-10,Pago_Semanal,PAGO,1
