DATAFLOW,REF_AREA,FREQ,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DURABILITY,DECIMALS
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-01,0.591605,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-02,0.8296469,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-03,0.990074,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-04,0.5409499,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-05,0.1763114,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-06,0.8444746,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-07,0.7407165,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-08,0.695416,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-09,0.6203404,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-10,0.5659423,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-11,0.5755292,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2022-12,0.3817551,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-01,0.6783788,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-02,0.5575799,A,0,,,1
