"descripcion_normalizada","insumo_id","aprobado","decision","evidencia","clasificacion_analitica"
"1/4 DE PLANCHA","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"15-14-CHS","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"150 CAPACILLOS","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"2 PAQ INIX CONTENEDOR MANTECADA 25 PZ","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"2 PAQ NESTLE CARLOS V STICK 20 PZ","carlos_v_stick","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"30*30*30","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"31*31*20","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"32*32*30","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"40 CAPACILLOS","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"9 COLORES","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"AC AU800","","False","revisar","Pendiente de homologación por descripción.","ACEITE | DECORACION"
"ACEITE AURRERA 800","","False","revisar","Pendiente de homologación por descripción.","ACEITE"
"ACEITE","","False","revisar","Pendiente de homologación por descripción.","ACEITE"
"ALAMBRE","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"ALEGRIA CAPACILLO BCO DOTS COLORES 100PZ","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"ALEGRIA CAPACILLO GOLOSINAS 100 PZ","capacillo_alegria_golosinas","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CAPACILLOS"
"ALEGRIA CAPACILLO GOLOSINAS","capacillo_alegria_golosinas","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CAPACILLOS"
