origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2022-10-24,2022-10-24,1,HARINA,0.38295120973321606,152.99,399.51
2022-10-24,2022-10-24,1,AZUCAR,0.417052595529043,166.62,399.51
2022-10-24,2022-10-24,1,MANTEQUILLA,0.1999961947377409,79.9,399.51
2022-10-24,2022-10-24,1,otros,0.0,0.0,399.51
2022-10-24,2022-10-31,2,HARINA,0.38295120973321606,159.24,415.81999999999994
2022-10-24,2022-10-31,2,AZUCAR,0.417052595529043,173.42,415.81999999999994
2022-10-24,2022-10-31,2,MANTEQUILLA,0.1999961947377409,83.16,415.81999999999994
2022-10-24,2022-10-31,2,otros,0.0,0.0,415.81999999999994
2022-10-24,2022-11-07,3,HARINA,0.38295120973321606,159.97,417.74
2022-10-24,2022-11-07,3,AZUCAR,0.417052595529043,174.22,417.74
2022-10-24,2022-11-07,3,MANTEQUILLA,0.1999961947377409,83.55,417.74
2022-10-24,2022-11-07,3,otros,0.0,0.0,417.74
2022-10-24,2022-11-14,4,HARINA,0.38295120973321606,145.42,379.73999999999995
2022-10-24,2022-11-14,4,AZUCAR,0.417052595529043,158.37,379.73999999999995
2022-10-24,2022-11-14,4,MANTEQUILLA,0.1999961947377409,75.95,379.73999999999995
2022-10-24,2022-11-14,4,otros,0.0,0.0,379.73999999999995
2022-10-31,2022-10-31,1,HARINA,0.3884126308317197,158.17,407.21999999999997
2022-10-31,2022-10-31,1,AZUCAR,0.4115862787411421,167.61,407.21999999999997
2022-10-31,2022-10-31,1,MANTEQUILLA,0.20000109042713826,81.44,407.21999999999997
2022-10-31,2022-10-31,1,otros,0.0,0.0,407.21999999999997
2022-10-31,2022-11-07,2,HARINA,0.3884126308317197,157.76,406.15999999999997
2022-10-31,2022-11-07,2,AZUCAR,0.4115862787411421,167.17,406.15999999999997
2022-10-31,2022-11-07,2,MANTEQUILLA,0.20000109042713826,81.23,406.15999999999997
2022-10-31,2022-11-07,2,otros,0.0,0.0,406.15999999999997
2022-10-31,2022-11-14,3,HARINA,0.3884126308317197,160.26,412.61
2022-10-31,2022-11-14,3,AZUCAR,0.4115862787411421,169.83,412.61
2022-10-31,2022-11-14,3,MANTEQUILLA,0.20000109042713826,82.52,412.61
2022-10-31,2022-11-14,3,otros,0.0,0.0,412.61
2022-10-31,2022-11-21,4,HARINA,0.3884126308317197,179.19,461.34999999999997
2022-10-31,2022-11-21,4,AZUCAR,0.4115862787411421,189.89,461.34999999999997
2022-10-31,2022-11-21,4,MANTEQUILLA,0.20000109042713826,92.27,461.34999999999997
2022-10-31,2022-11-21,4,otros,0.0,0.0,461.34999999999997
2022-11-07,2022-11-07,1,HARINA,0.3948626210884979,159.53,404.02000000000004
2022-11-07,2022-11-07,1,AZUCAR,0.40513695294685925,163.68,404.02000000000004
2022-11-07,2022-11-07,1,MANTEQUILLA,0.2000004259646429,80.81,404.02000000000004
2022-11-07,2022-11-07,1,otros,0.0,0.0,404.02000000000004
2022-11-07,2022-11-14,2,HARINA,0.3948626210884979,157.16,398.01
2022-11-07,2022-11-14,2,AZUCAR,0.40513695294685925,161.25,398.01
2022-11-07,2022-11-14,2,MANTEQUILLA,0.2000004259646429,79.6,398.01
2022-11-07,2022-11-14,2,otros,0.0,0.0,398.01
2022-11-07,2022-11-21,3,HARINA,0.3948626210884979,148.81,376.87
2022-11-07,2022-11-21,3,AZUCAR,0.40513695294685925,152.68,376.87
2022-11-07,2022-11-21,3,MANTEQUILLA,0.2000004259646429,75.38,376.87
2022-11-07,2022-11-21,3,otros,0.0,0.0,376.87
2022-11-07,2022-11-28,4,HARINA,0.3948626210884979,162.27,410.95
2022-11-07,2022-11-28,4,AZUCAR,0.40513695294685925,166.49,410.95
2022-11-07,2022-11-28,4,MANTEQUILLA,0.2000004259646429,82.19,410.95
2022-11-07,2022-11-28,4,otros,0.0,0.0,410.95
2022-11-14,2022-11-14,1,HARINA,0.4022382607394671,165.55,411.57
2022-11-14,2022-11-14,1,AZUCAR,0.39776403678857913,163.71,411.57
2022-11-14,2022-11-14,1,MANTEQUILLA,0.1999977024719538,82.31,411.57
2022-11-14,2022-11-14,1,otros,0.0,0.0,411.57
2022-11-14,2022-11-21,2,HARINA,0.4022382607394671,163.01,405.26
2022-11-14,2022-11-21,2,AZUCAR,0.39776403678857913,161.2,405.26
2022-11-14,2022-11-21,2,MANTEQUILLA,0.1999977024719538,81.05,405.26
2022-11-14,2022-11-21,2,otros,0.0,0.0,405.26
2022-11-14,2022-11-28,3,HARINA,0.4022382607394671,151.9,377.63
2022-11-14,2022-11-28,3,AZUCAR,0.39776403678857913,150.21,377.63
2022-11-14,2022-11-28,3,MANTEQUILLA,0.1999977024719538,75.52,377.63
2022-11-14,2022-11-28,3,otros,0.0,0.0,377.63
2022-11-14,2022-12-05,4,HARINA,0.4022382607394671,176.13,437.86999999999995
2022-11-14,2022-12-05,4,AZUCAR,0.39776403678857913,174.17,437.86999999999995
2022-11-14,2022-12-05,4,MANTEQUILLA,0.1999977024719538,87.57,437.86999999999995
2022-11-14,2022-12-05,4,otros,0.0,0.0,437.86999999999995
2022-11-21,2022-11-21,1,HARINA,0.41041562683007926,169.39,412.74
