id,titulo,estado,archivo,vector,datos,sha256_datos,run_id,capitulo,motivo,demostracion
F00,Arquitectura del pipeline,generada,figuras/F00.png,figuras/F00.svg,figuras/F00_datos.csv,11efe7324df1aa22d36bf7f40420138754aa6383b65e2afd06588de39f8a1a9c,DEMO_20260922T175301Z_918363,Metodología,,True
F01,Auditoría de registros,generada,figuras/F01.png,figuras/F01.svg,figuras/F01_datos.csv,5c1c29671de0d92a1e2e6d313e92a3e979cf317479cdd88300c95f018ceaa0e2,DEMO_20260922T175301Z_918363,Desarrollo,,True
F02,Cobertura semanal,generada,figuras/F02.png,figuras/F02.svg,figuras/F02_datos.csv,920606e63fa7b3b707af6e0fe35bb3dfd427cec2a4e1014ab9561a1867efaea5,DEMO_20260922T175301Z_918363,Desarrollo,,True
F03,Importe semanal de compras,generada,figuras/F03.png,figuras/F03.svg,figuras/F03_datos.csv,fb33f7ece072e655b96229cdd8f2b4758a849ba4a95887f75edfc392a1bad801,DEMO_20260922T175301Z_918363,Desarrollo,,True
F04,Selección de insumos en desarrollo,generada,figuras/F04.png,figuras/F04.svg,figuras/F04_datos.csv,d740ff8b35f3c3bea5ff12de15a5d2295bd7a9bffc0a2f6a6284448ed1e32ff2,DEMO_20260922T175301Z_918363,Desarrollo,,True
F05,Composición semanal en desarrollo,generada,figuras/F05.png,figuras/F05.svg,figuras/F05_datos.csv,e209538be28099a16243aee4fbbd460d257468968d6953339e0d4b9a43b24921,DEMO_20260922T175301Z_918363,Desarrollo,,True
F06,Dependencia temporal en desarrollo,generada,figuras/F06.png,figuras/F06.svg,figuras/F06_datos.csv,998fe9ab2eb64a3730b864b312ae36f86538a9e7ef8e1282431b603e20c380af,DEMO_20260922T175301Z_918363,Desarrollo,,True
F07,Distribución del importe y ceros,generada,figuras/F07.png,figuras/F07.svg,figuras/F07_datos.csv,367ce989d898baa8adbad17091826402336f68828de1de62a12e8fe6f198660a,DEMO_20260922T175301Z_918363,Desarrollo,,True
F08,Descomposición temporal exploratoria,omitida,,,,,DEMO_20260922T175301Z_918363,Desarrollo,STL requiere al menos 156 semanas de desarrollo sin huecos en esta configuración.,True
F09,Particiones temporales,generada,figuras/F09.png,figuras/F09.svg,figuras/F09_datos.csv,bafd4f170fae1000eda70275bddd53576236250f2ef8d74b4413b194509e55bd,DEMO_20260922T175301Z_918363,Desarrollo,,True
