horizonte,modelo,insumo_id,mae_pp,n,excluidas
1,participacion_ewm,AZUCAR,1.4070000933309061,15,1
1,participacion_ewm,HARINA,1.4069511215709385,15,1
1,participacion_ewm,MANTEQUILLA,0.000594751646237531,15,1
1,participacion_ewm,otros,0.0,15,1
1,participacion_historica,AZUCAR,3.7361048245954844,15,1
1,participacion_historica,HARINA,3.7361534694721406,15,1
1,participacion_historica,MANTEQUILLA,0.0004965518405941616,15,1
1,participacion_historica,otros,0.0,15,1
2,participacion_ewm,AZUCAR,2.282945577872493,14,1
2,participacion_ewm,HARINA,2.2829348583234323,14,1
2,participacion_ewm,MANTEQUILLA,0.0005747935486837195,14,1
2,participacion_ewm,otros,0.0,14,1
2,participacion_historica,AZUCAR,3.6014597585491486,14,1
2,participacion_historica,HARINA,3.6014865786948067,14,1
2,participacion_historica,MANTEQUILLA,0.0005039121939476707,14,1
2,participacion_historica,otros,0.0,14,1
3,participacion_ewm,AZUCAR,3.185705672248399,13,1
3,participacion_ewm,HARINA,3.185655327259255,13,1
3,participacion_ewm,MANTEQUILLA,0.0005379561730157916,13,1
3,participacion_ewm,otros,0.0,13,1
3,participacion_historica,AZUCAR,3.495535614038509,13,1
3,participacion_historica,HARINA,3.495567001060677,13,1
3,participacion_historica,MANTEQUILLA,0.0005400947716347129,13,1
3,participacion_historica,otros,0.0,13,1
4,participacion_ewm,AZUCAR,4.110449574705358,12,1
4,participacion_ewm,HARINA,4.110466655774281,12,1
4,participacion_ewm,MANTEQUILLA,0.000619710665339159,12,1
4,participacion_ewm,otros,0.0,12,1
4,participacion_historica,AZUCAR,3.430718025028302,12,1
4,participacion_historica,HARINA,3.430788651470339,12,1
4,participacion_historica,MANTEQUILLA,0.0005512893198345489,12,1
4,participacion_historica,otros,0.0,12,1
1,participacion_ewm,PROMEDIO_MACRO,0.7036364916370206,15,1
1,participacion_historica,PROMEDIO_MACRO,1.8681887114770548,15,1
2,participacion_ewm,PROMEDIO_MACRO,1.1416138074361524,14,1
2,participacion_historica,PROMEDIO_MACRO,1.8008625623594758,14,1
3,participacion_ewm,PROMEDIO_MACRO,1.5929747389201674,13,1
3,participacion_historica,PROMEDIO_MACRO,1.7479106774677053,13,1
4,participacion_ewm,PROMEDIO_MACRO,2.0553839852862446,12,1
4,participacion_historica,PROMEDIO_MACRO,1.715514491454619,12,1
