semana_inicio,AZUCAR,HARINA,MANTEQUILLA,total
2021-01-04,0.0,0.0,0.0,0.0
2021-01-11,113.24,153.19,66.61,333.04
2021-01-18,112.24,159.68,67.98,339.90000000000003
2021-01-25,119.64,178.81,74.61,373.06
2021-02-01,116.36,182.35,74.68,373.39
2021-02-08,98.2,160.9,64.77,323.87
2021-02-15,90.93,155.26,61.55,307.74
2021-02-22,85.91,152.23,59.54,297.68
2021-03-01,75.88,138.86,53.68,268.42
2021-03-08,71.45,134.3,51.44,257.19
2021-03-15,67.2,128.96,49.04,245.20000000000002
2021-03-22,75.4,146.74,55.53,277.67
2021-03-29,80.91,158.65,59.89,299.45
2021-04-05,0.0,0.0,0.0,0.0
2021-04-12,94.86,184.88,69.94,349.68
2021-04-19,105.48,202.85,77.08,385.40999999999997
2021-04-26,107.9,203.44,77.83,389.17
2021-05-03,104.69,192.34,74.26,371.28999999999996
2021-05-10,106.82,190.15,74.24,371.21000000000004
2021-05-17,97.58,167.5,66.27,331.34999999999997
2021-05-24,98.55,162.4,65.24,326.19
2021-05-31,90.39,142.5,58.22,291.11
2021-06-07,87.75,131.99,54.94,274.68
2021-06-14,87.75,125.67,53.35,266.77000000000004
2021-06-21,102.05,138.98,60.26,301.28999999999996
2021-06-28,107.31,138.9,61.55,307.76
2021-07-05,0.0,0.0,0.0,0.0
2021-07-12,133.86,156.74,72.65,363.25
2021-07-19,146.37,163.35,77.43,387.15000000000003
2021-07-26,158.53,169.03,81.89,409.45
2021-08-02,160.46,163.93,81.1,405.49
2021-08-09,157.89,155.11,78.25,391.25
2021-08-16,150.89,143.14,73.51,367.53999999999996
2021-08-23,150.32,138.35,72.17,360.84
2021-08-30,129.15,115.92,61.27,306.34
2021-09-06,123.5,108.7,58.05,290.25
2021-09-13,121.9,105.84,56.93,284.67
2021-09-20,134.71,116.1,62.7,313.51
2021-09-27,147.33,126.81,68.53,342.66999999999996
2021-10-04,0.0,0.0,0.0,0.0
2021-10-11,164.93,144.28,77.3,386.51000000000005
2021-10-18,169.65,150.99,80.16,400.79999999999995
2021-10-25,172.79,157.34,82.53,412.65999999999997
2021-11-01,176.96,165.76,85.68,428.40000000000003
2021-11-08,168.55,163.21,82.94,414.7
2021-11-15,154.94,155.76,77.68,388.38
2021-11-22,135.43,141.9,69.33,346.66
2021-11-29,127.31,139.48,66.7,333.48999999999995
2021-12-06,118.15,135.69,63.46,317.3
2021-12-13,114.79,138.46,63.31,316.56
2021-12-20,118.52,150.34,67.22,336.08000000000004
2021-12-27,120.38,160.66,70.26,351.29999999999995
2022-01-03,0.0,0.0,0.0,0.0
2022-01-10,134.29,198.13,83.11,415.53
2022-01-17,135.39,209.56,86.24,431.19
2022-01-24,136.05,220.37,89.11,445.53000000000003
2022-01-31,133.16,224.98,89.54,447.68
2022-02-07,118.4,207.84,81.56,407.8
2022-02-14,112.96,205.06,79.5,397.52
2022-02-21,102.81,191.99,73.7,368.5
2022-02-28,94.19,179.85,68.51,342.54999999999995
2022-03-07,90.36,175.32,66.42,332.1
2022-03-14,95.02,186.08,70.28,351.38
2022-03-21,90.38,177.4,66.95,334.72999999999996
2022-03-28,102.85,200.94,75.95,379.73999999999995
2022-04-04,0.0,0.0,0.0,0.0
2022-04-11,112.32,213.03,81.34,406.69000000000005
2022-04-18,125.12,231.57,89.17,445.86
2022-04-25,132.62,238.19,92.7,463.51
2022-05-02,136.55,236.76,93.33,466.64
2022-05-09,136.01,226.65,90.66,453.31999999999994
2022-05-16,132.64,211.66,86.08,430.37999999999994
2022-05-23,123.47,188.1,77.89,389.46
2022-05-30,118.85,172.48,72.83,364.15999999999997
2022-06-06,122.74,169.42,73.04,365.2
2022-06-13,121.33,159.18,70.13,350.64
2022-06-20,124.36,155.09,69.86,349.31
2022-06-27,136.86,162.36,74.8,374.02000000000004
2022-07-04,0.0,0.0,0.0,0.0
2022-07-11,167.53,180.75,87.07,435.34999999999997
2022-07-18,187.06,193.22,95.07,475.34999999999997
2022-07-25,193.86,192.36,96.55,482.77000000000004
2022-08-01,199.23,190.68,97.48,487.39
2022-08-08,190.59,176.74,91.83,459.16
2022-08-15,185.92,167.89,88.45,442.25999999999993
2022-08-22,178.59,157.92,84.13,420.64
2022-08-29,164.84,143.56,77.1,385.5
2022-09-05,163.13,140.78,75.98,379.89
2022-09-12,156.73,134.86,72.9,364.49
2022-09-19,163.04,140.77,75.95,379.76
2022-09-26,172.05,149.97,80.51,402.53
2022-10-03,0.0,0.0,0.0,0.0
2022-10-10,189.66,171.57,90.31,451.54
2022-10-17,205.15,190.63,98.94,494.71999999999997
2022-10-24,202.08,193.87,98.99,494.94000000000005
2022-10-31,200.0,199.0,99.75,498.75
2022-11-07,192.36,199.29,97.91,489.55999999999995
2022-11-14,178.72,193.45,93.04,465.21
2022-11-21,165.19,187.31,88.13,440.63
2022-11-28,148.84,177.19,81.51,407.53999999999996
2022-12-05,138.15,172.91,77.76,388.82
2022-12-12,135.01,177.77,78.2,390.97999999999996
2022-12-19,128.58,178.12,76.67,383.37000000000006
2022-12-26,133.29,194.11,81.85,409.25
2023-01-02,0.0,0.0,0.0,0.0
2023-01-09,144.42,231.19,93.9,469.51
2023-01-16,148.66,248.47,99.28,496.40999999999997
2023-01-23,153.33,266.56,104.97,524.86
2023-01-30,144.92,260.87,101.45,507.23999999999995
2023-02-06,139.78,259.22,99.75,498.75
