rezago,acf,pacf
0,1.0,1.0
1,0.16295387262534924,0.16478481501439807
2,0.10875124608420067,0.08641535566883672
3,0.04207636654766863,0.012990420437866256
4,-0.030718329684808525,-0.05198318341863858
5,-0.05719444195132129,-0.055404256251537616
6,-0.10160810411219039,-0.08770970225775049
7,-0.10395967247591921,-0.07388864156441559
8,-0.06068857228205083,-0.020555621571634337
9,-0.03806946858747988,-0.010713400693750706
10,0.02358092802189638,0.04100026544612682
11,0.07336529434164177,0.07106218136072466
12,0.12274686519896659,0.10376821380824879
13,0.8206229709565728,0.9574252930410647
14,0.1072698470671414,-0.739499886948704
15,0.0598039812045936,-0.6075449202002068
16,0.016518146610536938,0.696466134901688
17,-0.039505869212058606,1.2113597617121608
18,-0.07524136130621922,6.1585460434949475
19,-0.11684386852826145,-1.645505504113318
20,-0.11169388993007884,-1.144567066360228
21,-0.07894238955660236,-0.4597590507847347
22,-0.06787459473159899,0.5183245147971196
23,-0.019729184128384487,-0.029367556448258992
24,0.02529178361989748,-0.42320953908995596
25,0.06494629845078459,-0.11921571664266029
26,0.6511673518256281,0.9376562501590587
