semana_inicio,total
2021-01-04,0.0
2021-01-11,333.04
2021-01-18,339.90000000000003
2021-01-25,373.06
2021-02-01,373.39
2021-02-08,323.87
2021-02-15,307.74
2021-02-22,297.68
2021-03-01,268.42
2021-03-08,257.19
2021-03-15,245.20000000000002
2021-03-22,277.67
2021-03-29,299.45
2021-04-05,0.0
2021-04-12,349.68
2021-04-19,385.40999999999997
2021-04-26,389.17
2021-05-03,371.28999999999996
2021-05-10,371.21000000000004
2021-05-17,331.34999999999997
2021-05-24,326.19
2021-05-31,291.11
2021-06-07,274.68
2021-06-14,266.77000000000004
2021-06-21,301.28999999999996
2021-06-28,307.76
2021-07-05,0.0
2021-07-12,363.25
2021-07-19,387.15000000000003
2021-07-26,409.45
2021-08-02,405.49
2021-08-09,391.25
2021-08-16,367.53999999999996
2021-08-23,360.84
2021-08-30,306.34
2021-09-06,290.25
2021-09-13,284.67
2021-09-20,313.51
2021-09-27,342.66999999999996
2021-10-04,0.0
2021-10-11,386.51000000000005
2021-10-18,400.79999999999995
2021-10-25,412.65999999999997
2021-11-01,428.40000000000003
2021-11-08,414.7
2021-11-15,388.38
2021-11-22,346.66
2021-11-29,333.48999999999995
2021-12-06,317.3
2021-12-13,316.56
2021-12-20,336.08000000000004
2021-12-27,351.29999999999995
2022-01-03,0.0
2022-01-10,415.53
2022-01-17,431.19
2022-01-24,445.53000000000003
2022-01-31,447.68
2022-02-07,407.8
2022-02-14,397.52
2022-02-21,368.5
2022-02-28,342.54999999999995
2022-03-07,332.1
2022-03-14,351.38
2022-03-21,334.72999999999996
2022-03-28,379.73999999999995
2022-04-04,0.0
2022-04-11,406.69000000000005
2022-04-18,445.86
2022-04-25,463.51
2022-05-02,466.64
2022-05-09,453.31999999999994
2022-05-16,430.37999999999994
2022-05-23,389.46
2022-05-30,364.15999999999997
2022-06-06,365.2
2022-06-13,350.64
2022-06-20,349.31
2022-06-27,374.02000000000004
2022-07-04,0.0
2022-07-11,435.34999999999997
2022-07-18,475.34999999999997
2022-07-25,482.77000000000004
2022-08-01,487.39
2022-08-08,459.16
2022-08-15,442.25999999999993
2022-08-22,420.64
2022-08-29,385.5
2022-09-05,379.89
2022-09-12,364.49
2022-09-19,379.76
