origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2022-10-03,2022-10-03,1,ss_arima111,0.0,376.8846486734773,70.26137254901961
2022-10-03,2022-10-03,1,rf,0.0,353.8320680164034,70.26137254901961
2022-10-03,2022-10-03,1,hibrido,0.0,371.12150350920876,70.26137254901961
2022-10-03,2022-10-03,1,ultimo_valor,0.0,402.53,70.26137254901961
2022-10-03,2022-10-03,1,promedio_4s,0.0,381.66749999999996,70.26137254901961
2022-10-03,2022-10-03,1,estacional_52s,0.0,0.0,70.26137254901961
2022-10-03,2022-10-10,2,ss_ar1,451.54,366.2271141671407,70.26137254901961
2022-10-03,2022-10-10,2,hgb,451.54,417.8570639965254,70.26137254901961
2022-10-03,2022-10-10,2,hibrido,451.54,404.94957653917925,70.26137254901961
2022-10-03,2022-10-10,2,ultimo_valor,451.54,402.53,70.26137254901961
2022-10-03,2022-10-10,2,promedio_4s,451.54,381.66749999999996,70.26137254901961
2022-10-03,2022-10-10,2,estacional_52s,451.54,386.51000000000005,70.26137254901961
2022-10-03,2022-10-17,3,ss_ar1,494.71999999999997,365.80671839346104,70.26137254901961
2022-10-03,2022-10-17,3,hgb,494.71999999999997,374.9759191406388,70.26137254901961
2022-10-03,2022-10-17,3,hibrido,494.71999999999997,372.68361895384436,70.26137254901961
2022-10-03,2022-10-17,3,ultimo_valor,494.71999999999997,402.53,70.26137254901961
2022-10-03,2022-10-17,3,promedio_4s,494.71999999999997,381.66749999999996,70.26137254901961
2022-10-03,2022-10-17,3,estacional_52s,494.71999999999997,400.79999999999995,70.26137254901961
2022-10-03,2022-10-24,4,ss_arima111,494.94000000000005,372.8468994893136,70.26137254901961
2022-10-03,2022-10-24,4,hgb,494.94000000000005,362.55190777546136,70.26137254901961
2022-10-03,2022-10-24,4,hibrido,494.94000000000005,365.1256557039244,70.26137254901961
2022-10-03,2022-10-24,4,ultimo_valor,494.94000000000005,402.53,70.26137254901961
2022-10-03,2022-10-24,4,promedio_4s,494.94000000000005,381.66749999999996,70.26137254901961
2022-10-03,2022-10-24,4,estacional_52s,494.94000000000005,412.65999999999997,70.26137254901961
2022-10-24,2022-10-24,1,ss_arima111,494.94000000000005,378.54818274381955,79.76313725490195
2022-10-24,2022-10-24,1,rf,494.94000000000005,436.4153161690502,79.76313725490195
2022-10-24,2022-10-24,1,hibrido,494.94000000000005,393.0149661001272,79.76313725490195
2022-10-24,2022-10-24,1,ultimo_valor,494.94000000000005,494.71999999999997,79.76313725490195
2022-10-24,2022-10-24,1,promedio_4s,494.94000000000005,337.1975,79.76313725490195
2022-10-24,2022-10-24,1,estacional_52s,494.94000000000005,412.65999999999997,79.76313725490195
2022-10-24,2022-10-31,2,ss_ar1,498.75,370.0479140795005,79.76313725490195
2022-10-24,2022-10-31,2,hgb,498.75,435.7478980779251,79.76313725490195
2022-10-24,2022-10-31,2,hibrido,498.75,419.3229020783189,79.76313725490195
2022-10-24,2022-10-31,2,ultimo_valor,498.75,494.71999999999997,79.76313725490195
2022-10-24,2022-10-31,2,promedio_4s,498.75,337.1975,79.76313725490195
2022-10-24,2022-10-31,2,estacional_52s,498.75,428.40000000000003,79.76313725490195
2022-10-24,2022-11-07,3,ss_ar1,489.55999999999995,369.71751037619504,79.76313725490195
2022-10-24,2022-11-07,3,hgb,489.55999999999995,492.8516752773253,79.76313725490195
2022-10-24,2022-11-07,3,hibrido,489.55999999999995,462.06813405204275,79.76313725490195
2022-10-24,2022-11-07,3,ultimo_valor,489.55999999999995,494.71999999999997,79.76313725490195
2022-10-24,2022-11-07,3,promedio_4s,489.55999999999995,337.1975,79.76313725490195
2022-10-24,2022-11-07,3,estacional_52s,489.55999999999995,414.7,79.76313725490195
2022-10-24,2022-11-14,4,ss_arima111,465.21,369.7641838607147,79.76313725490195
2022-10-24,2022-11-14,4,hgb,465.21,438.35777973247843,79.76313725490195
2022-10-24,2022-11-14,4,hibrido,465.21,421.2093807645375,79.76313725490195
2022-10-24,2022-11-14,4,ultimo_valor,465.21,494.71999999999997,79.76313725490195
2022-10-24,2022-11-14,4,promedio_4s,465.21,337.1975,79.76313725490195
