horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,6,65.0638258430392,58.966666666666676,0.7405553949230846,6,0,complementaria_disponibilidad_propia
1,hibrido,6,166.81493430487652,117.3075051699068,1.5736424958438817,6,0,principal_fechas_comunes
1,promedio_4s,6,186.29502885488293,138.00958333333332,1.8324763457963371,6,0,complementaria_disponibilidad_propia
1,rf,6,164.54019736538794,122.3103552632848,1.6328150565919712,6,0,principal_fechas_comunes
1,ss_arima111,6,169.92655552024937,117.61205041102016,1.5788371109267534,6,0,principal_fechas_comunes
1,ultimo_valor,6,165.5129373593899,83.09999999999998,1.1558101691856189,6,0,principal_fechas_comunes
2,estacional_52s,6,70.52182829923414,63.84999999999997,0.818827005050404,6,0,complementaria_disponibilidad_propia
2,hgb,6,172.3624921164936,113.20240903625599,1.4363987255957358,6,0,principal_fechas_comunes
2,hibrido,6,172.3572263888852,118.79627255155727,1.5091141825763146,6,0,principal_fechas_comunes
2,promedio_4s,6,198.1021734300468,157.84125000000003,1.9998402512079139,6,0,complementaria_disponibilidad_propia
2,ss_ar1,6,179.83048345343025,135.57786309746118,1.727260553518052,6,0,principal_fechas_comunes
2,ultimo_valor,6,160.79115797621878,92.87500000000001,1.1849294656012281,6,0,principal_fechas_comunes
3,estacional_52s,6,69.04825196918456,67.27666666666666,0.8709791688724752,6,0,complementaria_disponibilidad_propia
3,hgb,6,70.72078103976632,51.3295512999614,0.679779841770853,6,0,principal_fechas_comunes
3,hibrido,6,71.0456306779368,55.2024298021386,0.7273221323954268,6,0,principal_fechas_comunes
3,promedio_4s,6,122.98304643069707,114.7120833333333,1.4666018971588175,6,0,complementaria_disponibilidad_propia
3,ss_ar1,6,95.51619863390488,82.73396550149383,1.0710701381017393,6,0,principal_fechas_comunes
3,ultimo_valor,6,64.13623975569504,54.5683333333333,0.7125238929790311,6,0,principal_fechas_comunes
4,estacional_52s,6,74.91296182904532,74.12500000000001,0.9525716368729618,6,0,complementaria_disponibilidad_propia
4,hgb,6,105.26668399113349,83.37814331532891,1.0890430885691094,6,0,principal_fechas_comunes
4,hibrido,6,96.57807387685608,81.06702496306447,1.0571073908660553,6,0,principal_fechas_comunes
4,promedio_4s,6,120.02404325540361,112.56541666666668,1.4406364454310256,6,0,complementaria_disponibilidad_propia
4,ss_arima111,6,91.15079345412464,78.88660855402503,1.0215181830336728,6,0,principal_fechas_comunes
4,ultimo_valor,6,74.38070885653079,61.10833333333333,0.79552016776367,6,0,principal_fechas_comunes
