horizonte,modelo,insumo_id,mae_pp,n,excluidas
1,participacion_ewm,AZUCAR,1.361735232890814,5,1
1,participacion_ewm,HARINA,1.361831144718376,5,1
1,participacion_ewm,MANTEQUILLA,0.000589778120997364,5,1
1,participacion_ewm,otros,0.0,5,1
1,participacion_historica,AZUCAR,3.330028747739706,5,1
1,participacion_historica,HARINA,3.3298601412836106,5,1
1,participacion_historica,MANTEQUILLA,0.0004971145743826177,5,1
1,participacion_historica,otros,0.0,5,1
2,participacion_ewm,AZUCAR,1.8759246953024,5,1
2,participacion_ewm,HARINA,1.875529403715929,5,1
2,participacion_ewm,MANTEQUILLA,0.00043851915755455106,5,1
2,participacion_ewm,otros,0.0,5,1
2,participacion_historica,AZUCAR,4.0280492766072715,5,1
2,participacion_historica,HARINA,4.028161728866648,5,1
2,participacion_historica,MANTEQUILLA,0.0005183791547325178,5,1
2,participacion_historica,otros,0.0,5,1
3,participacion_ewm,AZUCAR,2.7941335838021053,6,0
3,participacion_ewm,HARINA,2.794361518910059,6,0
3,participacion_ewm,MANTEQUILLA,0.000732289310787874,6,0
3,participacion_ewm,otros,0.0,6,0
3,participacion_historica,AZUCAR,3.942233811277678,6,0
3,participacion_historica,HARINA,3.9422789372524956,6,0
3,participacion_historica,MANTEQUILLA,0.000630475836733054,6,0
3,participacion_historica,otros,0.0,6,0
4,participacion_ewm,AZUCAR,3.5994797772723808,6,0
4,participacion_ewm,HARINA,3.599650393666933,6,0
4,participacion_ewm,MANTEQUILLA,0.00031106739654164955,6,0
4,participacion_ewm,otros,0.0,6,0
4,participacion_historica,AZUCAR,3.9125582583267224,6,0
4,participacion_historica,HARINA,3.9124366460030005,6,0
4,participacion_historica,MANTEQUILLA,0.0004304042032147552,6,0
4,participacion_historica,otros,0.0,6,0
1,participacion_ewm,PROMEDIO_MACRO,0.6810390389325469,5,1
1,participacion_historica,PROMEDIO_MACRO,1.6650965008994247,5,1
2,participacion_ewm,PROMEDIO_MACRO,0.9379731545439709,5,1
2,participacion_historica,PROMEDIO_MACRO,2.014182346157163,5,1
3,participacion_ewm,PROMEDIO_MACRO,1.397306848005738,6,0
3,participacion_historica,PROMEDIO_MACRO,1.9712858060917267,6,0
4,participacion_ewm,PROMEDIO_MACRO,1.7998603095839638,6,0
4,participacion_historica,PROMEDIO_MACRO,1.9563563271332345,6,0
