etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
validacion_interna,2022-05-30,2022-05-30,1,2021-05-31,2022-05-23,52,True,
validacion_interna,2022-05-30,2022-06-06,2,2021-05-31,2022-05-23,52,True,
validacion_interna,2022-05-30,2022-06-13,3,2021-05-31,2022-05-23,52,True,
validacion_interna,2022-05-30,2022-06-20,4,2021-05-31,2022-05-23,52,True,
validacion_interna,2022-06-20,2022-06-20,1,2021-06-21,2022-06-13,52,True,
validacion_interna,2022-06-20,2022-06-27,2,2021-06-21,2022-06-13,52,True,
validacion_interna,2022-06-20,2022-07-04,3,2021-06-21,2022-06-13,52,True,
validacion_interna,2022-06-20,2022-07-11,4,2021-06-21,2022-06-13,52,True,
validacion_interna,2022-07-11,2022-07-11,1,2021-07-12,2022-07-04,52,True,
validacion_interna,2022-07-11,2022-07-18,2,2021-07-12,2022-07-04,52,True,
validacion_interna,2022-07-11,2022-07-25,3,2021-07-12,2022-07-04,52,True,
validacion_interna,2022-07-11,2022-08-01,4,2021-07-12,2022-07-04,52,True,
validacion_interna,2022-08-01,2022-08-01,1,2021-08-02,2022-07-25,52,True,
validacion_interna,2022-08-01,2022-08-08,2,2021-08-02,2022-07-25,52,True,
validacion_interna,2022-08-01,2022-08-15,3,2021-08-02,2022-07-25,52,True,
validacion_interna,2022-08-01,2022-08-22,4,2021-08-02,2022-07-25,52,True,
validacion_interna,2022-08-22,2022-08-22,1,2021-08-23,2022-08-15,52,True,
validacion_interna,2022-08-22,2022-08-29,2,2021-08-23,2022-08-15,52,True,
validacion_interna,2022-08-22,2022-09-05,3,2021-08-23,2022-08-15,52,True,
validacion_interna,2022-08-22,2022-09-12,4,2021-08-23,2022-08-15,52,True,
evaluacion,2022-10-03,2022-10-03,1,2021-10-04,2022-09-26,52,True,
evaluacion,2022-10-03,2022-10-10,2,2021-10-04,2022-09-26,52,True,
evaluacion,2022-10-03,2022-10-17,3,2021-10-04,2022-09-26,52,True,
evaluacion,2022-10-03,2022-10-24,4,2021-10-04,2022-09-26,52,True,
evaluacion,2022-10-24,2022-10-24,1,2021-10-25,2022-10-17,52,True,
evaluacion,2022-10-24,2022-10-31,2,2021-10-25,2022-10-17,52,True,
evaluacion,2022-10-24,2022-11-07,3,2021-10-25,2022-10-17,52,True,
evaluacion,2022-10-24,2022-11-14,4,2021-10-25,2022-10-17,52,True,
evaluacion,2022-11-14,2022-11-14,1,2021-11-15,2022-11-07,52,True,
evaluacion,2022-11-14,2022-11-21,2,2021-11-15,2022-11-07,52,True,
evaluacion,2022-11-14,2022-11-28,3,2021-11-15,2022-11-07,52,True,
evaluacion,2022-11-14,2022-12-05,4,2021-11-15,2022-11-07,52,True,
evaluacion,2022-12-05,2022-12-05,1,2021-12-06,2022-11-28,52,True,
evaluacion,2022-12-05,2022-12-12,2,2021-12-06,2022-11-28,52,True,
evaluacion,2022-12-05,2022-12-19,3,2021-12-06,2022-11-28,52,True,
evaluacion,2022-12-05,2022-12-26,4,2021-12-06,2022-11-28,52,True,
evaluacion,2022-12-26,2022-12-26,1,2021-12-27,2022-12-19,52,True,
evaluacion,2022-12-26,2023-01-02,2,2021-12-27,2022-12-19,52,True,
evaluacion,2022-12-26,2023-01-09,3,2021-12-27,2022-12-19,52,True,
evaluacion,2022-12-26,2023-01-16,4,2021-12-27,2022-12-19,52,True,
evaluacion,2023-01-16,2023-01-16,1,2022-01-17,2023-01-09,52,True,
evaluacion,2023-01-16,2023-01-23,2,2022-01-17,2023-01-09,52,True,
evaluacion,2023-01-16,2023-01-30,3,2022-01-17,2023-01-09,52,True,
evaluacion,2023-01-16,2023-02-06,4,2022-01-17,2023-01-09,52,True,
