horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,14093.601960925715,5
1,ss_ar1,hgb,0.5,10628.294600163317,5
1,ss_ar1,hgb,0.75,8159.490379716672,5
1,ss_ar1,rf,0.25,8644.983265096447,5
1,ss_ar1,rf,0.5,7450.788105557933,5
1,ss_ar1,rf,0.75,6798.190117054376,5
1,ss_arima111,hgb,0.25,14222.948376144745,5
1,ss_arima111,hgb,0.5,10801.97122637408,5
1,ss_arima111,hgb,0.75,8292.481012691844,5
1,ss_arima111,rf,0.25,8557.762065794494,5
1,ss_arima111,rf,0.5,7335.707912407379,5
1,ss_arima111,rf,0.75,6714.61313550856,5
2,ss_ar1,hgb,0.25,1986.2818452749198,5
2,ss_ar1,hgb,0.5,2828.7740518578553,5
2,ss_ar1,hgb,0.75,4152.81392217205,5
2,ss_ar1,rf,0.25,3803.1209792541254,5
2,ss_ar1,rf,0.5,4375.890352536123,5
2,ss_ar1,rf,0.75,5094.317178190582,5
2,ss_arima111,hgb,0.25,1996.1749863824311,5
2,ss_arima111,hgb,0.5,2810.3601397804223,5
2,ss_arima111,hgb,0.75,4067.8927626172276,5
2,ss_arima111,rf,0.25,3776.7917809983505,5
2,ss_arima111,rf,0.5,4309.1799879743085,5
2,ss_arima111,rf,0.75,4973.173679272474,5
3,ss_ar1,hgb,0.25,19382.671276331042,5
3,ss_ar1,hgb,0.5,22141.872786477397,5
3,ss_ar1,hgb,0.75,25475.31240430366,5
3,ss_ar1,rf,0.25,22148.241024803872,5
3,ss_ar1,rf,0.5,24246.365880463636,5
3,ss_ar1,rf,0.75,26657.948915465626,5
3,ss_arima111,hgb,0.25,19570.647876821364,5
3,ss_arima111,hgb,0.5,22567.203724500687,5
3,ss_arima111,hgb,0.75,26187.375416902574,5
3,ss_arima111,rf,0.25,22264.806076456756,5
3,ss_arima111,rf,0.5,24576.48142003703,5
3,ss_arima111,rf,0.75,27298.60037922712,5
4,ss_ar1,hgb,0.25,3090.544540893877,5
4,ss_ar1,hgb,0.5,3920.2064857772784,5
4,ss_ar1,hgb,0.75,4995.311970436882,5
4,ss_ar1,rf,0.25,4784.588840868907,5
4,ss_ar1,rf,0.5,4836.777627298454,5
4,ss_ar1,rf,0.75,5347.201678633048,5
4,ss_arima111,hgb,0.25,3049.075598279148,5
4,ss_arima111,hgb,0.5,3827.3584450600038,5
4,ss_arima111,hgb,0.75,4841.174676129254,5
4,ss_arima111,rf,0.25,4573.802274670096,5
4,ss_arima111,rf,0.5,4518.172755135738,5
4,ss_arima111,rf,0.75,5023.746760741338,5
