origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2024-01-08,2024-01-08,1,CHOCOLATE,0.13490752245763368,96.32,713.98
2024-01-08,2024-01-08,1,HARINA,0.13426434416822675,95.86,713.98
2024-01-08,2024-01-08,1,FONDANT,0.06746209567125096,48.17,713.98
2024-01-08,2024-01-08,1,EMPAQUE,0.11991979706176087,85.62,713.98
2024-01-08,2024-01-08,1,RELLENO,0.08917249331568709,63.67,713.98
2024-01-08,2024-01-08,1,CHANTILLY,0.08332619504170896,59.49,713.98
2024-01-08,2024-01-08,1,DECORACION,0.04349940415353653,31.06,713.98
2024-01-08,2024-01-08,1,AMBIANTE,0.040470511646232936,28.9,713.98
2024-01-08,2024-01-08,1,HUEVO,0.025046745206260067,17.88,713.98
2024-01-08,2024-01-08,1,QUESO CREMA,0.026910560440890244,19.21,713.98
2024-01-08,2024-01-08,1,otros,0.23502033083681192,167.8,713.98
2024-01-08,2024-01-15,2,CHOCOLATE,0.13490752245763368,80.66,597.9100000000001
2024-01-08,2024-01-15,2,HARINA,0.13426434416822675,80.28,597.9100000000001
2024-01-08,2024-01-15,2,FONDANT,0.06746209567125096,40.34,597.9100000000001
2024-01-08,2024-01-15,2,EMPAQUE,0.11991979706176087,71.7,597.9100000000001
2024-01-08,2024-01-15,2,RELLENO,0.08917249331568709,53.32,597.9100000000001
2024-01-08,2024-01-15,2,CHANTILLY,0.08332619504170896,49.82,597.9100000000001
2024-01-08,2024-01-15,2,DECORACION,0.04349940415353653,26.01,597.9100000000001
2024-01-08,2024-01-15,2,AMBIANTE,0.040470511646232936,24.2,597.9100000000001
2024-01-08,2024-01-15,2,HUEVO,0.025046745206260067,14.97,597.9100000000001
2024-01-08,2024-01-15,2,QUESO CREMA,0.026910560440890244,16.09,597.9100000000001
2024-01-08,2024-01-15,2,otros,0.23502033083681192,140.52,597.9100000000001
2024-01-08,2024-01-22,3,CHOCOLATE,0.13490752245763368,109.99,815.27
2024-01-08,2024-01-22,3,HARINA,0.13426434416822675,109.46,815.27
2024-01-08,2024-01-22,3,FONDANT,0.06746209567125096,55.0,815.27
2024-01-08,2024-01-22,3,EMPAQUE,0.11991979706176087,97.77,815.27
2024-01-08,2024-01-22,3,RELLENO,0.08917249331568709,72.7,815.27
2024-01-08,2024-01-22,3,CHANTILLY,0.08332619504170896,67.93,815.27
2024-01-08,2024-01-22,3,DECORACION,0.04349940415353653,35.46,815.27
2024-01-08,2024-01-22,3,AMBIANTE,0.040470511646232936,32.99,815.27
2024-01-08,2024-01-22,3,HUEVO,0.025046745206260067,20.42,815.27
2024-01-08,2024-01-22,3,QUESO CREMA,0.026910560440890244,21.94,815.27
2024-01-08,2024-01-22,3,otros,0.23502033083681192,191.61,815.27
2024-01-22,2024-01-22,1,CHOCOLATE,0.10941133515721992,95.37,871.65
2024-01-22,2024-01-22,1,HARINA,0.12744698066665158,111.09,871.65
2024-01-22,2024-01-22,1,FONDANT,0.062256314636844036,54.27,871.65
2024-01-22,2024-01-22,1,EMPAQUE,0.10090457261183289,87.95,871.65
2024-01-22,2024-01-22,1,RELLENO,0.06946820837783946,60.55,871.65
2024-01-22,2024-01-22,1,CHANTILLY,0.06501976729111646,56.67,871.65
2024-01-22,2024-01-22,1,DECORACION,0.052897171273968646,46.11,871.65
2024-01-22,2024-01-22,1,AMBIANTE,0.03155177848689226,27.5,871.65
2024-01-22,2024-01-22,1,HUEVO,0.029299202229269728,25.54,871.65
2024-01-22,2024-01-22,1,QUESO CREMA,0.03753410710000699,32.72,871.65
2024-01-22,2024-01-22,1,otros,0.3142105621683581,273.88,871.65
2024-01-22,2024-02-05,3,CHOCOLATE,0.10941133515721992,81.33,743.3499999999999
2024-01-22,2024-02-05,3,HARINA,0.12744698066665158,94.74,743.3499999999999
2024-01-22,2024-02-05,3,FONDANT,0.062256314636844036,46.28,743.3499999999999
2024-01-22,2024-02-05,3,EMPAQUE,0.10090457261183289,75.01,743.3499999999999
2024-01-22,2024-02-05,3,RELLENO,0.06946820837783946,51.64,743.3499999999999
2024-01-22,2024-02-05,3,CHANTILLY,0.06501976729111646,48.33,743.3499999999999
2024-01-22,2024-02-05,3,DECORACION,0.052897171273968646,39.32,743.3499999999999
2024-01-22,2024-02-05,3,AMBIANTE,0.03155177848689226,23.45,743.3499999999999
2024-01-22,2024-02-05,3,HUEVO,0.029299202229269728,21.78,743.3499999999999
2024-01-22,2024-02-05,3,QUESO CREMA,0.03753410710000699,27.9,743.3499999999999
2024-01-22,2024-02-05,3,otros,0.3142105621683581,233.57,743.3499999999999
2024-01-22,2024-02-12,4,CHOCOLATE,0.10941133515721992,77.71,710.28
2024-01-22,2024-02-12,4,HARINA,0.12744698066665158,90.53,710.28
2024-01-22,2024-02-12,4,FONDANT,0.062256314636844036,44.22,710.28
2024-01-22,2024-02-12,4,EMPAQUE,0.10090457261183289,71.67,710.28
2024-01-22,2024-02-12,4,RELLENO,0.06946820837783946,49.34,710.28
2024-01-22,2024-02-12,4,CHANTILLY,0.06501976729111646,46.18,710.28
2024-01-22,2024-02-12,4,DECORACION,0.052897171273968646,37.57,710.28
2024-01-22,2024-02-12,4,AMBIANTE,0.03155177848689226,22.41,710.28
2024-01-22,2024-02-12,4,HUEVO,0.029299202229269728,20.81,710.28
2024-01-22,2024-02-12,4,QUESO CREMA,0.03753410710000699,26.66,710.28
2024-01-22,2024-02-12,4,otros,0.3142105621683581,223.18,710.28
2024-02-05,2024-02-05,1,CHOCOLATE,0.1530852391284968,127.76,834.5699999999999
2024-02-05,2024-02-05,1,HARINA,0.11285508367917149,94.18,834.5699999999999
2024-02-05,2024-02-05,1,FONDANT,0.055197702116911336,46.07,834.5699999999999
2024-02-05,2024-02-05,1,EMPAQUE,0.08944889531962592,74.65,834.5699999999999
2024-02-05,2024-02-05,1,RELLENO,0.06153562679339256,51.36,834.5699999999999
2024-02-05,2024-02-05,1,CHANTILLY,0.05749828991093373,47.99,834.5699999999999
2024-02-05,2024-02-05,1,DECORACION,0.06362308320634591,53.1,834.5699999999999
2024-02-05,2024-02-05,1,AMBIANTE,0.049971121423647506,41.7,834.5699999999999
2024-02-05,2024-02-05,1,HUEVO,0.025949119884988818,21.66,834.5699999999999
2024-02-05,2024-02-05,1,QUESO CREMA,0.03327849512159074,27.77,834.5699999999999
2024-02-05,2024-02-05,1,otros,0.297557343414895,248.33,834.5699999999999
2024-02-05,2024-02-12,2,CHOCOLATE,0.1530852391284968,63.44,414.40000000000003
2024-02-05,2024-02-12,2,HARINA,0.11285508367917149,46.77,414.40000000000003
2024-02-05,2024-02-12,2,FONDANT,0.055197702116911336,22.87,414.40000000000003
2024-02-05,2024-02-12,2,EMPAQUE,0.08944889531962592,37.07,414.40000000000003
2024-02-05,2024-02-12,2,RELLENO,0.06153562679339256,25.5,414.40000000000003
2024-02-05,2024-02-12,2,CHANTILLY,0.05749828991093373,23.83,414.40000000000003
2024-02-05,2024-02-12,2,DECORACION,0.06362308320634591,26.36,414.40000000000003
2024-02-05,2024-02-12,2,AMBIANTE,0.049971121423647506,20.71,414.40000000000003
2024-02-05,2024-02-12,2,HUEVO,0.025949119884988818,10.75,414.40000000000003
2024-02-05,2024-02-12,2,QUESO CREMA,0.03327849512159074,13.79,414.40000000000003
2024-02-05,2024-02-12,2,otros,0.297557343414895,123.31,414.40000000000003
2024-02-05,2024-02-26,4,CHOCOLATE,0.1530852391284968,116.14,758.6700000000001
2024-02-05,2024-02-26,4,HARINA,0.11285508367917149,85.62,758.6700000000001
2024-02-05,2024-02-26,4,FONDANT,0.055197702116911336,41.88,758.6700000000001
2024-02-05,2024-02-26,4,EMPAQUE,0.08944889531962592,67.86,758.6700000000001
2024-02-05,2024-02-26,4,RELLENO,0.06153562679339256,46.68,758.6700000000001
2024-02-05,2024-02-26,4,CHANTILLY,0.05749828991093373,43.62,758.6700000000001
2024-02-05,2024-02-26,4,DECORACION,0.06362308320634591,48.27,758.6700000000001
2024-02-05,2024-02-26,4,AMBIANTE,0.049971121423647506,37.91,758.6700000000001
2024-02-05,2024-02-26,4,HUEVO,0.025949119884988818,19.69,758.6700000000001
2024-02-05,2024-02-26,4,QUESO CREMA,0.03327849512159074,25.25,758.6700000000001
2024-02-05,2024-02-26,4,otros,0.297557343414895,225.75,758.6700000000001
2024-02-19,2024-02-26,2,CHOCOLATE,0.12860468808141115,75.48,586.9000000000001
2024-02-19,2024-02-26,2,HARINA,0.1187302046375228,69.68,586.9000000000001
2024-02-19,2024-02-26,2,FONDANT,0.07379649883754327,43.31,586.9000000000001
2024-02-19,2024-02-26,2,EMPAQUE,0.10138776431324317,59.51,586.9000000000001
2024-02-19,2024-02-26,2,RELLENO,0.059342377404752955,34.83,586.9000000000001
2024-02-19,2024-02-26,2,CHANTILLY,0.06709980542883548,39.38,586.9000000000001
2024-02-19,2024-02-26,2,DECORACION,0.06279161551012939,36.85,586.9000000000001
2024-02-19,2024-02-26,2,AMBIANTE,0.04574615608408487,26.85,586.9000000000001
2024-02-19,2024-02-26,2,HUEVO,0.03033379310642683,17.8,586.9000000000001
2024-02-19,2024-02-26,2,QUESO CREMA,0.0294368567292829,17.28,586.9000000000001
2024-02-19,2024-02-26,2,otros,0.28273023986676715,165.93,586.9000000000001
2024-02-19,2024-03-04,3,CHOCOLATE,0.12860468808141115,92.21,716.99
