horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,6,362.1843219734026,294.59166666666664,0.4504447914170955,6,5,complementaria_disponibilidad_propia
1,hibrido,6,472.4797143338277,440.9010925844379,0.6827754573918785,6,5,principal_fechas_comunes
1,promedio_4s,6,712.2891135991423,623.9633333333333,0.9616386523966423,6,5,complementaria_disponibilidad_propia
1,rf,6,394.51149135170795,353.76279368133305,0.5486464166848676,6,5,principal_fechas_comunes
1,ss_ar1,6,508.5509836615584,469.94719221880615,0.7274851376275486,6,5,principal_fechas_comunes
1,ultimo_valor,6,823.5266666396824,642.12,1.0092040723121636,6,5,principal_fechas_comunes
2,estacional_52s,7,929.3349688198699,754.0242857142857,1.1235186515929698,7,4,complementaria_disponibilidad_propia
2,hgb,8,1014.8582349670137,815.1334337838402,1.2650018570519386,8,3,principal_fechas_comunes
2,hibrido,8,922.769361390865,745.213155567486,1.1509566197869008,8,3,principal_fechas_comunes
2,promedio_4s,8,973.0756664509132,879.265,1.3410458653607644,8,3,complementaria_disponibilidad_propia
2,ss_arima111,8,712.1794363046081,625.8274412824089,0.9561420750059594,8,3,principal_fechas_comunes
2,ultimo_valor,8,1157.0093542512957,985.1875,1.5065740391440388,8,3,principal_fechas_comunes
3,estacional_52s,5,319.60145059120117,248.37399999999997,0.38391323343169687,5,6,complementaria_disponibilidad_propia
3,hibrido,5,577.7264905045447,534.4001500329125,0.8293829079188036,5,6,principal_fechas_comunes
3,promedio_4s,5,590.3072297823679,541.3413333333334,0.8240633350564082,5,6,complementaria_disponibilidad_propia
3,rf,5,602.4022421202465,549.1941068652797,0.853651759449861,5,6,principal_fechas_comunes
3,ss_ar1,5,509.1293519101539,490.01827953581125,0.7565763533256318,5,6,principal_fechas_comunes
3,ultimo_valor,5,1046.2041481183296,887.186,1.3335342634572833,5,6,principal_fechas_comunes
4,estacional_52s,6,918.0371601955991,713.9566666666666,1.0580003523857806,6,5,complementaria_disponibilidad_propia
4,hibrido,7,721.2448900984261,601.9819787361288,0.9088825578423781,7,4,principal_fechas_comunes
4,promedio_4s,7,754.7850071262278,535.4442857142858,0.8049367477009322,7,4,complementaria_disponibilidad_propia
4,rf,7,768.5792481944042,626.2413152725691,0.9432710195863789,7,4,principal_fechas_comunes
4,ss_ar1,7,713.4474930143459,610.6596765109846,0.9233694066666106,7,4,principal_fechas_comunes
4,ultimo_valor,7,1297.7511574478146,1067.757142857143,1.6052840910296695,7,4,principal_fechas_comunes
