etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
validacion_interna,2023-10-16,2023-10-16,1,2022-10-17,2023-10-09,43,True,
validacion_interna,2023-10-16,2023-10-23,2,2022-10-17,2023-10-09,42,False,semana_incierta
validacion_interna,2023-10-16,2023-10-30,3,2022-10-17,2023-10-09,41,True,
validacion_interna,2023-10-16,2023-11-06,4,2022-10-17,2023-10-09,40,True,
validacion_interna,2023-10-30,2023-10-30,1,2022-10-31,2023-10-16,44,True,
validacion_interna,2023-10-30,2023-11-06,2,2022-10-31,2023-10-16,43,True,
validacion_interna,2023-10-30,2023-11-13,3,2022-10-31,2023-10-16,42,True,
validacion_interna,2023-10-30,2023-11-20,4,2022-10-31,2023-10-16,41,True,
validacion_interna,2023-11-13,2023-11-13,1,2022-11-14,2023-11-06,46,True,
validacion_interna,2023-11-13,2023-11-20,2,2022-11-14,2023-11-06,45,True,
validacion_interna,2023-11-13,2023-11-27,3,2022-11-14,2023-11-06,44,True,
validacion_interna,2023-11-13,2023-12-04,4,2022-11-14,2023-11-06,43,True,
validacion_interna,2023-11-27,2023-11-27,1,2022-11-28,2023-11-20,46,True,
validacion_interna,2023-11-27,2023-12-04,2,2022-11-28,2023-11-20,46,True,
validacion_interna,2023-11-27,2023-12-11,3,2022-11-28,2023-11-20,46,True,
validacion_interna,2023-11-27,2023-12-18,4,2022-11-28,2023-11-20,45,True,
evaluacion,2024-01-08,2024-01-08,1,2023-01-09,2023-12-25,45,True,
evaluacion,2024-01-08,2024-01-15,2,2023-01-09,2023-12-25,45,True,
evaluacion,2024-01-08,2024-01-22,3,2023-01-09,2023-12-25,45,True,
evaluacion,2024-01-08,2024-01-29,4,2023-01-09,2023-12-25,45,False,semana_incierta
evaluacion,2024-01-22,2024-01-22,1,2023-01-23,2024-01-15,45,True,
evaluacion,2024-01-22,2024-01-29,2,2023-01-23,2024-01-15,45,False,semana_incierta
evaluacion,2024-01-22,2024-02-05,3,2023-01-23,2024-01-15,45,True,
evaluacion,2024-01-22,2024-02-12,4,2023-01-23,2024-01-15,45,True,
evaluacion,2024-02-05,2024-02-05,1,2023-02-06,2024-01-22,44,True,
evaluacion,2024-02-05,2024-02-12,2,2023-02-06,2024-01-22,44,True,
evaluacion,2024-02-05,2024-02-19,3,2023-02-06,2024-01-22,44,False,semana_incierta
evaluacion,2024-02-05,2024-02-26,4,2023-02-06,2024-01-22,44,True,
evaluacion,2024-02-19,2024-02-19,1,2023-02-20,2024-02-12,44,False,semana_incierta
evaluacion,2024-02-19,2024-02-26,2,2023-02-20,2024-02-12,44,True,
evaluacion,2024-02-19,2024-03-04,3,2023-02-20,2024-02-12,44,True,
evaluacion,2024-02-19,2024-03-11,4,2023-02-20,2024-02-12,44,True,
evaluacion,2024-03-04,2024-03-04,1,2023-03-06,2024-02-26,43,True,
evaluacion,2024-03-04,2024-03-11,2,2023-03-06,2024-02-26,43,True,
evaluacion,2024-03-04,2024-03-18,3,2023-03-06,2024-02-26,43,False,semana_incierta
evaluacion,2024-03-04,2024-03-25,4,2023-03-06,2024-02-26,43,True,
evaluacion,2024-03-18,2024-03-18,1,2023-03-20,2024-03-11,43,False,semana_incierta
evaluacion,2024-03-18,2024-03-25,2,2023-03-20,2024-03-11,43,True,
evaluacion,2024-03-18,2024-04-01,3,2023-03-20,2024-03-11,43,True,
evaluacion,2024-03-18,2024-04-08,4,2023-03-20,2024-03-11,43,True,
evaluacion,2024-04-01,2024-04-01,1,2023-04-03,2024-03-25,42,True,
evaluacion,2024-04-01,2024-04-08,2,2023-04-03,2024-03-25,42,True,
evaluacion,2024-04-01,2024-04-15,3,2023-04-03,2024-03-25,42,False,semana_incierta
evaluacion,2024-04-01,2024-04-22,4,2023-04-03,2024-03-25,42,True,
evaluacion,2024-04-15,2024-04-15,1,2023-04-17,2024-04-08,43,False,semana_incierta
evaluacion,2024-04-15,2024-04-22,2,2023-04-17,2024-04-08,43,True,
evaluacion,2024-04-15,2024-04-29,3,2023-04-17,2024-04-08,43,True,
evaluacion,2024-04-15,2024-05-06,4,2023-04-17,2024-04-08,43,False,semana_incierta
evaluacion,2024-04-29,2024-04-29,1,2023-05-01,2024-04-22,42,True,
evaluacion,2024-04-29,2024-05-06,2,2023-05-01,2024-04-22,42,False,semana_incierta
evaluacion,2024-04-29,2024-05-13,3,2023-05-01,2024-04-22,42,False,semana_incierta
evaluacion,2024-04-29,2024-05-20,4,2023-05-01,2024-04-22,42,False,semana_incierta
evaluacion,2024-05-13,2024-05-13,1,2023-05-15,2024-04-29,42,False,semana_incierta
evaluacion,2024-05-13,2024-05-20,2,2023-05-15,2024-04-29,42,False,semana_incierta
evaluacion,2024-05-13,2024-05-27,3,2023-05-15,2024-04-29,42,False,semana_incierta
evaluacion,2024-05-13,2024-06-03,4,2023-05-15,2024-04-29,42,True,
evaluacion,2024-05-27,2024-05-27,1,2023-05-29,2024-04-29,40,False,semana_incierta
evaluacion,2024-05-27,2024-06-03,2,2023-05-29,2024-04-29,40,True,
evaluacion,2024-05-27,2024-06-10,3,2023-05-29,2024-04-29,40,False,semana_incierta
evaluacion,2024-05-27,2024-06-17,4,2023-05-29,2024-04-29,40,False,semana_incierta
