origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2024-01-08,2024-01-08,1,ss_ar1,898.6800000000001,772.0707888065872,657.6994736842106
2024-01-08,2024-01-08,1,rf,898.6800000000001,539.6902938386771,657.6994736842106
2024-01-08,2024-01-08,1,hibrido,898.6800000000001,713.9756650646096,657.6994736842106
2024-01-08,2024-01-08,1,ultimo_valor,898.6800000000001,864.0,657.6994736842106
2024-01-08,2024-01-08,1,promedio_4s,898.6800000000001,706.25,657.6994736842106
2024-01-08,2024-01-08,1,estacional_52s,898.6800000000001,373.0,657.6994736842106
2024-01-08,2024-01-15,2,ss_arima111,115.0,764.035869263937,657.6994736842106
2024-01-08,2024-01-15,2,hgb,115.0,542.5371312205095,657.6994736842106
2024-01-08,2024-01-15,2,hibrido,115.0,597.9118157313665,657.6994736842106
2024-01-08,2024-01-15,2,ultimo_valor,115.0,864.0,657.6994736842106
2024-01-08,2024-01-15,2,promedio_4s,115.0,706.25,657.6994736842106
2024-01-08,2024-01-15,2,estacional_52s,115.0,1109.43,657.6994736842106
2024-01-08,2024-01-22,3,ss_ar1,342.0,767.9962464816106,657.6994736842106
2024-01-08,2024-01-22,3,rf,342.0,831.0234633304651,657.6994736842106
2024-01-08,2024-01-22,3,hibrido,342.0,815.2666591182515,657.6994736842106
2024-01-08,2024-01-22,3,ultimo_valor,342.0,864.0,657.6994736842106
2024-01-08,2024-01-22,3,promedio_4s,342.0,706.25,657.6994736842106
2024-01-08,2024-01-22,3,estacional_52s,342.0,789.0,657.6994736842106
2024-01-08,2024-01-29,4,ss_ar1,,767.7674927726064,657.6994736842106
2024-01-08,2024-01-29,4,rf,,787.5947548676323,657.6994736842106
2024-01-08,2024-01-29,4,hibrido,,772.7243082963628,657.6994736842106
2024-01-08,2024-01-29,4,ultimo_valor,,864.0,657.6994736842106
2024-01-08,2024-01-29,4,promedio_4s,,706.25,657.6994736842106
2024-01-08,2024-01-29,4,estacional_52s,,427.5,657.6994736842106
2024-01-22,2024-01-22,1,ss_ar1,342.0,890.2986290360071,668.0918918918919
2024-01-22,2024-01-22,1,rf,342.0,815.7230348126791,668.0918918918919
2024-01-22,2024-01-22,1,hibrido,342.0,871.6547304801751,668.0918918918919
