horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,907268.0322958084,4
1,ss_ar1,hgb,0.5,797563.4872038072,4
1,ss_ar1,hgb,0.75,698810.974028623,4
1,ss_ar1,rf,0.25,693009.9303504211,4
1,ss_ar1,rf,0.5,663934.1607884134,4
1,ss_ar1,rf,0.75,636601.0149283583,4
1,ss_arima111,hgb,0.25,909790.3489901302,4
1,ss_arima111,hgb,0.5,802818.93452003,4
1,ss_arima111,hgb,0.75,707010.3658943264,4
1,ss_arima111,rf,0.25,696022.6381312396,4
1,ss_arima111,rf,0.5,669843.462886632,4
1,ss_arima111,rf,0.75,645290.7978805583,4
2,ss_ar1,hgb,0.25,477548.12487485475,3
2,ss_ar1,hgb,0.5,550488.6746753809,3
2,ss_ar1,hgb,0.75,632406.9438263263,3
2,ss_ar1,rf,0.25,606830.1696492502,3
2,ss_ar1,rf,0.5,643125.0054410052,3
2,ss_ar1,rf,0.75,681949.2596671518,3
2,ss_arima111,hgb,0.25,475506.17953092465,3
2,ss_arima111,hgb,0.5,546187.0352314512,3
2,ss_arima111,hgb,0.75,625627.8615263276,3
2,ss_arima111,rf,0.25,604566.9739226468,3
2,ss_arima111,rf,0.5,638528.3654868444,3
2,ss_arima111,rf,0.75,674948.92698448,3
3,ss_ar1,hgb,0.25,383117.2169453689,4
3,ss_ar1,hgb,0.5,323676.3085962534,4
3,ss_ar1,hgb,0.75,276314.59263101674,4
3,ss_ar1,rf,0.25,227839.67809237275,4
3,ss_ar1,rf,0.5,230277.79344524874,4
3,ss_ar1,rf,0.75,234675.25709767753,4
3,ss_arima111,hgb,0.25,383571.79115560575,4
3,ss_arima111,hgb,0.5,324590.6740584644,4
3,ss_arima111,hgb,0.75,277693.9663869396,4
3,ss_arima111,rf,0.25,228122.0516946877,4
3,ss_arima111,rf,0.5,230962.55809689732,4
3,ss_arima111,rf,0.75,235882.43024567846,4
4,ss_ar1,hgb,0.25,765774.3969311162,4
4,ss_ar1,hgb,0.5,685158.2846157392,4
4,ss_ar1,hgb,0.75,621478.210156531,4
4,ss_ar1,rf,0.25,588315.241730815,4
4,ss_ar1,rf,0.5,576961.1708101791,4
4,ss_ar1,rf,0.75,572434.1480844045,4
4,ss_arima111,hgb,0.25,766593.6329696556,4
4,ss_arima111,hgb,0.5,686590.1235903188,4
4,ss_arima111,hgb,0.75,623316.0189646519,4
4,ss_arima111,rf,0.25,589017.5880452048,4
4,ss_arima111,rf,0.5,578237.1568192258,4
4,ss_arima111,rf,0.75,574155.0671683756,4
