escenario,horizonte,n,mae,rmse,mase
ventas_y_calendario,1,4,481.3887441956408,505.00858116437666,0.7603130103597122
ventas_y_calendario,2,3,134.41400750933863,162.82678531366415,0.20166547170864738
ventas_y_calendario,3,2,375.92995351262095,394.1340604499214,0.5562270915660343
ventas_y_calendario,4,4,499.0552834575485,536.6718895582625,0.7617038228494121
solo_ventas,1,4,480.5249343767444,502.15487713839656,0.7591845733668433
solo_ventas,2,3,134.41400750933863,162.82678531366415,0.20166547170864738
solo_ventas,3,2,380.5549903280972,399.59231774887263,0.5631431098690697
solo_ventas,4,4,497.9943866166984,535.772800312108,0.7600789289790197
solo_calendario,1,4,462.21883082361353,484.55235662507243,0.7301110834526635
solo_calendario,2,3,371.2095599855082,388.8981025229541,0.571674638746409
solo_calendario,3,2,391.58481809558555,409.69999948335874,0.5792870111942945
solo_calendario,4,4,494.7017724498213,531.2333067725658,0.7562637607719208
sin_ventas_ni_calendario,1,4,462.1341667138345,482.4418252076196,0.7302032734580072
sin_ventas_ni_calendario,2,3,127.10310094774462,205.28525044269153,0.1834558940989264
sin_ventas_ni_calendario,3,2,398.6156764365848,417.21475013387027,0.589707512225761
sin_ventas_ni_calendario,4,4,497.36961213804693,534.760539910901,0.760303245933851
