origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2024-02-19,2024-02-26,2,CHOCOLATE,0.12860468808141115,88.07,684.8100000000001
2024-02-19,2024-02-26,2,HARINA,0.1187302046375228,81.31,684.8100000000001
2024-02-19,2024-02-26,2,FONDANT,0.07379649883754327,50.54,684.8100000000001
2024-02-19,2024-02-26,2,EMPAQUE,0.10138776431324317,69.43,684.8100000000001
2024-02-19,2024-02-26,2,RELLENO,0.059342377404752955,40.64,684.8100000000001
2024-02-19,2024-02-26,2,CHANTILLY,0.06709980542883548,45.95,684.8100000000001
2024-02-19,2024-02-26,2,DECORACION,0.06279161551012939,43.0,684.8100000000001
2024-02-19,2024-02-26,2,AMBIANTE,0.04574615608408487,31.33,684.8100000000001
2024-02-19,2024-02-26,2,HUEVO,0.03033379310642683,20.77,684.8100000000001
2024-02-19,2024-02-26,2,QUESO CREMA,0.0294368567292829,20.16,684.8100000000001
2024-02-19,2024-02-26,2,otros,0.28273023986676715,193.61,684.8100000000001
2024-02-19,2024-03-04,3,CHOCOLATE,0.12860468808141115,101.39,788.43
2024-02-19,2024-03-04,3,HARINA,0.1187302046375228,93.61,788.43
2024-02-19,2024-03-04,3,FONDANT,0.07379649883754327,58.18,788.43
2024-02-19,2024-03-04,3,EMPAQUE,0.10138776431324317,79.94,788.43
2024-02-19,2024-03-04,3,RELLENO,0.059342377404752955,46.79,788.43
2024-02-19,2024-03-04,3,CHANTILLY,0.06709980542883548,52.9,788.43
2024-02-19,2024-03-04,3,DECORACION,0.06279161551012939,49.51,788.43
2024-02-19,2024-03-04,3,AMBIANTE,0.04574615608408487,36.07,788.43
2024-02-19,2024-03-04,3,HUEVO,0.03033379310642683,23.92,788.43
2024-02-19,2024-03-04,3,QUESO CREMA,0.0294368567292829,23.21,788.43
2024-02-19,2024-03-04,3,otros,0.28273023986676715,222.91,788.43
2024-02-19,2024-03-11,4,CHOCOLATE,0.12860468808141115,105.49,820.2499999999999
2024-02-19,2024-03-11,4,HARINA,0.1187302046375228,97.39,820.2499999999999
2024-02-19,2024-03-11,4,FONDANT,0.07379649883754327,60.53,820.2499999999999
2024-02-19,2024-03-11,4,EMPAQUE,0.10138776431324317,83.16,820.2499999999999
2024-02-19,2024-03-11,4,RELLENO,0.059342377404752955,48.68,820.2499999999999
2024-02-19,2024-03-11,4,CHANTILLY,0.06709980542883548,55.04,820.2499999999999
2024-02-19,2024-03-11,4,DECORACION,0.06279161551012939,51.5,820.2499999999999
2024-02-19,2024-03-11,4,AMBIANTE,0.04574615608408487,37.52,820.2499999999999
2024-02-19,2024-03-11,4,HUEVO,0.03033379310642683,24.88,820.2499999999999
2024-02-19,2024-03-11,4,QUESO CREMA,0.0294368567292829,24.15,820.2499999999999
2024-02-19,2024-03-11,4,otros,0.28273023986676715,231.91,820.2499999999999
2024-03-11,2024-03-11,1,CHOCOLATE,0.1741864838824466,130.01,746.4
2024-03-11,2024-03-11,1,HARINA,0.14526128123555188,108.42,746.4
2024-03-11,2024-03-11,1,FONDANT,0.056016519294940316,41.81,746.4
2024-03-11,2024-03-11,1,EMPAQUE,0.09024162433038854,67.36,746.4
2024-03-11,2024-03-11,1,RELLENO,0.04512410895614494,33.68,746.4
2024-03-11,2024-03-11,1,CHANTILLY,0.051061527403622665,38.11,746.4
2024-03-11,2024-03-11,1,DECORACION,0.04772253787588053,35.62,746.4
2024-03-11,2024-03-11,1,AMBIANTE,0.034828713901642265,26.0,746.4
2024-03-11,2024-03-11,1,HUEVO,0.02307549784345684,17.22,746.4
2024-03-11,2024-03-11,1,QUESO CREMA,0.05649780113341796,42.17,746.4
2024-03-11,2024-03-11,1,otros,0.27598390414250745,206.0,746.4
2024-03-11,2024-03-25,3,CHOCOLATE,0.1741864838824466,146.35,840.2
2024-03-11,2024-03-25,3,HARINA,0.14526128123555188,122.05,840.2
2024-03-11,2024-03-25,3,FONDANT,0.056016519294940316,47.07,840.2
2024-03-11,2024-03-25,3,EMPAQUE,0.09024162433038854,75.82,840.2
2024-03-11,2024-03-25,3,RELLENO,0.04512410895614494,37.91,840.2
2024-03-11,2024-03-25,3,CHANTILLY,0.051061527403622665,42.9,840.2
2024-03-11,2024-03-25,3,DECORACION,0.04772253787588053,40.1,840.2
2024-03-11,2024-03-25,3,AMBIANTE,0.034828713901642265,29.26,840.2
2024-03-11,2024-03-25,3,HUEVO,0.02307549784345684,19.39,840.2
2024-03-11,2024-03-25,3,QUESO CREMA,0.05649780113341796,47.47,840.2
2024-03-11,2024-03-25,3,otros,0.27598390414250745,231.88,840.2
2024-03-11,2024-04-01,4,CHOCOLATE,0.1741864838824466,133.8,768.13
2024-03-11,2024-04-01,4,HARINA,0.14526128123555188,111.58,768.13
2024-03-11,2024-04-01,4,FONDANT,0.056016519294940316,43.03,768.13
2024-03-11,2024-04-01,4,EMPAQUE,0.09024162433038854,69.32,768.13
2024-03-11,2024-04-01,4,RELLENO,0.04512410895614494,34.66,768.13
2024-03-11,2024-04-01,4,CHANTILLY,0.051061527403622665,39.22,768.13
