horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,4,669.1633841036133,432.9225,0.6614602795968572,4,2,complementaria_disponibilidad_propia
1,hibrido,4,482.4418252076196,462.1341667138345,0.7302032734580072,4,2,principal_fechas_comunes
1,promedio_4s,3,621.941018880944,611.0544444444445,0.9564297549165298,3,3,complementaria_disponibilidad_propia
1,rf,4,250.63984177580093,224.9756340676746,0.35291074514995147,4,2,principal_fechas_comunes
1,ss_arima111,4,562.6765756857275,541.1870109292211,0.8559674495606924,4,2,principal_fechas_comunes
1,ultimo_valor,4,783.4342752267097,674.73,1.08119341546638,4,2,principal_fechas_comunes
2,estacional_52s,2,667.3216016284802,634.6,0.9424451706605281,2,4,complementaria_disponibilidad_propia
2,hgb,3,227.26759839165604,213.38761542465318,0.32430998625848056,3,3,principal_fechas_comunes
2,hibrido,3,205.28525044269153,127.10310094774462,0.1834558940989264,3,3,principal_fechas_comunes
2,promedio_4s,3,730.7594094856746,672.5033333333334,1.0238402841534204,3,3,complementaria_disponibilidad_propia
2,ss_arima111,3,525.9606996223564,508.02453205534493,0.7875264120875093,3,3,principal_fechas_comunes
2,ultimo_valor,3,1352.9766314931928,1284.03,1.9546103741031364,3,3,principal_fechas_comunes
3,estacional_52s,2,87.69219349520229,62.98000000000002,0.09467499187226767,2,4,complementaria_disponibilidad_propia
3,hibrido,2,417.21475013387027,398.6156764365848,0.589707512225761,2,4,principal_fechas_comunes
3,promedio_4s,2,580.5607743571918,544.5066666666667,0.792166507975504,2,4,complementaria_disponibilidad_propia
3,rf,2,335.3788178742718,326.307440228244,0.48189057255518597,2,4,principal_fechas_comunes
3,ss_ar1,2,444.80346718292657,422.7184218393651,0.6256464921159527,2,4,principal_fechas_comunes
3,ultimo_valor,2,1344.0884413051099,1274.845,1.8563399642408582,2,4,principal_fechas_comunes
4,estacional_52s,4,669.1633841036133,432.9225,0.6347907473372593,4,2,complementaria_disponibilidad_propia
4,hibrido,4,534.760539910901,497.36961213804693,0.760303245933851,4,2,principal_fechas_comunes
4,promedio_4s,4,732.4594836841754,675.94,1.0195878605723134,4,2,complementaria_disponibilidad_propia
4,rf,4,512.4303040074273,476.6371850078923,0.7261863719155106,4,2,principal_fechas_comunes
4,ss_ar1,4,554.5421256926508,531.7641124431331,0.8142182840200846,4,2,principal_fechas_comunes
4,ultimo_valor,4,1264.6503776241875,1119.9525,1.6982040895617339,4,2,principal_fechas_comunes
