origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2024-02-19,2024-02-19,1,ss_arima111,,724.0535245235749,698.3031428571429
2024-02-19,2024-02-19,1,rf,,581.6298865626042,698.3031428571429
2024-02-19,2024-02-19,1,hibrido,,688.4476150333321,698.3031428571429
2024-02-19,2024-02-19,1,ultimo_valor,,2213.69,698.3031428571429
2024-02-19,2024-02-19,1,promedio_4s,,1258.91,698.3031428571429
2024-02-19,2024-02-19,1,estacional_52s,,163.5,698.3031428571429
2024-02-19,2024-02-26,2,ss_arima111,330.0,803.043194913104,698.3031428571429
2024-02-19,2024-02-26,2,hgb,330.0,645.4005180021321,698.3031428571429
2024-02-19,2024-02-26,2,hibrido,330.0,684.811187229875,698.3031428571429
2024-02-19,2024-02-26,2,ultimo_valor,330.0,2213.69,698.3031428571429
2024-02-19,2024-02-26,2,promedio_4s,330.0,1258.91,698.3031428571429
2024-02-19,2024-02-26,2,estacional_52s,330.0,1171.0,698.3031428571429
2024-02-19,2024-03-04,3,ss_ar1,513.0,797.3014421887838,698.3031428571429
2024-02-19,2024-03-04,3,rf,513.0,761.8322446464647,698.3031428571429
2024-02-19,2024-03-04,3,hibrido,513.0,788.4341428032039,698.3031428571429
2024-02-19,2024-03-04,3,ultimo_valor,513.0,2213.69,698.3031428571429
2024-02-19,2024-03-04,3,promedio_4s,513.0,1258.91,698.3031428571429
2024-02-19,2024-03-04,3,estacional_52s,513.0,514.96,698.3031428571429
2024-02-19,2024-03-11,4,ss_ar1,244.0,797.7910982485869,698.3031428571429
2024-02-19,2024-03-11,4,rf,244.0,887.6349657647906,698.3031428571429
2024-02-19,2024-03-11,4,hibrido,244.0,820.2520651276378,698.3031428571429
2024-02-19,2024-03-11,4,ultimo_valor,244.0,2213.69,698.3031428571429
2024-02-19,2024-03-11,4,promedio_4s,244.0,1258.91,698.3031428571429
2024-02-19,2024-03-11,4,estacional_52s,244.0,1539.09,698.3031428571429
2024-03-11,2024-03-11,1,ss_arima111,244.0,797.8555683901712,664.7254545454546
2024-03-11,2024-03-11,1,rf,244.0,592.0230469179024,664.7254545454546
2024-03-11,2024-03-11,1,hibrido,244.0,746.397438022104,664.7254545454546
2024-03-11,2024-03-11,1,ultimo_valor,244.0,513.0,664.7254545454546
2024-03-11,2024-03-11,1,promedio_4s,244.0,1018.8966666666666,664.7254545454546
2024-03-11,2024-03-11,1,estacional_52s,244.0,1539.09,664.7254545454546
2024-03-11,2024-03-18,2,ss_arima111,,797.0199684170591,664.7254545454546
2024-03-11,2024-03-18,2,hgb,,433.13109715222333,664.7254545454546
2024-03-11,2024-03-18,2,hibrido,,524.1033149684322,664.7254545454546
2024-03-11,2024-03-18,2,ultimo_valor,,513.0,664.7254545454546
2024-03-11,2024-03-18,2,promedio_4s,,1018.8966666666666,664.7254545454546
2024-03-11,2024-03-18,2,estacional_52s,,329.47,664.7254545454546
2024-03-11,2024-03-25,3,ss_ar1,1362.0,800.8645985100536,664.7254545454546
