horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,847737.4122655897,5
1,ss_ar1,hgb,0.5,665198.5096551606,5
1,ss_ar1,hgb,0.75,514468.95063245407,5
1,ss_ar1,rf,0.25,465759.6864124107,5
1,ss_ar1,rf,0.5,438787.8845707144,5
1,ss_ar1,rf,0.75,415384.2341657343,5
1,ss_arima111,hgb,0.25,845509.7388063384,5
1,ss_arima111,hgb,0.5,662058.4470479626,5
1,ss_arima111,hgb,0.75,511731.7831886134,5
1,ss_arima111,rf,0.25,464657.4126131282,5
1,ss_arima111,rf,0.5,437148.35484347446,5
1,ss_arima111,rf,0.75,413772.46638186206,5
2,ss_ar1,hgb,0.25,535507.3295091174,4
2,ss_ar1,hgb,0.5,539333.1591480263,4
2,ss_ar1,hgb,0.75,558759.5076277668,4
2,ss_ar1,rf,0.25,538106.9428519208,4
2,ss_ar1,rf,0.5,551414.2689292873,4
2,ss_ar1,rf,0.75,569974.0796280932,4
2,ss_arima111,hgb,0.25,534988.6987063875,4
2,ss_arima111,hgb,0.5,537616.5588124521,4
2,ss_arima111,hgb,0.75,555165.5990292337,4
2,ss_arima111,rf,0.25,537145.2639600065,4
2,ss_arima111,rf,0.5,549106.9378081337,4
2,ss_arima111,rf,0.75,565937.1229403757,4
3,ss_ar1,hgb,0.25,544965.3914237394,4
3,ss_ar1,hgb,0.5,444396.80214917054,4
3,ss_ar1,hgb,0.75,361674.7331225082,4
3,ss_ar1,rf,0.25,366307.09958526044,4
3,ss_ar1,rf,0.5,338320.683045145,4
3,ss_ar1,rf,0.75,315151.37796464236,4
3,ss_arima111,hgb,0.25,546749.2404117188,4
3,ss_arima111,hgb,0.5,447274.9983945571,4
3,ss_arima111,hgb,0.75,364957.77489472966,4
3,ss_arima111,rf,0.25,367417.85263695905,4
3,ss_arima111,rf,0.5,340301.41804215714,4
3,ss_arima111,rf,0.75,317761.323800583,4
4,ss_ar1,hgb,0.25,265453.92711120954,4
4,ss_ar1,hgb,0.5,189957.84366398837,4
4,ss_ar1,hgb,0.75,129766.50745416057,4
4,ss_ar1,rf,0.25,184232.39182695208,4
4,ss_ar1,rf,0.5,144432.76827447367,4
4,ss_ar1,rf,0.75,111315.2771593984,4
4,ss_arima111,hgb,0.25,266544.47326549806,4
4,ss_arima111,hgb,0.5,191650.6751154198,4
4,ss_arima111,hgb,0.75,131573.3633455896,4
4,ss_arima111,rf,0.25,185284.37752705376,4
4,ss_arima111,rf,0.5,146074.18578698943,4
4,ss_arima111,rf,0.75,113083.57259664062,4
