origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2024-02-19,2024-02-26,2,CHOCOLATE,0.12860468808141115,94.5,734.82
2024-02-19,2024-02-26,2,HARINA,0.1187302046375228,87.24,734.82
2024-02-19,2024-02-26,2,FONDANT,0.07379649883754327,54.23,734.82
2024-02-19,2024-02-26,2,EMPAQUE,0.10138776431324317,74.5,734.82
2024-02-19,2024-02-26,2,RELLENO,0.059342377404752955,43.61,734.82
2024-02-19,2024-02-26,2,CHANTILLY,0.06709980542883548,49.31,734.82
2024-02-19,2024-02-26,2,DECORACION,0.06279161551012939,46.14,734.82
2024-02-19,2024-02-26,2,AMBIANTE,0.04574615608408487,33.61,734.82
2024-02-19,2024-02-26,2,HUEVO,0.03033379310642683,22.29,734.82
2024-02-19,2024-02-26,2,QUESO CREMA,0.0294368567292829,21.63,734.82
2024-02-19,2024-02-26,2,otros,0.28273023986676715,207.76,734.82
2024-02-19,2024-03-04,3,CHOCOLATE,0.12860468808141115,100.84,784.0999999999999
2024-02-19,2024-03-04,3,HARINA,0.1187302046375228,93.1,784.0999999999999
2024-02-19,2024-03-04,3,FONDANT,0.07379649883754327,57.86,784.0999999999999
2024-02-19,2024-03-04,3,EMPAQUE,0.10138776431324317,79.5,784.0999999999999
2024-02-19,2024-03-04,3,RELLENO,0.059342377404752955,46.53,784.0999999999999
2024-02-19,2024-03-04,3,CHANTILLY,0.06709980542883548,52.61,784.0999999999999
2024-02-19,2024-03-04,3,DECORACION,0.06279161551012939,49.24,784.0999999999999
2024-02-19,2024-03-04,3,AMBIANTE,0.04574615608408487,35.87,784.0999999999999
2024-02-19,2024-03-04,3,HUEVO,0.03033379310642683,23.78,784.0999999999999
2024-02-19,2024-03-04,3,QUESO CREMA,0.0294368567292829,23.08,784.0999999999999
2024-02-19,2024-03-04,3,otros,0.28273023986676715,221.69,784.0999999999999
2024-02-19,2024-03-11,4,CHOCOLATE,0.12860468808141115,104.92,815.86
2024-02-19,2024-03-11,4,HARINA,0.1187302046375228,96.87,815.86
2024-02-19,2024-03-11,4,FONDANT,0.07379649883754327,60.21,815.86
2024-02-19,2024-03-11,4,EMPAQUE,0.10138776431324317,82.72,815.86
2024-02-19,2024-03-11,4,RELLENO,0.059342377404752955,48.41,815.86
2024-02-19,2024-03-11,4,CHANTILLY,0.06709980542883548,54.74,815.86
2024-02-19,2024-03-11,4,DECORACION,0.06279161551012939,51.23,815.86
2024-02-19,2024-03-11,4,AMBIANTE,0.04574615608408487,37.32,815.86
2024-02-19,2024-03-11,4,HUEVO,0.03033379310642683,24.75,815.86
2024-02-19,2024-03-11,4,QUESO CREMA,0.0294368567292829,24.02,815.86
2024-02-19,2024-03-11,4,otros,0.28273023986676715,230.67,815.86
2024-03-11,2024-03-11,1,CHOCOLATE,0.1741864838824466,131.81,756.71
