origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2024-02-19,2024-02-19,1,ss_arima111,,724.0535245235749,698.3031428571429
2024-02-19,2024-02-19,1,rf,,520.9763471117772,698.3031428571429
2024-02-19,2024-02-19,1,hibrido,,673.2842301706254,698.3031428571429
2024-02-19,2024-02-19,1,ultimo_valor,,2213.69,698.3031428571429
2024-02-19,2024-02-19,1,promedio_4s,,1258.91,698.3031428571429
2024-02-19,2024-02-19,1,estacional_52s,,163.5,698.3031428571429
2024-02-19,2024-02-26,2,ss_arima111,330.0,803.043194913104,698.3031428571429
2024-02-19,2024-02-26,2,rf,330.0,712.0803139192752,698.3031428571429
2024-02-19,2024-02-26,2,hibrido,330.0,734.8210341677324,698.3031428571429
2024-02-19,2024-02-26,2,ultimo_valor,330.0,2213.69,698.3031428571429
2024-02-19,2024-02-26,2,promedio_4s,330.0,1258.91,698.3031428571429
2024-02-19,2024-02-26,2,estacional_52s,330.0,1171.0,698.3031428571429
2024-02-19,2024-03-04,3,ss_ar1,513.0,797.3014421887838,698.3031428571429
2024-02-19,2024-03-04,3,rf,513.0,744.5151215512265,698.3031428571429
2024-02-19,2024-03-04,3,hibrido,513.0,784.1048620293944,698.3031428571429
2024-02-19,2024-03-04,3,ultimo_valor,513.0,2213.69,698.3031428571429
2024-02-19,2024-03-04,3,promedio_4s,513.0,1258.91,698.3031428571429
2024-02-19,2024-03-04,3,estacional_52s,513.0,514.96,698.3031428571429
2024-02-19,2024-03-11,4,ss_ar1,244.0,797.7910982485869,698.3031428571429
2024-02-19,2024-03-11,4,rf,244.0,870.0685255050505,698.3031428571429
2024-02-19,2024-03-11,4,hibrido,244.0,815.8604550627028,698.3031428571429
2024-02-19,2024-03-11,4,ultimo_valor,244.0,2213.69,698.3031428571429
2024-02-19,2024-03-11,4,promedio_4s,244.0,1258.91,698.3031428571429
2024-02-19,2024-03-11,4,estacional_52s,244.0,1539.09,698.3031428571429
2024-03-11,2024-03-11,1,ss_arima111,244.0,797.8555683901712,664.7254545454546
2024-03-11,2024-03-11,1,rf,244.0,633.290061895841,664.7254545454546
2024-03-11,2024-03-11,1,hibrido,244.0,756.7141917665887,664.7254545454546
2024-03-11,2024-03-11,1,ultimo_valor,244.0,513.0,664.7254545454546
2024-03-11,2024-03-11,1,promedio_4s,244.0,1018.8966666666666,664.7254545454546
2024-03-11,2024-03-11,1,estacional_52s,244.0,1539.09,664.7254545454546
2024-03-11,2024-03-18,2,ss_arima111,,797.0199684170591,664.7254545454546
2024-03-11,2024-03-18,2,rf,,730.8444199627252,664.7254545454546
2024-03-11,2024-03-18,2,hibrido,,747.3883070763086,664.7254545454546
2024-03-11,2024-03-18,2,ultimo_valor,,513.0,664.7254545454546
2024-03-11,2024-03-18,2,promedio_4s,,1018.8966666666666,664.7254545454546
2024-03-11,2024-03-18,2,estacional_52s,,329.47,664.7254545454546
2024-03-11,2024-03-25,3,ss_ar1,1362.0,800.8645985100536,664.7254545454546
2024-03-11,2024-03-25,3,rf,1362.0,997.1471078227329,664.7254545454546
2024-03-11,2024-03-25,3,hibrido,1362.0,849.9352258382233,664.7254545454546
2024-03-11,2024-03-25,3,ultimo_valor,1362.0,513.0,664.7254545454546
2024-03-11,2024-03-25,3,promedio_4s,1362.0,1018.8966666666666,664.7254545454546
2024-03-11,2024-03-25,3,estacional_52s,1362.0,1238.0,664.7254545454546
2024-03-11,2024-04-01,4,ss_ar1,176.0,800.8634810099668,664.7254545454546
2024-03-11,2024-04-01,4,rf,176.0,652.0421397647526,664.7254545454546
2024-03-11,2024-04-01,4,hibrido,176.0,763.6581456986632,664.7254545454546
2024-03-11,2024-04-01,4,ultimo_valor,176.0,513.0,664.7254545454546
2024-03-11,2024-04-01,4,promedio_4s,176.0,1018.8966666666666,664.7254545454546
2024-03-11,2024-04-01,4,estacional_52s,176.0,168.36,664.7254545454546
2024-04-01,2024-04-01,1,ss_arima111,176.0,849.2554269795074,613.4564516129033
2024-04-01,2024-04-01,1,rf,176.0,443.54509941176474,613.4564516129033
2024-04-01,2024-04-01,1,hibrido,176.0,747.8278450875717,613.4564516129033
2024-04-01,2024-04-01,1,ultimo_valor,176.0,1362.0,613.4564516129033
2024-04-01,2024-04-01,1,promedio_4s,176.0,706.3333333333334,613.4564516129033
2024-04-01,2024-04-01,1,estacional_52s,176.0,168.36,613.4564516129033
2024-04-01,2024-04-08,2,ss_arima111,432.8,794.3004814559433,613.4564516129033
2024-04-01,2024-04-08,2,rf,432.8,599.5073507063769,613.4564516129033
2024-04-01,2024-04-08,2,hibrido,432.8,648.2056333937685,613.4564516129033
2024-04-01,2024-04-08,2,ultimo_valor,432.8,1362.0,613.4564516129033
2024-04-01,2024-04-08,2,promedio_4s,432.8,706.3333333333334,613.4564516129033
2024-04-01,2024-04-08,2,estacional_52s,432.8,,613.4564516129033
