horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,841973.1935504746,5
1,ss_ar1,hgb,0.5,662737.6852885912,5
1,ss_ar1,hgb,0.75,513929.5325042565,5
1,ss_ar1,rf,0.25,457001.5326265199,5
1,ss_ar1,rf,0.5,432923.40580669494,5
1,ss_ar1,rf,0.75,412439.13999701187,5
1,ss_arima111,hgb,0.25,839903.8495308226,5
1,ss_arima111,hgb,0.5,659808.7286008586,5
1,ss_arima111,hgb,0.75,511350.6945000148,5
1,ss_arima111,rf,0.25,455999.85849743505,5
1,ss_arima111,rf,0.5,431418.00897305197,5
1,ss_arima111,rf,0.75,410927.9718833373,5
2,ss_ar1,hgb,0.25,535507.3295091174,4
2,ss_ar1,hgb,0.5,539333.1591480263,4
2,ss_ar1,hgb,0.75,558759.5076277668,4
2,ss_ar1,rf,0.25,519342.476740423,4
2,ss_ar1,rf,0.5,539652.6051451175,4
2,ss_ar1,rf,0.75,564467.2378810894,4
2,ss_arima111,hgb,0.25,534988.6987063875,4
2,ss_arima111,hgb,0.5,537616.5588124521,4
2,ss_arima111,hgb,0.75,555165.5990292337,4
2,ss_arima111,rf,0.25,518333.05912793905,4
2,ss_arima111,rf,0.5,537281.6223965378,4
2,ss_arima111,rf,0.75,560382.5424728022,4
3,ss_ar1,hgb,0.25,544965.3914237394,4
3,ss_ar1,hgb,0.5,444396.80214917054,4
3,ss_ar1,hgb,0.75,361674.7331225082,4
3,ss_ar1,rf,0.25,365923.41007729515,4
3,ss_ar1,rf,0.5,338644.82029948826,4
3,ss_ar1,rf,0.75,315603.4117216408,4
3,ss_arima111,hgb,0.25,546749.2404117188,4
3,ss_arima111,hgb,0.5,447274.9983945571,4
3,ss_arima111,hgb,0.75,364957.77489472966,4
3,ss_arima111,rf,0.25,366963.7356091279,4
3,ss_arima111,rf,0.5,340531.65193667926,4
3,ss_arima111,rf,0.75,318142.93003771553,4
4,ss_ar1,hgb,0.25,265453.92711120954,4
4,ss_ar1,hgb,0.5,189957.84366398837,4
4,ss_ar1,hgb,0.75,129766.50745416057,4
4,ss_ar1,rf,0.25,183570.43465388843,4
4,ss_ar1,rf,0.5,144038.90341620956,4
4,ss_ar1,rf,0.75,111142.0646921555,4
4,ss_arima111,hgb,0.25,266544.47326549806,4
4,ss_arima111,hgb,0.5,191650.6751154198,4
4,ss_arima111,hgb,0.75,131573.3633455896,4
4,ss_arima111,rf,0.25,184628.14004734744,4
4,ss_arima111,rf,0.5,145687.94718653505,4
4,ss_arima111,rf,0.75,112916.07982275503,4
