origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2024-02-19,2024-02-19,1,ss_arima111,,724.0535245235749,698.3031428571429
2024-02-19,2024-02-19,1,rf,,515.9904596672773,698.3031428571429
2024-02-19,2024-02-19,1,hibrido,,672.0377583095004,698.3031428571429
2024-02-19,2024-02-19,1,ultimo_valor,,2213.69,698.3031428571429
2024-02-19,2024-02-19,1,promedio_4s,,1258.91,698.3031428571429
2024-02-19,2024-02-19,1,estacional_52s,,163.5,698.3031428571429
2024-02-19,2024-02-26,2,ss_arima111,330.0,803.043194913104,698.3031428571429
2024-02-19,2024-02-26,2,hgb,330.0,514.8456852870366,698.3031428571429
2024-02-19,2024-02-26,2,hibrido,330.0,586.8950626935534,698.3031428571429
2024-02-19,2024-02-26,2,ultimo_valor,330.0,2213.69,698.3031428571429
2024-02-19,2024-02-26,2,promedio_4s,330.0,1258.91,698.3031428571429
2024-02-19,2024-02-26,2,estacional_52s,330.0,1171.0,698.3031428571429
2024-02-19,2024-03-04,3,ss_ar1,513.0,797.3014421887838,698.3031428571429
2024-02-19,2024-03-04,3,rf,513.0,694.841824326682,698.3031428571429
2024-02-19,2024-03-04,3,hibrido,513.0,771.6865377232583,698.3031428571429
2024-02-19,2024-03-04,3,ultimo_valor,513.0,2213.69,698.3031428571429
2024-02-19,2024-03-04,3,promedio_4s,513.0,1258.91,698.3031428571429
2024-02-19,2024-03-04,3,estacional_52s,513.0,514.96,698.3031428571429
2024-02-19,2024-03-11,4,ss_ar1,244.0,797.7910982485869,698.3031428571429
2024-02-19,2024-03-11,4,rf,244.0,995.8775870310241,698.3031428571429
2024-02-19,2024-03-11,4,hibrido,244.0,847.3127204441962,698.3031428571429
2024-02-19,2024-03-11,4,ultimo_valor,244.0,2213.69,698.3031428571429
2024-02-19,2024-03-11,4,promedio_4s,244.0,1258.91,698.3031428571429
2024-02-19,2024-03-11,4,estacional_52s,244.0,1539.09,698.3031428571429
2024-03-11,2024-03-11,1,ss_arima111,244.0,797.8555683901712,664.7254545454546
2024-03-11,2024-03-11,1,rf,244.0,692.7984482805671,664.7254545454546
2024-03-11,2024-03-11,1,hibrido,244.0,771.5912883627702,664.7254545454546
2024-03-11,2024-03-11,1,ultimo_valor,244.0,513.0,664.7254545454546
2024-03-11,2024-03-11,1,promedio_4s,244.0,1018.8966666666666,664.7254545454546
2024-03-11,2024-03-11,1,estacional_52s,244.0,1539.09,664.7254545454546
2024-03-11,2024-03-18,2,ss_arima111,,797.0199684170591,664.7254545454546
2024-03-11,2024-03-18,2,hgb,,615.7363310047673,664.7254545454546
2024-03-11,2024-03-18,2,hibrido,,661.0572403578403,664.7254545454546
2024-03-11,2024-03-18,2,ultimo_valor,,513.0,664.7254545454546
2024-03-11,2024-03-18,2,promedio_4s,,1018.8966666666666,664.7254545454546
2024-03-11,2024-03-18,2,estacional_52s,,329.47,664.7254545454546
2024-03-11,2024-03-25,3,ss_ar1,1362.0,800.8645985100536,664.7254545454546
2024-03-11,2024-03-25,3,rf,1362.0,1035.712432738095,664.7254545454546
2024-03-11,2024-03-25,3,hibrido,1362.0,859.576557067064,664.7254545454546
2024-03-11,2024-03-25,3,ultimo_valor,1362.0,513.0,664.7254545454546
