horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,693860.4477067097,5
1,ss_ar1,hgb,0.5,577486.9092179458,5
1,ss_ar1,hgb,0.75,478049.67171486607,5
1,ss_ar1,rf,0.25,464848.25396594935,5
1,ss_ar1,rf,0.5,439324.20260742866,5
1,ss_ar1,rf,0.75,416224.3630179357,5
1,ss_arima111,hgb,0.25,691702.869099132,5
1,ss_arima111,hgb,0.5,574440.3064129787,5
1,ss_arima111,hgb,0.75,475382.5991226984,5
1,ss_arima111,rf,0.25,463952.49532533844,5
1,ss_arima111,rf,0.5,437960.0264250841,5
1,ss_arima111,rf,0.75,414819.1103927351,5
2,ss_ar1,hgb,0.25,362877.66519271507,4
2,ss_ar1,hgb,0.5,426142.4663731113,4
2,ss_ar1,hgb,0.75,503112.0362916527,4
2,ss_ar1,rf,0.25,509063.1911840667,4
2,ss_ar1,rf,0.5,535084.6538935549,4
2,ss_ar1,rf,0.75,563325.7151483122,4
2,ss_arima111,hgb,0.25,362424.5433100578,4
2,ss_arima111,hgb,0.5,424513.2112643005,4
2,ss_arima111,hgb,0.75,499583.6366131921,4
2,ss_arima111,rf,0.25,507905.4634125692,4
2,ss_arima111,rf,0.5,532515.9242662905,4
2,ss_arima111,rf,0.75,559092.7095810114,4
3,ss_ar1,hgb,0.25,543199.9587529388,4
3,ss_ar1,hgb,0.5,441107.0463940456,4
3,ss_ar1,hgb,0.75,358973.45492431684,4
3,ss_ar1,rf,0.25,348453.2114018497,4
3,ss_ar1,rf,0.5,324344.0674515036,4
3,ss_ar1,rf,0.75,307126.05843213794,4
3,ss_arima111,hgb,0.25,544818.2802338018,4
3,ss_arima111,hgb,0.5,443764.5392966102,4
3,ss_arima111,hgb,0.75,362090.9691894218,4
3,ss_arima111,rf,0.25,349530.8257627667,4
3,ss_arima111,rf,0.5,326280.61752747354,4
3,ss_arima111,rf,0.75,309702.8655772969,4
4,ss_ar1,hgb,0.25,234921.26344666618,4
4,ss_ar1,hgb,0.5,173061.0955299609,4
4,ss_ar1,hgb,0.75,123047.3138749809,4
4,ss_ar1,rf,0.25,198503.90322326033,4
4,ss_ar1,rf,0.5,151787.1472754713,4
4,ss_ar1,rf,0.75,113912.48569495998,4
4,ss_arima111,hgb,0.25,236114.96990121808,4
4,ss_arima111,hgb,0.5,174891.4740484102,4
4,ss_arima111,hgb,0.75,124957.33006667327,4
4,ss_arima111,rf,0.25,199755.48599620216,4
4,ss_arima111,rf,0.5,153694.69421844062,4
4,ss_arima111,rf,0.75,115880.37820504233,4
