variable,horizonte,n,mae_rf,rmse_rf,mae_hibrido,rmse_hibrido
base,1,6,313.14532850699766,442.66274877770076,472.98593470249983,630.2653929788643
base,2,6,361.8901068206151,516.2432130502408,554.5943350789438,744.3648915818139
base,3,6,422.2382715688939,678.2813128465378,587.823218601341,892.6971133085852
base,4,6,454.7454324983999,520.8959156647727,646.0059386315585,830.8846023213952
base,todos,24,388.0047848487266,546.3184644712576,565.3523567535858,780.7994166062549
todas_juntas,1,6,333.54423948112054,435.53787485855435,468.68877287255253,621.5469152636069
todas_juntas,2,6,359.33054452943287,502.6060470451705,542.6829229403414,733.5836595839643
todas_juntas,3,6,480.69639831093923,711.9971674348639,602.3548394817655,895.3057151134948
todas_juntas,4,6,377.7755296996613,430.1474241479004,626.763462931874,811.1543096102857
todas_juntas,todos,24,387.83667800528855,532.5112327216726,560.1224995566333,772.0118507828317
