variable,horizonte,n,mae_rf,rmse_rf,mae_hibrido,rmse_hibrido
base,1,6,313.1453285069976,442.66274877770076,472.98593470249983,630.2653929788643
base,2,6,361.8901068206151,516.2432130502408,554.5943350789438,744.3648915818139
base,3,6,422.23827156889394,678.281312846538,587.823218601341,892.6971133085852
base,4,6,454.7454324983999,520.8959156647727,646.0059386315585,830.8846023213952
calendario_comercial,1,6,310.0754315854006,441.95728718524214,472.83879267448157,629.6228171086169
calendario_comercial,2,6,358.0087181290979,517.4348849897585,554.8071792155883,743.7807461039492
calendario_comercial,3,6,417.9712608083119,681.5108779199073,586.7564659111954,892.4422981041279
calendario_comercial,4,6,459.2990052181667,526.3502661960792,647.1443318115001,832.1748894112058
cantidad_pedidos,1,6,311.46803791005266,440.6158854839354,472.70877348183507,629.6584042704851
cantidad_pedidos,2,6,361.17381230345694,513.6467582480888,553.7778430927838,743.2922457325421
cantidad_pedidos,3,6,424.00584264362925,679.0493630823387,588.2651113700248,892.7181293419218
cantidad_pedidos,4,6,457.1831168934493,522.9566013120087,646.615359730321,831.6980682220556
temperatura_rezagada,1,6,342.5132318102685,441.3650256025741,470.93102095483954,625.0204338623636
temperatura_rezagada,2,6,371.4034656541606,507.21734543841444,544.7613851560471,736.398652065112
temperatura_rezagada,3,6,478.2126606085583,704.708900314624,601.7871118930029,893.9865971975219
temperatura_rezagada,4,6,381.6681792441309,435.91279818513533,627.7366253179913,813.3181186938551
