variable,horizonte,origen,objetivo,real,rf,hibrido
base,1,2025-03-24,2025-03-24,305.44,311.5136685714281,307.13865855963235
calendario_comercial,1,2025-03-24,2025-03-24,305.44,308.83257384920586,306.4683848790768
cantidad_pedidos,1,2025-03-24,2025-03-24,305.44,314.0608777777773,307.77546086121964
temperatura_rezagada,1,2025-03-24,2025-03-24,305.44,311.6259009523807,307.16671665487047
base,1,2025-04-14,2025-04-14,79.0,304.4135699999995,324.36967885954334
calendario_comercial,1,2025-04-14,2025-04-14,79.0,305.0653599999995,324.53262635954337
cantidad_pedidos,1,2025-04-14,2025-04-14,79.0,305.4240199999995,324.6222913595434
temperatura_rezagada,1,2025-04-14,2025-04-14,79.0,384.45498716450186,344.38003315066896
base,1,2025-05-05,2025-05-05,1083.17,167.14111309523798,115.67509957670666
calendario_comercial,1,2025-05-05,2025-05-05,1083.17,167.70794166666656,115.8168067195638
cantidad_pedidos,1,2025-05-05,2025-05-05,1083.17,169.323013095238,116.22057457670667
temperatura_rezagada,1,2025-05-05,2025-05-05,1083.17,209.41846976190473,126.24443874337334
base,1,2025-05-26,2025-05-26,326.86,349.50036734126996,298.669331279566
calendario_comercial,1,2025-05-26,2025-05-26,326.86,342.0563809126985,296.80833467242314
cantidad_pedidos,1,2025-05-26,2025-05-26,326.86,347.7944301984127,298.2428469938517
temperatura_rezagada,1,2025-05-26,2025-05-26,326.86,542.9308952380953,347.02696325377235
base,1,2025-06-16,2025-06-16,877.4549999999999,392.53431528737843,318.7110238598834
calendario_comercial,1,2025-06-16,2025-06-16,877.4549999999999,390.71587112071177,318.25641281821675
cantidad_pedidos,1,2025-06-16,2025-06-16,877.4549999999999,398.2151092658732,320.1312223545071
temperatura_rezagada,1,2025-06-16,2025-06-16,877.4549999999999,389.80209231118795,318.0279681158358
base,1,2025-07-07,2025-07-07,756.0,979.7947935119046,1792.4177255119794
calendario_comercial,1,2025-07-07,2025-07-07,756.0,969.5970875378786,1789.868299018473
cantidad_pedidos,1,2025-07-07,2025-07-07,756.0,975.7420218452378,1791.4045325953127
temperatura_rezagada,1,2025-07-07,2025-07-07,756.0,921.9631695797257,1777.9598195289345
base,2,2025-03-24,2025-03-31,305.44,304.5555366666663,305.45206659838925
calendario_comercial,2,2025-03-24,2025-03-31,305.44,306.20243666666624,305.86379159838924
cantidad_pedidos,2,2025-03-24,2025-03-31,305.44,299.2107766666663,304.11587659838926
temperatura_rezagada,2,2025-03-24,2025-03-31,305.44,311.13069333333306,307.09585576505594
base,2,2025-04-14,2025-04-21,95.5,305.4399999999995,336.93037979501617
calendario_comercial,2,2025-04-14,2025-04-21,95.5,304.4485999999995,336.6825297950162
