variable,horizonte,origen,objetivo,real,rf,hibrido
todas_juntas,1,2025-03-24,2025-03-24,305.44,312.89589904761874,307.48421617867996
todas_juntas,1,2025-04-14,2025-04-14,79.0,394.96307049783513,347.00705398400225
todas_juntas,1,2025-05-05,2025-05-05,1083.17,217.11017166666667,128.16736421956384
todas_juntas,1,2025-05-26,2025-05-26,326.86,535.5356047619048,345.1781406347247
todas_juntas,1,2025-06-16,2025-06-16,877.4549999999999,398.7066554563493,320.2541089021261
todas_juntas,1,2025-07-07,2025-07-07,756.0,880.3626897023809,1767.5596995595984
todas_juntas,2,2025-03-24,2025-03-31,305.44,306.69360666666637,305.98658409838924
todas_juntas,2,2025-04-14,2025-04-21,95.5,345.32363904761866,346.901289556921
todas_juntas,2,2025-05-05,2025-05-12,749.945,232.54808547619047,132.96355781082656
todas_juntas,2,2025-05-26,2025-06-02,372.0,532.7161760515874,344.47752274410124
todas_juntas,2,2025-06-16,2025-06-23,1511.91,447.27972323412706,343.90660063661477
todas_juntas,2,2025-07-07,2025-07-14,519.0,681.1626541210421,1710.6423451782807
todas_juntas,3,2025-03-24,2025-04-07,305.44,301.23848190476144,304.6383528914507
todas_juntas,3,2025-04-14,2025-04-28,112.0,536.4353801226555,402.56979376809255
todas_juntas,3,2025-05-05,2025-05-19,281.72,200.88413619047617,124.96078317557317
todas_juntas,3,2025-05-26,2025-06-09,243.0,586.768970836941,357.9949605701088
todas_juntas,3,2025-06-16,2025-06-30,1987.0,390.8366743650794,333.2519063919585
todas_juntas,3,2025-07-07,2025-07-21,336.9,771.6733313663561,1734.1553250113736
todas_juntas,4,2025-03-24,2025-04-14,79.0,308.2230757549631,306.38906873882104
todas_juntas,4,2025-04-14,2025-05-05,1083.17,524.7502032539686,404.7086918000682
todas_juntas,4,2025-05-05,2025-05-26,326.86,212.83941928571426,127.95764485480665
todas_juntas,4,2025-05-26,2025-06-16,877.4549999999999,599.9796443849207,361.301867929492
todas_juntas,4,2025-06-16,2025-07-07,756.0,391.7531681643626,334.5188413407434
todas_juntas,4,2025-07-07,2025-07-28,5.0,728.2675375319709,1723.1937547775324
