fecha,descripcion,importe_nominal,es_sintetico,registro_id,descripcion_normalizada,motivo,semana_inicio
2021-01-04,HARINA,0.0,1,2,HARINA,,2021-01-04
2021-01-04,AZUCAR,0.0,1,3,AZUCAR,,2021-01-04
2021-01-04,MANTEQUILLA,0.0,1,4,MANTEQUILLA,,2021-01-04
2021-01-11,HARINA,153.19,1,5,HARINA,,2021-01-11
2021-01-11,AZUCAR,113.24,1,6,AZUCAR,,2021-01-11
2021-01-11,MANTEQUILLA,66.61,1,7,MANTEQUILLA,,2021-01-11
2021-01-18,HARINA,159.68,1,8,HARINA,,2021-01-18
2021-01-18,AZUCAR,112.24,1,9,AZUCAR,,2021-01-18
2021-01-18,MANTEQUILLA,67.98,1,10,MANTEQUILLA,,2021-01-18
2021-01-25,HARINA,178.81,1,11,HARINA,,2021-01-25
2021-01-25,AZUCAR,119.64,1,12,AZUCAR,,2021-01-25
2021-01-25,MANTEQUILLA,74.61,1,13,MANTEQUILLA,,2021-01-25
2021-02-01,HARINA,182.35,1,14,HARINA,,2021-02-01
2021-02-01,AZUCAR,116.36,1,15,AZUCAR,,2021-02-01
2021-02-01,MANTEQUILLA,74.68,1,16,MANTEQUILLA,,2021-02-01
2021-02-08,HARINA,160.9,1,17,HARINA,,2021-02-08
2021-02-08,AZUCAR,98.2,1,18,AZUCAR,,2021-02-08
2021-02-08,MANTEQUILLA,64.77,1,19,MANTEQUILLA,,2021-02-08
2021-02-15,HARINA,155.26,1,20,HARINA,,2021-02-15
2021-02-15,AZUCAR,90.93,1,21,AZUCAR,,2021-02-15
2021-02-15,MANTEQUILLA,61.55,1,22,MANTEQUILLA,,2021-02-15
2021-02-22,HARINA,152.23,1,23,HARINA,,2021-02-22
2021-02-22,AZUCAR,85.91,1,24,AZUCAR,,2021-02-22
2021-02-22,MANTEQUILLA,59.54,1,25,MANTEQUILLA,,2021-02-22
2021-03-01,HARINA,138.86,1,26,HARINA,,2021-03-01
2021-03-01,AZUCAR,75.88,1,27,AZUCAR,,2021-03-01
2021-03-01,MANTEQUILLA,53.68,1,28,MANTEQUILLA,,2021-03-01
2021-03-08,HARINA,134.3,1,29,HARINA,,2021-03-08
2021-03-08,AZUCAR,71.45,1,30,AZUCAR,,2021-03-08
2021-03-08,MANTEQUILLA,51.44,1,31,MANTEQUILLA,,2021-03-08
2021-03-15,HARINA,128.96,1,32,HARINA,,2021-03-15
2021-03-15,AZUCAR,67.2,1,33,AZUCAR,,2021-03-15
2021-03-15,MANTEQUILLA,49.04,1,34,MANTEQUILLA,,2021-03-15
2021-03-22,HARINA,146.74,1,35,HARINA,,2021-03-22
2021-03-22,AZUCAR,75.4,1,36,AZUCAR,,2021-03-22
2021-03-22,MANTEQUILLA,55.53,1,37,MANTEQUILLA,,2021-03-22
2021-03-29,HARINA,158.65,1,38,HARINA,,2021-03-29
2021-03-29,AZUCAR,80.91,1,39,AZUCAR,,2021-03-29
2021-03-29,MANTEQUILLA,59.89,1,40,MANTEQUILLA,,2021-03-29
2021-04-05,HARINA,0.0,1,41,HARINA,,2021-04-05
2021-04-05,AZUCAR,0.0,1,42,AZUCAR,,2021-04-05
2021-04-05,MANTEQUILLA,0.0,1,43,MANTEQUILLA,,2021-04-05
2021-04-12,HARINA,184.88,1,44,HARINA,,2021-04-12
2021-04-12,AZUCAR,94.86,1,45,AZUCAR,,2021-04-12
2021-04-12,MANTEQUILLA,69.94,1,46,MANTEQUILLA,,2021-04-12
2021-04-19,HARINA,202.85,1,47,HARINA,,2021-04-19
2021-04-19,AZUCAR,105.48,1,48,AZUCAR,,2021-04-19
2021-04-19,MANTEQUILLA,77.08,1,49,MANTEQUILLA,,2021-04-19
2021-04-26,HARINA,203.44,1,50,HARINA,,2021-04-26
2021-04-26,AZUCAR,107.9,1,51,AZUCAR,,2021-04-26
2021-04-26,MANTEQUILLA,77.83,1,52,MANTEQUILLA,,2021-04-26
2021-05-03,HARINA,192.34,1,53,HARINA,,2021-05-03
2021-05-03,AZUCAR,104.69,1,54,AZUCAR,,2021-05-03
2021-05-03,MANTEQUILLA,74.26,1,55,MANTEQUILLA,,2021-05-03
2021-05-10,HARINA,190.15,1,56,HARINA,,2021-05-10
2021-05-10,AZUCAR,106.82,1,57,AZUCAR,,2021-05-10
2021-05-10,MANTEQUILLA,74.24,1,58,MANTEQUILLA,,2021-05-10
2021-05-17,HARINA,167.5,1,59,HARINA,,2021-05-17
2021-05-17,AZUCAR,97.58,1,60,AZUCAR,,2021-05-17
2021-05-17,MANTEQUILLA,66.27,1,61,MANTEQUILLA,,2021-05-17
2021-05-24,HARINA,162.4,1,62,HARINA,,2021-05-24
2021-05-24,AZUCAR,98.55,1,63,AZUCAR,,2021-05-24
2021-05-24,MANTEQUILLA,65.24,1,64,MANTEQUILLA,,2021-05-24
2021-05-31,HARINA,142.5,1,65,HARINA,,2021-05-31
2021-05-31,AZUCAR,90.39,1,66,AZUCAR,,2021-05-31
2021-05-31,MANTEQUILLA,58.22,1,67,MANTEQUILLA,,2021-05-31
2021-06-07,HARINA,131.99,1,68,HARINA,,2021-06-07
2021-06-07,AZUCAR,87.75,1,69,AZUCAR,,2021-06-07
2021-06-07,MANTEQUILLA,54.94,1,70,MANTEQUILLA,,2021-06-07
2021-06-14,HARINA,125.67,1,71,HARINA,,2021-06-14
2021-06-14,AZUCAR,87.75,1,72,AZUCAR,,2021-06-14
2021-06-14,MANTEQUILLA,53.35,1,73,MANTEQUILLA,,2021-06-14
2021-06-21,HARINA,138.98,1,74,HARINA,,2021-06-21
2021-06-21,AZUCAR,102.05,1,75,AZUCAR,,2021-06-21
2021-06-21,MANTEQUILLA,60.26,1,76,MANTEQUILLA,,2021-06-21
2021-06-28,HARINA,138.9,1,77,HARINA,,2021-06-28
2021-06-28,AZUCAR,107.31,1,78,AZUCAR,,2021-06-28
2021-06-28,MANTEQUILLA,61.55,1,79,MANTEQUILLA,,2021-06-28
2021-07-05,HARINA,0.0,1,80,HARINA,,2021-07-05
2021-07-05,AZUCAR,0.0,1,81,AZUCAR,,2021-07-05
2021-07-05,MANTEQUILLA,0.0,1,82,MANTEQUILLA,,2021-07-05
2021-07-12,HARINA,156.74,1,83,HARINA,,2021-07-12
2021-07-12,AZUCAR,133.86,1,84,AZUCAR,,2021-07-12
2021-07-12,MANTEQUILLA,72.65,1,85,MANTEQUILLA,,2021-07-12
2021-07-19,HARINA,163.35,1,86,HARINA,,2021-07-19
2021-07-19,AZUCAR,146.37,1,87,AZUCAR,,2021-07-19
2021-07-19,MANTEQUILLA,77.43,1,88,MANTEQUILLA,,2021-07-19
2021-07-26,HARINA,169.03,1,89,HARINA,,2021-07-26
2021-07-26,AZUCAR,158.53,1,90,AZUCAR,,2021-07-26
2021-07-26,MANTEQUILLA,81.89,1,91,MANTEQUILLA,,2021-07-26
2021-08-02,HARINA,163.93,1,92,HARINA,,2021-08-02
2021-08-02,AZUCAR,160.46,1,93,AZUCAR,,2021-08-02
2021-08-02,MANTEQUILLA,81.1,1,94,MANTEQUILLA,,2021-08-02
2021-08-09,HARINA,155.11,1,95,HARINA,,2021-08-09
2021-08-09,AZUCAR,157.89,1,96,AZUCAR,,2021-08-09
2021-08-09,MANTEQUILLA,78.25,1,97,MANTEQUILLA,,2021-08-09
2021-08-16,HARINA,143.14,1,98,HARINA,,2021-08-16
2021-08-16,AZUCAR,150.89,1,99,AZUCAR,,2021-08-16
2021-08-16,MANTEQUILLA,73.51,1,100,MANTEQUILLA,,2021-08-16
2021-08-23,HARINA,138.35,1,101,HARINA,,2021-08-23
2021-08-23,AZUCAR,150.32,1,102,AZUCAR,,2021-08-23
2021-08-23,MANTEQUILLA,72.17,1,103,MANTEQUILLA,,2021-08-23
2021-08-30,HARINA,115.92,1,104,HARINA,,2021-08-30
2021-08-30,AZUCAR,129.15,1,105,AZUCAR,,2021-08-30
2021-08-30,MANTEQUILLA,61.27,1,106,MANTEQUILLA,,2021-08-30
2021-09-06,HARINA,108.7,1,107,HARINA,,2021-09-06
2021-09-06,AZUCAR,123.5,1,108,AZUCAR,,2021-09-06
2021-09-06,MANTEQUILLA,58.05,1,109,MANTEQUILLA,,2021-09-06
2021-09-13,HARINA,105.84,1,110,HARINA,,2021-09-13
2021-09-13,AZUCAR,121.9,1,111,AZUCAR,,2021-09-13
2021-09-13,MANTEQUILLA,56.93,1,112,MANTEQUILLA,,2021-09-13
2021-09-20,HARINA,116.1,1,113,HARINA,,2021-09-20
2021-09-20,AZUCAR,134.71,1,114,AZUCAR,,2021-09-20
