horizonte,stat,ml,peso,mse,n
1,ets,ridge_0.1,0.25,124.04642636044973,8
1,ets,ridge_0.1,0.5,430.25922877065375,8
1,ets,ridge_0.1,0.75,982.90556493267,8
1,ets,ridge_1,0.25,268.61913091858963,8
1,ets,ridge_1,0.5,530.1880438629737,8
1,ets,ridge_1,0.75,1034.64347850561,8
1,ets,ridge_10,0.25,638.978551211499,8
1,ets,ridge_10,0.5,729.557629611307,8
1,ets,ridge_10,0.75,1110.5599241563068,8
2,ets,ridge_0.1,0.25,1500.3392510793076,8
2,ets,ridge_0.1,0.5,5647.607055823063,8
2,ets,ridge_0.1,0.75,12601.186539523183,8
2,ets,ridge_1,0.25,1723.1837934473328,8
2,ets,ridge_1,0.5,5935.442971943085,8
2,ets,ridge_1,0.75,12814.740941520533,8
2,ets,ridge_10,0.25,3489.869029935115,8
2,ets,ridge_10,0.5,7833.708151430874,8
2,ets,ridge_10,0.75,14124.111042179058,8
3,ets,ridge_0.1,0.25,9336.528109761544,8
3,ets,ridge_0.1,0.5,12652.800056102478,8
3,ets,ridge_0.1,0.75,17137.189103536064,8
3,ets,ridge_1,0.25,11138.995119287358,8
3,ets,ridge_1,0.5,13930.50517048035,8
3,ets,ridge_1,0.75,17814.07188140533,8
3,ets,ridge_10,0.25,14637.359264880215,8
3,ets,ridge_10,0.5,16175.604966417042,8
3,ets,ridge_10,0.75,18893.050295477744,8
4,ets,ridge_0.1,0.25,14791.427688346696,8
4,ets,ridge_0.1,0.5,16517.257104536406,8
4,ets,ridge_0.1,0.75,19554.517782028663,8
4,ets,ridge_1,0.25,15696.338631055682,8
4,ets,ridge_1,0.5,17093.22270996125,8
4,ets,ridge_1,0.75,19828.84640655051,8
4,ets,ridge_10,0.25,17444.82401963758,8
4,ets,ridge_10,0.5,18150.700350829153,8
4,ets,ridge_10,0.75,20303.495584557786,8
