semana_inicio,estado,evidencia,fecha_revision,registros_detectados
2020-12-28,desconocida,,,6
2021-01-04,desconocida,,,0
2021-01-11,desconocida,,,3
2021-01-18,desconocida,,,3
2021-01-25,desconocida,,,3
2021-02-01,desconocida,,,0
2021-02-08,desconocida,,,3
2021-02-15,desconocida,,,3
2021-02-22,desconocida,,,3
2021-03-01,desconocida,,,3
2021-03-08,desconocida,,,0
2021-03-15,desconocida,,,3
2021-03-22,desconocida,,,3
2021-03-29,desconocida,,,6
2021-04-05,desconocida,,,3
2021-04-12,desconocida,,,0
2021-04-19,desconocida,,,3
2021-04-26,desconocida,,,3
2021-05-03,desconocida,,,6
2021-05-10,desconocida,,,0
2021-05-17,desconocida,,,3
2021-05-24,desconocida,,,3
2021-05-31,desconocida,,,3
2021-06-07,desconocida,,,6
2021-06-14,desconocida,,,3
2021-06-21,desconocida,,,3
2021-06-28,desconocida,,,3
2021-07-05,desconocida,,,3
2021-07-12,desconocida,,,0
2021-07-19,desconocida,,,3
2021-07-26,desconocida,,,3
2021-08-02,desconocida,,,6
2021-08-09,desconocida,,,3
2021-08-16,desconocida,,,3
2021-08-23,desconocida,,,3
2021-08-30,desconocida,,,3
2021-09-06,desconocida,,,3
2021-09-13,desconocida,,,3
2021-09-20,desconocida,,,3
2021-09-27,desconocida,,,3
2021-10-04,desconocida,,,3
2021-10-11,desconocida,,,0
2021-10-18,desconocida,,,3
2021-10-25,desconocida,,,3
2021-11-01,desconocida,,,3
2021-11-08,desconocida,,,3
2021-11-15,desconocida,,,3
2021-11-22,desconocida,,,3
2021-11-29,desconocida,,,6
2021-12-06,desconocida,,,3
2021-12-13,desconocida,,,3
2021-12-20,desconocida,,,3
2021-12-27,desconocida,,,3
2022-01-03,desconocida,,,3
2022-01-10,desconocida,,,0
2022-01-17,desconocida,,,3
2022-01-24,desconocida,,,3
2022-01-31,desconocida,,,6
2022-02-07,desconocida,,,0
2022-02-14,desconocida,,,3
2022-02-21,desconocida,,,3
2022-02-28,desconocida,,,6
2022-03-07,desconocida,,,3
2022-03-14,desconocida,,,3
2022-03-21,desconocida,,,3
2022-03-28,desconocida,,,3
2022-04-04,desconocida,,,6
2022-04-11,desconocida,,,0
2022-04-18,desconocida,,,3
2022-04-25,desconocida,,,3
2022-05-02,desconocida,,,0
2022-05-09,desconocida,,,6
2022-05-16,desconocida,,,3
2022-05-23,desconocida,,,3
2022-05-30,desconocida,,,3
2022-06-06,desconocida,,,3
2022-06-13,desconocida,,,3
2022-06-20,desconocida,,,3
2022-06-27,desconocida,,,9
2022-07-04,desconocida,,,0
2022-07-11,desconocida,,,3
2022-07-18,desconocida,,,3
2022-07-25,desconocida,,,3
2022-08-01,desconocida,,,0
2022-08-08,desconocida,,,3
2022-08-15,desconocida,,,3
2022-08-22,desconocida,,,3
2022-08-29,desconocida,,,3
2022-09-05,desconocida,,,3
2022-09-12,desconocida,,,0
2022-09-19,desconocida,,,3
2022-09-26,desconocida,,,6
2022-10-03,desconocida,,,0
2022-10-10,desconocida,,,3
2022-10-17,desconocida,,,3
2022-10-24,desconocida,,,3
2022-10-31,desconocida,,,6
2022-11-07,desconocida,,,3
2022-11-14,desconocida,,,3
2022-11-21,desconocida,,,3
2022-11-28,desconocida,,,3
2022-12-05,desconocida,,,3
2022-12-12,desconocida,,,3
2022-12-19,desconocida,,,3
2022-12-26,desconocida,,,3
2023-01-02,desconocida,,,0
2023-01-09,desconocida,,,0
2023-01-16,desconocida,,,3
2023-01-23,desconocida,,,3
2023-01-30,desconocida,,,6
2023-02-06,desconocida,,,0
2023-02-13,desconocida,,,0
2023-02-20,desconocida,,,0
2023-02-27,desconocida,,,0
2023-03-06,desconocida,,,0
2023-03-13,desconocida,,,0
2023-03-20,desconocida,,,0
2023-03-27,desconocida,,,0
2023-04-03,desconocida,,,0
2023-04-10,desconocida,,,0
2023-04-17,desconocida,,,0
2023-04-24,desconocida,,,0
2023-05-01,desconocida,,,0
2023-05-08,desconocida,,,0
2023-05-15,desconocida,,,0
2023-05-22,desconocida,,,0
2023-05-29,desconocida,,,3
2023-06-05,desconocida,,,0
2023-06-12,desconocida,,,0
2023-06-19,desconocida,,,0
2023-06-26,desconocida,,,0
2023-07-03,desconocida,,,0
2023-07-10,desconocida,,,0
2023-07-17,desconocida,,,0
2023-07-24,desconocida,,,0
2023-07-31,desconocida,,,0
2023-08-07,desconocida,,,0
2023-08-14,desconocida,,,0
2023-08-21,desconocida,,,0
2023-08-28,desconocida,,,3
