fecha,descripcion,importe_nominal,es_sintetico
2021-01-04,HARINA,0.0,1
2021-01-04,AZUCAR,0.0,1
2021-01-04,MANTEQUILLA,0.0,1
2021-01-11,HARINA,153.19,1
2021-01-11,AZUCAR,113.24,1
2021-01-11,MANTEQUILLA,66.61,1
2021-01-18,HARINA,159.68,1
2021-01-18,AZUCAR,112.24,1
2021-01-18,MANTEQUILLA,67.98,1
2021-01-25,HARINA,178.81,1
2021-01-25,AZUCAR,119.64,1
2021-01-25,MANTEQUILLA,74.61,1
2021-02-01,HARINA,182.35,1
2021-02-01,AZUCAR,116.36,1
2021-02-01,MANTEQUILLA,74.68,1
2021-02-08,HARINA,160.9,1
2021-02-08,AZUCAR,98.2,1
2021-02-08,MANTEQUILLA,64.77,1
2021-02-15,HARINA,155.26,1
2021-02-15,AZUCAR,90.93,1
2021-02-15,MANTEQUILLA,61.55,1
2021-02-22,HARINA,152.23,1
2021-02-22,AZUCAR,85.91,1
2021-02-22,MANTEQUILLA,59.54,1
2021-03-01,HARINA,138.86,1
2021-03-01,AZUCAR,75.88,1
2021-03-01,MANTEQUILLA,53.68,1
2021-03-08,HARINA,134.3,1
2021-03-08,AZUCAR,71.45,1
2021-03-08,MANTEQUILLA,51.44,1
2021-03-15,HARINA,128.96,1
2021-03-15,AZUCAR,67.2,1
2021-03-15,MANTEQUILLA,49.04,1
2021-03-22,HARINA,146.74,1
2021-03-22,AZUCAR,75.4,1
2021-03-22,MANTEQUILLA,55.53,1
2021-03-29,HARINA,158.65,1
2021-03-29,AZUCAR,80.91,1
2021-03-29,MANTEQUILLA,59.89,1
2021-04-05,HARINA,0.0,1
2021-04-05,AZUCAR,0.0,1
2021-04-05,MANTEQUILLA,0.0,1
2021-04-12,HARINA,184.88,1
2021-04-12,AZUCAR,94.86,1
2021-04-12,MANTEQUILLA,69.94,1
2021-04-19,HARINA,202.85,1
2021-04-19,AZUCAR,105.48,1
2021-04-19,MANTEQUILLA,77.08,1
2021-04-26,HARINA,203.44,1
2021-04-26,AZUCAR,107.9,1
2021-04-26,MANTEQUILLA,77.83,1
2021-05-03,HARINA,192.34,1
2021-05-03,AZUCAR,104.69,1
2021-05-03,MANTEQUILLA,74.26,1
2021-05-10,HARINA,190.15,1
2021-05-10,AZUCAR,106.82,1
2021-05-10,MANTEQUILLA,74.24,1
2021-05-17,HARINA,167.5,1
2021-05-17,AZUCAR,97.58,1
