origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2022-10-24,2022-10-24,1,harina,0.38188577798743306,180.03,471.44
2022-10-24,2022-10-24,1,azucar,0.41811713961062424,197.12,471.44
2022-10-24,2022-10-24,1,mantequilla,0.19999708240194278,94.29,471.44
2022-10-24,2022-10-24,1,otros,0.0,0.0,471.44
2022-10-24,2022-10-31,2,harina,0.38188577798743306,181.54,475.39
2022-10-24,2022-10-31,2,azucar,0.41811713961062424,198.77,475.39
2022-10-24,2022-10-31,2,mantequilla,0.19999708240194278,95.08,475.39
2022-10-24,2022-10-31,2,otros,0.0,0.0,475.39
2022-10-24,2022-11-07,3,harina,0.38188577798743306,163.51,428.15999999999997
2022-10-24,2022-11-07,3,azucar,0.41811713961062424,179.02,428.15999999999997
2022-10-24,2022-11-07,3,mantequilla,0.19999708240194278,85.63,428.15999999999997
2022-10-24,2022-11-07,3,otros,0.0,0.0,428.15999999999997
2022-10-24,2022-11-14,4,harina,0.38188577798743306,164.3,430.24
2022-10-24,2022-11-14,4,azucar,0.41811713961062424,179.89,430.24
2022-10-24,2022-11-14,4,mantequilla,0.19999708240194278,86.05,430.24
2022-10-24,2022-11-14,4,otros,0.0,0.0,430.24
2022-10-31,2022-10-31,1,harina,0.387776738155817,184.34,475.37
2022-10-31,2022-10-31,1,azucar,0.41222200434709855,195.96,475.37
2022-10-31,2022-10-31,1,mantequilla,0.20000125749708456,95.07,475.37
2022-10-31,2022-10-31,1,otros,0.0,0.0,475.37
2022-10-31,2022-11-07,2,harina,0.387776738155817,173.35,447.03999999999996
2022-10-31,2022-11-07,2,azucar,0.41222200434709855,184.28,447.03999999999996
2022-10-31,2022-11-07,2,mantequilla,0.20000125749708456,89.41,447.03999999999996
2022-10-31,2022-11-07,2,otros,0.0,0.0,447.03999999999996
2022-10-31,2022-11-14,3,harina,0.387776738155817,162.74,419.67
2022-10-31,2022-11-14,3,azucar,0.41222200434709855,173.0,419.67
2022-10-31,2022-11-14,3,mantequilla,0.20000125749708456,83.93,419.67
2022-10-31,2022-11-14,3,otros,0.0,0.0,419.67
2022-10-31,2022-11-21,4,harina,0.387776738155817,160.16,413.01
2022-10-31,2022-11-21,4,azucar,0.41222200434709855,170.25,413.01
2022-10-31,2022-11-21,4,mantequilla,0.20000125749708456,82.6,413.01
2022-10-31,2022-11-21,4,otros,0.0,0.0,413.01
2022-11-07,2022-11-07,1,harina,0.3945091915029283,178.27,451.89
2022-11-07,2022-11-07,1,azucar,0.4054903054982379,183.24,451.89
2022-11-07,2022-11-07,1,mantequilla,0.20000050299883382,90.38,451.89
2022-11-07,2022-11-07,1,otros,0.0,0.0,451.89
2022-11-07,2022-11-14,2,harina,0.3945091915029283,170.13,431.25
2022-11-07,2022-11-14,2,azucar,0.4054903054982379,174.87,431.25
2022-11-07,2022-11-14,2,mantequilla,0.20000050299883382,86.25,431.25
2022-11-07,2022-11-14,2,otros,0.0,0.0,431.25
2022-11-07,2022-11-21,3,harina,0.3945091915029283,137.38,348.24
2022-11-07,2022-11-21,3,azucar,0.4054903054982379,141.21,348.24
2022-11-07,2022-11-21,3,mantequilla,0.20000050299883382,69.65,348.24
2022-11-07,2022-11-21,3,otros,0.0,0.0,348.24
2022-11-07,2022-11-28,4,harina,0.3945091915029283,165.98,420.74
2022-11-07,2022-11-28,4,azucar,0.4054903054982379,170.61,420.74
2022-11-07,2022-11-28,4,mantequilla,0.20000050299883382,84.15,420.74
2022-11-07,2022-11-28,4,otros,0.0,0.0,420.74
2022-11-14,2022-11-14,1,harina,0.4020515726711117,178.82,444.76
2022-11-14,2022-11-14,1,azucar,0.3979506773100069,176.99,444.76
2022-11-14,2022-11-14,1,mantequilla,0.19999775001888154,88.95,444.76
2022-11-14,2022-11-14,1,otros,0.0,0.0,444.76
2022-11-14,2022-11-21,2,harina,0.4020515726711117,169.28,421.04
2022-11-14,2022-11-21,2,azucar,0.3979506773100069,167.55,421.04
2022-11-14,2022-11-21,2,mantequilla,0.19999775001888154,84.21,421.04
2022-11-14,2022-11-21,2,otros,0.0,0.0,421.04
2022-11-14,2022-11-28,3,harina,0.4020515726711117,133.37,331.71000000000004
2022-11-14,2022-11-28,3,azucar,0.3979506773100069,132.0,331.71000000000004
2022-11-14,2022-11-28,3,mantequilla,0.19999775001888154,66.34,331.71000000000004
2022-11-14,2022-11-28,3,otros,0.0,0.0,331.71000000000004
2022-11-14,2022-12-05,4,harina,0.4020515726711117,158.48,394.19000000000005
2022-11-14,2022-12-05,4,azucar,0.3979506773100069,156.87,394.19000000000005
2022-11-14,2022-12-05,4,mantequilla,0.19999775001888154,78.84,394.19000000000005
2022-11-14,2022-12-05,4,otros,0.0,0.0,394.19000000000005
2022-11-21,2022-11-21,1,harina,0.4103208547729652,180.32,439.46
2022-11-21,2022-11-21,1,azucar,0.38968262469971693,171.25,439.46
2022-11-21,2022-11-21,1,mantequilla,0.1999965205273179,87.89,439.46
2022-11-21,2022-11-21,1,otros,0.0,0.0,439.46
2022-11-21,2022-11-28,2,harina,0.4103208547729652,165.7,403.84
2022-11-21,2022-11-28,2,azucar,0.38968262469971693,157.37,403.84
2022-11-21,2022-11-28,2,mantequilla,0.1999965205273179,80.77,403.84
2022-11-21,2022-11-28,2,otros,0.0,0.0,403.84
2022-11-21,2022-12-05,3,harina,0.4103208547729652,151.32,368.78999999999996
2022-11-21,2022-12-05,3,azucar,0.38968262469971693,143.71,368.78999999999996
2022-11-21,2022-12-05,3,mantequilla,0.1999965205273179,73.76,368.78999999999996
2022-11-21,2022-12-05,3,otros,0.0,0.0,368.78999999999996
2022-11-21,2022-12-12,4,harina,0.4103208547729652,154.09,375.53
2022-11-21,2022-12-12,4,azucar,0.38968262469971693,146.34,375.53
2022-11-21,2022-12-12,4,mantequilla,0.1999965205273179,75.1,375.53
2022-11-21,2022-12-12,4,otros,0.0,0.0,375.53
2022-11-28,2022-11-28,1,harina,0.4191858731712427,170.43,406.56
2022-11-28,2022-11-28,1,azucar,0.3808100718711266,154.82,406.56
2022-11-28,2022-11-28,1,mantequilla,0.20000405495763074,81.31,406.56
2022-11-28,2022-11-28,1,otros,0.0,0.0,406.56
2022-11-28,2022-12-05,2,harina,0.4191858731712427,165.77,395.47
2022-11-28,2022-12-05,2,azucar,0.3808100718711266,150.6,395.47
2022-11-28,2022-12-05,2,mantequilla,0.20000405495763074,79.1,395.47
2022-11-28,2022-12-05,2,otros,0.0,0.0,395.47
2022-11-28,2022-12-12,3,harina,0.4191858731712427,148.38,353.96999999999997
2022-11-28,2022-12-12,3,azucar,0.3808100718711266,134.79,353.96999999999997
2022-11-28,2022-12-12,3,mantequilla,0.20000405495763074,70.8,353.96999999999997
2022-11-28,2022-12-12,3,otros,0.0,0.0,353.96999999999997
2022-11-28,2022-12-19,4,harina,0.4191858731712427,166.28,396.68000000000006
2022-11-28,2022-12-19,4,azucar,0.3808100718711266,151.06,396.68000000000006
2022-11-28,2022-12-19,4,mantequilla,0.20000405495763074,79.34,396.68000000000006
2022-11-28,2022-12-19,4,otros,0.0,0.0,396.68000000000006
2022-12-05,2022-12-05,1,harina,0.4285419941622499,172.15,401.72
2022-12-05,2022-12-05,1,azucar,0.3714534393584521,149.22,401.72
2022-12-05,2022-12-05,1,mantequilla,0.2000045664792981,80.35,401.72
2022-12-05,2022-12-05,1,otros,0.0,0.0,401.72
2022-12-05,2022-12-12,2,harina,0.4285419941622499,162.87,380.06
2022-12-05,2022-12-12,2,azucar,0.3714534393584521,141.18,380.06
2022-12-05,2022-12-12,2,mantequilla,0.2000045664792981,76.01,380.06
2022-12-05,2022-12-12,2,otros,0.0,0.0,380.06
2022-12-05,2022-12-19,3,harina,0.4285419941622499,189.94,443.21
2022-12-05,2022-12-19,3,azucar,0.3714534393584521,164.63,443.21
2022-12-05,2022-12-19,3,mantequilla,0.2000045664792981,88.64,443.21
2022-12-05,2022-12-19,3,otros,0.0,0.0,443.21
2022-12-05,2022-12-26,4,harina,0.4285419941622499,125.33,292.45
2022-12-05,2022-12-26,4,azucar,0.3714534393584521,108.63,292.45
2022-12-05,2022-12-26,4,mantequilla,0.2000045664792981,58.49,292.45
2022-12-05,2022-12-26,4,otros,0.0,0.0,292.45
2022-12-12,2022-12-12,1,harina,0.4382394919707484,174.52,398.24
2022-12-12,2022-12-12,1,azucar,0.36176485395952196,144.07,398.24
2022-12-12,2022-12-12,1,mantequilla,0.19999565406972963,79.65,398.24
2022-12-12,2022-12-12,1,otros,0.0,0.0,398.24
2022-12-12,2022-12-19,2,harina,0.4382394919707484,170.62,389.32000000000005
2022-12-12,2022-12-19,2,azucar,0.36176485395952196,140.84,389.32000000000005
2022-12-12,2022-12-19,2,mantequilla,0.19999565406972963,77.86,389.32000000000005
2022-12-12,2022-12-19,2,otros,0.0,0.0,389.32000000000005
2022-12-12,2022-12-26,3,harina,0.4382394919707484,152.56,348.13
2022-12-12,2022-12-26,3,azucar,0.36176485395952196,125.94,348.13
2022-12-12,2022-12-26,3,mantequilla,0.19999565406972963,69.63,348.13
2022-12-12,2022-12-26,3,otros,0.0,0.0,348.13
2022-12-12,2023-01-02,4,harina,0.4382394919707484,132.25,301.77000000000004
2022-12-12,2023-01-02,4,azucar,0.36176485395952196,109.17,301.77000000000004
2022-12-12,2023-01-02,4,mantequilla,0.19999565406972963,60.35,301.77000000000004
2022-12-12,2023-01-02,4,otros,0.0,0.0,301.77000000000004
2022-12-19,2022-12-19,1,harina,0.44810258997465163,181.57,405.19
2022-12-19,2022-12-19,1,azucar,0.3518930099760539,142.58,405.19
2022-12-19,2022-12-19,1,mantequilla,0.2000044000492945,81.04,405.19
2022-12-19,2022-12-19,1,otros,0.0,0.0,405.19
2022-12-19,2022-12-26,2,harina,0.44810258997465163,182.17,406.54
2022-12-19,2022-12-26,2,azucar,0.3518930099760539,143.06,406.54
2022-12-19,2022-12-26,2,mantequilla,0.2000044000492945,81.31,406.54
