horizonte,modelo,insumo_id,mae_pp,n,excluidas
1,participacion_ewm,azucar,1.5480211472365664,12,1
1,participacion_ewm,harina,1.5480323988625628,12,1
1,participacion_ewm,mantequilla,0.00066867321794802,12,1
1,participacion_ewm,otros,0.0,12,1
1,participacion_historica,azucar,2.9614961389095824,12,1
1,participacion_historica,harina,2.9615340813487294,12,1
1,participacion_historica,mantequilla,0.0005779095255994959,12,1
1,participacion_historica,otros,0.0,12,1
2,participacion_ewm,azucar,2.4344937225992958,12,1
2,participacion_ewm,harina,2.434592904095481,12,1
2,participacion_ewm,mantequilla,0.000570792826405884,12,1
2,participacion_ewm,otros,0.0,12,1
2,participacion_historica,azucar,2.9643622241452086,12,1
2,participacion_historica,harina,2.9644152372982213,12,1
2,participacion_historica,mantequilla,0.0005881191121122805,12,1
2,participacion_historica,otros,0.0,12,1
3,participacion_ewm,azucar,3.3128277516654765,12,1
3,participacion_ewm,harina,3.312819906436293,12,1
3,participacion_ewm,mantequilla,0.0005540440378754933,12,1
3,participacion_ewm,otros,0.0,12,1
3,participacion_historica,azucar,3.087265669634153,12,1
3,participacion_historica,harina,3.0872993161967206,12,1
3,participacion_historica,mantequilla,0.0006036458799843954,12,1
3,participacion_historica,otros,0.0,12,1
4,participacion_ewm,azucar,4.16942577587641,12,1
4,participacion_ewm,harina,4.169456769634545,12,1
4,participacion_ewm,mantequilla,0.0006214156040210602,12,1
4,participacion_ewm,otros,0.0,12,1
4,participacion_historica,azucar,3.3283108660656446,12,1
4,participacion_historica,harina,3.328393643225469,12,1
4,participacion_historica,mantequilla,0.0005713899824455471,12,1
4,participacion_historica,otros,0.0,12,1
1,participacion_ewm,PROMEDIO_MACRO,0.7741805548292693,12,1
1,participacion_historica,PROMEDIO_MACRO,1.4809020324459778,12,1
2,participacion_ewm,PROMEDIO_MACRO,1.2174143548802956,12,1
2,participacion_historica,PROMEDIO_MACRO,1.4823413951388855,12,1
3,participacion_ewm,PROMEDIO_MACRO,1.6565504255349113,12,1
3,participacion_historica,PROMEDIO_MACRO,1.5437921579277145,12,1
4,participacion_ewm,PROMEDIO_MACRO,2.0848759902787437,12,1
4,participacion_historica,PROMEDIO_MACRO,1.6643189748183898,12,1
