etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento
validacion_interna,2022-08-08,2022-08-08,1,2021-08-09,2022-08-01
validacion_interna,2022-08-08,2022-08-15,2,2021-08-09,2022-08-01
validacion_interna,2022-08-08,2022-08-22,3,2021-08-09,2022-08-01
validacion_interna,2022-08-08,2022-08-29,4,2021-08-09,2022-08-01
validacion_interna,2022-08-15,2022-08-15,1,2021-08-16,2022-08-08
validacion_interna,2022-08-15,2022-08-22,2,2021-08-16,2022-08-08
validacion_interna,2022-08-15,2022-08-29,3,2021-08-16,2022-08-08
validacion_interna,2022-08-15,2022-09-05,4,2021-08-16,2022-08-08
validacion_interna,2022-08-22,2022-08-22,1,2021-08-23,2022-08-15
validacion_interna,2022-08-22,2022-08-29,2,2021-08-23,2022-08-15
validacion_interna,2022-08-22,2022-09-05,3,2021-08-23,2022-08-15
validacion_interna,2022-08-22,2022-09-12,4,2021-08-23,2022-08-15
validacion_interna,2022-08-29,2022-08-29,1,2021-08-30,2022-08-22
validacion_interna,2022-08-29,2022-09-05,2,2021-08-30,2022-08-22
validacion_interna,2022-08-29,2022-09-12,3,2021-08-30,2022-08-22
validacion_interna,2022-08-29,2022-09-19,4,2021-08-30,2022-08-22
validacion_interna,2022-09-05,2022-09-05,1,2021-09-06,2022-08-29
validacion_interna,2022-09-05,2022-09-12,2,2021-09-06,2022-08-29
validacion_interna,2022-09-05,2022-09-19,3,2021-09-06,2022-08-29
validacion_interna,2022-09-05,2022-09-26,4,2021-09-06,2022-08-29
validacion_interna,2022-09-12,2022-09-12,1,2021-09-13,2022-09-05
validacion_interna,2022-09-12,2022-09-19,2,2021-09-13,2022-09-05
validacion_interna,2022-09-12,2022-09-26,3,2021-09-13,2022-09-05
validacion_interna,2022-09-12,2022-10-03,4,2021-09-13,2022-09-05
validacion_interna,2022-09-19,2022-09-19,1,2021-09-20,2022-09-12
validacion_interna,2022-09-19,2022-09-26,2,2021-09-20,2022-09-12
validacion_interna,2022-09-19,2022-10-03,3,2021-09-20,2022-09-12
validacion_interna,2022-09-19,2022-10-10,4,2021-09-20,2022-09-12
validacion_interna,2022-09-26,2022-09-26,1,2021-09-27,2022-09-19
validacion_interna,2022-09-26,2022-10-03,2,2021-09-27,2022-09-19
validacion_interna,2022-09-26,2022-10-10,3,2021-09-27,2022-09-19
validacion_interna,2022-09-26,2022-10-17,4,2021-09-27,2022-09-19
evaluacion,2022-10-24,2022-10-24,1,2021-10-25,2022-10-17
evaluacion,2022-10-24,2022-10-31,2,2021-10-25,2022-10-17
evaluacion,2022-10-24,2022-11-07,3,2021-10-25,2022-10-17
evaluacion,2022-10-24,2022-11-14,4,2021-10-25,2022-10-17
evaluacion,2022-10-31,2022-10-31,1,2021-11-01,2022-10-24
evaluacion,2022-10-31,2022-11-07,2,2021-11-01,2022-10-24
evaluacion,2022-10-31,2022-11-14,3,2021-11-01,2022-10-24
evaluacion,2022-10-31,2022-11-21,4,2021-11-01,2022-10-24
evaluacion,2022-11-07,2022-11-07,1,2021-11-08,2022-10-31
evaluacion,2022-11-07,2022-11-14,2,2021-11-08,2022-10-31
evaluacion,2022-11-07,2022-11-21,3,2021-11-08,2022-10-31
evaluacion,2022-11-07,2022-11-28,4,2021-11-08,2022-10-31
evaluacion,2022-11-14,2022-11-14,1,2021-11-15,2022-11-07
evaluacion,2022-11-14,2022-11-21,2,2021-11-15,2022-11-07
evaluacion,2022-11-14,2022-11-28,3,2021-11-15,2022-11-07
evaluacion,2022-11-14,2022-12-05,4,2021-11-15,2022-11-07
evaluacion,2022-11-21,2022-11-21,1,2021-11-22,2022-11-14
evaluacion,2022-11-21,2022-11-28,2,2021-11-22,2022-11-14
evaluacion,2022-11-21,2022-12-05,3,2021-11-22,2022-11-14
evaluacion,2022-11-21,2022-12-12,4,2021-11-22,2022-11-14
evaluacion,2022-11-28,2022-11-28,1,2021-11-29,2022-11-21
evaluacion,2022-11-28,2022-12-05,2,2021-11-29,2022-11-21
evaluacion,2022-11-28,2022-12-12,3,2021-11-29,2022-11-21
evaluacion,2022-11-28,2022-12-19,4,2021-11-29,2022-11-21
evaluacion,2022-12-05,2022-12-05,1,2021-12-06,2022-11-28
evaluacion,2022-12-05,2022-12-12,2,2021-12-06,2022-11-28
evaluacion,2022-12-05,2022-12-19,3,2021-12-06,2022-11-28
evaluacion,2022-12-05,2022-12-26,4,2021-12-06,2022-11-28
evaluacion,2022-12-12,2022-12-12,1,2021-12-13,2022-12-05
evaluacion,2022-12-12,2022-12-19,2,2021-12-13,2022-12-05
evaluacion,2022-12-12,2022-12-26,3,2021-12-13,2022-12-05
evaluacion,2022-12-12,2023-01-02,4,2021-12-13,2022-12-05
evaluacion,2022-12-19,2022-12-19,1,2021-12-20,2022-12-12
evaluacion,2022-12-19,2022-12-26,2,2021-12-20,2022-12-12
evaluacion,2022-12-19,2023-01-02,3,2021-12-20,2022-12-12
evaluacion,2022-12-19,2023-01-09,4,2021-12-20,2022-12-12
evaluacion,2022-12-26,2022-12-26,1,2021-12-27,2022-12-19
evaluacion,2022-12-26,2023-01-02,2,2021-12-27,2022-12-19
evaluacion,2022-12-26,2023-01-09,3,2021-12-27,2022-12-19
evaluacion,2022-12-26,2023-01-16,4,2021-12-27,2022-12-19
evaluacion,2023-01-02,2023-01-02,1,2022-01-03,2022-12-26
evaluacion,2023-01-02,2023-01-09,2,2022-01-03,2022-12-26
evaluacion,2023-01-02,2023-01-16,3,2022-01-03,2022-12-26
evaluacion,2023-01-02,2023-01-23,4,2022-01-03,2022-12-26
evaluacion,2023-01-09,2023-01-09,1,2022-01-10,2023-01-02
evaluacion,2023-01-09,2023-01-16,2,2022-01-10,2023-01-02
evaluacion,2023-01-09,2023-01-23,3,2022-01-10,2023-01-02
evaluacion,2023-01-09,2023-01-30,4,2022-01-10,2023-01-02
evaluacion,2023-01-16,2023-01-16,1,2022-01-17,2023-01-09
evaluacion,2023-01-16,2023-01-23,2,2022-01-17,2023-01-09
evaluacion,2023-01-16,2023-01-30,3,2022-01-17,2023-01-09
evaluacion,2023-01-16,2023-02-06,4,2022-01-17,2023-01-09
