horizonte,stat,ml,peso,mse,n
1,ets,ridge_0.1,0.25,124.04642636044973,8
1,ets,ridge_0.1,0.5,430.25922877065375,8
1,ets,ridge_0.1,0.75,982.90556493267,8
1,ets,ridge_1,0.25,268.61913091858963,8
1,ets,ridge_1,0.5,530.1880438629737,8
1,ets,ridge_1,0.75,1034.64347850561,8
1,ets,ridge_10,0.25,638.978551211499,8
1,ets,ridge_10,0.5,729.557629611307,8
1,ets,ridge_10,0.75,1110.5599241563068,8
1,ets,rf,0.25,783.5304520058373,8
1,ets,rf,0.5,735.7618005810456,8
1,ets,rf,0.75,1068.580128194599,8
1,arima,ridge_0.1,0.25,204.29421956301962,8
1,arima,ridge_0.1,0.5,576.0404145666228,8
1,arima,ridge_0.1,0.75,1179.5057427128688,8
1,arima,ridge_1,0.25,422.2679466496743,8
1,arima,ridge_1,0.5,773.8372596969626,8
1,arima,ridge_1,0.75,1304.6446788143235,8
1,arima,ridge_10,0.25,951.1591395816422,8
1,arima,ridge_10,0.5,1184.582542297374,8
1,arima,ridge_10,0.75,1539.092897104079,8
1,arima,rf,0.25,1055.5585858853033,8
1,arima,rf,0.5,1137.2501072795426,8
1,arima,rf,0.75,1456.9606466516937,8
2,ets,ridge_0.1,0.25,1500.3392510793076,8
2,ets,ridge_0.1,0.5,5647.607055823063,8
2,ets,ridge_0.1,0.75,12601.186539523183,8
2,ets,ridge_1,0.25,1723.1837934473328,8
2,ets,ridge_1,0.5,5935.442971943085,8
2,ets,ridge_1,0.75,12814.740941520533,8
2,ets,ridge_10,0.25,3489.869029935115,8
2,ets,ridge_10,0.5,7833.708151430874,8
2,ets,ridge_10,0.75,14124.111042179058,8
2,ets,rf,0.25,2914.389915115426,8
2,ets,rf,0.5,7282.680581974538,8
2,ets,rf,0.75,13764.909844329286,8
2,arima,ridge_0.1,0.25,1339.8507719746094,8
2,arima,ridge_0.1,0.5,4806.628920997689,8
2,arima,ridge_0.1,0.75,10559.717572361158,8
2,arima,ridge_1,0.25,1538.421471121278,8
2,arima,ridge_1,0.5,5062.09971282257,8
2,arima,ridge_1,0.75,10748.998131137152,8
2,arima,ridge_10,0.25,3257.4269328353225,8
2,arima,ridge_10,0.5,6896.791859278708,8
2,arima,ridge_10,0.75,12010.688457021939,8
2,arima,rf,0.25,2657.5203999348137,8
2,arima,rf,0.5,6313.194399047945,8
2,arima,rf,0.75,11627.059841091346,8
3,ets,ridge_0.1,0.25,9336.528109761544,8
3,ets,ridge_0.1,0.5,12652.800056102478,8
3,ets,ridge_0.1,0.75,17137.189103536064,8
3,ets,ridge_1,0.25,11138.995119287358,8
3,ets,ridge_1,0.5,13930.50517048035,8
3,ets,ridge_1,0.75,17814.07188140533,8
3,ets,ridge_10,0.25,14637.359264880215,8
3,ets,ridge_10,0.5,16175.604966417042,8
3,ets,ridge_10,0.75,18893.050295477744,8
3,ets,rf,0.25,13830.857858986936,8
3,ets,rf,0.5,15419.396428858963,8
3,ets,rf,0.75,18405.675559884086,8
3,arima,ridge_0.1,0.25,8781.225652715362,8
3,arima,ridge_0.1,0.5,11239.050095195102,8
3,arima,ridge_0.1,0.75,14561.84659195249,8
3,arima,ridge_1,0.25,10781.462821495545,8
3,arima,ridge_1,0.5,12780.448755245465,8
3,arima,ridge_1,0.75,15436.499529076122,8
3,arima,ridge_10,0.25,14687.919986123981,8
3,arima,ridge_10,0.5,15569.672576562938,8
3,arima,ridge_10,0.75,16923.57096218412,8
3,arima,rf,0.25,14014.236159861935,8
3,arima,rf,0.5,14990.554145179827,8
3,arima,rf,0.75,16569.01380622169,8
4,ets,ridge_0.1,0.25,14791.427688346696,8
4,ets,ridge_0.1,0.5,16517.257104536406,8
4,ets,ridge_0.1,0.75,19554.517782028663,8
4,ets,ridge_1,0.25,15696.338631055682,8
4,ets,ridge_1,0.5,17093.22270996125,8
4,ets,ridge_1,0.75,19828.84640655051,8
4,ets,ridge_10,0.25,17444.82401963758,8
4,ets,ridge_10,0.5,18150.700350829153,8
4,ets,ridge_10,0.75,20303.495584557786,8
4,ets,rf,0.25,20124.653256039153,8
4,ets,rf,0.5,19942.266207430574,8
4,ets,rf,0.75,21201.785029025337,8
4,arima,ridge_0.1,0.25,14719.922184622272,8
4,arima,ridge_0.1,0.5,15871.88293565152,8
4,arima,ridge_0.1,0.75,17832.911786547287,8
4,arima,ridge_1,0.25,15865.021769413715,8
4,arima,ridge_1,0.5,16768.100063852984,8
4,arima,ridge_1,0.75,18347.429053151598,8
4,arima,ridge_10,0.25,17974.620078034193,8
4,arima,ridge_10,0.5,18307.06159810566,8
4,arima,ridge_10,0.75,19183.191151197454,8
4,arima,rf,0.25,20666.849498950087,8
4,arima,rf,0.5,20115.1610340595,8
4,arima,rf,0.75,20093.88078017933,8
