horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,3823.3868348442256,8
1,ss_ar1,hgb,0.5,3393.8398202885974,8
1,ss_ar1,hgb,0.75,3386.8443326584957,8
1,ss_ar1,rf,0.25,2974.422954197856,8
1,ss_ar1,rf,0.5,2694.8950641844954,8
1,ss_ar1,rf,0.75,2970.88753676985,8
1,ss_arima111,hgb,0.25,3183.3933239262424,8
1,ss_arima111,hgb,0.5,2147.6128302812917,8
1,ss_arima111,hgb,0.75,1568.1438953905297,8
1,ss_arima111,rf,0.25,2345.051466868508,8
1,ss_arima111,rf,0.5,1462.8307722953707,8
1,ss_arima111,rf,0.75,1162.8091230905193,8
2,ss_ar1,hgb,0.25,20549.986687405653,8
2,ss_ar1,hgb,0.5,18812.0510198828,8
2,ss_ar1,hgb,0.75,17948.570168150924,8
2,ss_ar1,rf,0.25,17138.53399092252,8
2,ss_ar1,rf,0.5,17155.908472909112,8
2,ss_ar1,rf,0.75,17429.578520004958,8
2,ss_arima111,hgb,0.25,21706.861009837303,8
2,ss_arima111,hgb,0.5,20535.936614793984,8
2,ss_arima111,hgb,0.75,19649.603985589514,8
2,ss_arima111,rf,0.25,17699.71657629178,8
2,ss_arima111,rf,0.5,18085.538418403783,8
2,ss_arima111,rf,0.75,18534.92060038116,8
3,ss_ar1,hgb,0.25,18063.35783214709,8
3,ss_ar1,hgb,0.5,17734.990360773452,8
3,ss_ar1,hgb,0.75,17781.06628727819,8
3,ss_ar1,rf,0.25,16816.15361125289,8
3,ss_ar1,rf,0.5,17158.322831680485,8
3,ss_ar1,rf,0.75,17620.133498483294,8
3,ss_arima111,hgb,0.25,18479.168722889168,8
3,ss_arima111,hgb,0.5,18439.172240313335,8
3,ss_arima111,hgb,0.75,18646.179253671602,8
3,ss_arima111,rf,0.25,17162.55157845316,8
3,ss_arima111,rf,0.5,17769.95414649796,8
3,ss_arima111,rf,0.75,18415.833541334898,8
4,ss_ar1,hgb,0.25,18831.100423299697,8
4,ss_ar1,hgb,0.5,18878.00549661404,8
4,ss_ar1,hgb,0.75,19388.830503092857,8
4,ss_ar1,rf,0.25,19241.919407992227,8
4,ss_ar1,rf,0.5,19592.97492651782,8
4,ss_ar1,rf,0.75,19966.860271432455,8
4,ss_arima111,hgb,0.25,19423.511729746726,8
4,ss_arima111,hgb,0.5,19700.070211884107,8
4,ss_arima111,hgb,0.75,20077.79072956195,8
4,ss_arima111,rf,0.25,19064.597342280475,8
4,ss_arima111,rf,0.5,19388.728478909517,8
4,ss_arima111,rf,0.75,19886.08712574278,8
