semana_inicio,estado
2021-05-03,registrada
2021-05-10,registrada
2021-05-17,registrada
2021-05-24,registrada
2021-05-31,registrada
2021-06-07,registrada
2021-06-14,registrada
2021-06-21,registrada
2021-06-28,desconocida
2021-07-05,desconocida
2021-07-12,registrada
2021-07-19,registrada
2021-07-26,registrada
2021-08-02,registrada
2021-08-09,registrada
2021-08-16,registrada
2021-08-23,desconocida
2021-08-30,registrada
2021-09-06,registrada
2021-09-13,registrada
2021-09-20,registrada
2021-09-27,registrada
2021-10-04,registrada
2021-10-11,registrada
2021-10-18,registrada
2021-10-25,registrada
2021-11-01,registrada
2021-11-08,registrada
2021-11-15,registrada
2021-11-22,registrada
2021-11-29,desconocida
2021-12-06,registrada
2021-12-13,registrada
2021-12-20,registrada
2021-12-27,registrada
2022-01-03,registrada
2022-01-10,registrada
2022-01-17,registrada
2022-01-24,registrada
2022-01-31,registrada
2022-02-07,registrada
2022-02-14,desconocida
2022-02-21,registrada
2022-02-28,registrada
2022-03-07,registrada
2022-03-14,registrada
2022-03-21,registrada
2022-03-28,registrada
2022-04-04,registrada
2022-04-11,registrada
2022-04-18,registrada
2022-04-25,registrada
2022-05-02,registrada
2022-05-09,registrada
2022-05-16,registrada
2022-05-23,registrada
2022-05-30,desconocida
2022-06-06,registrada
2022-06-13,registrada
2022-06-20,registrada
2022-06-27,registrada
2022-07-04,registrada
2022-07-11,registrada
2022-07-18,registrada
2022-07-25,registrada
2022-08-01,registrada
2022-08-08,registrada
2022-08-15,registrada
2022-08-22,registrada
2022-08-29,registrada
2022-09-05,registrada
2022-09-12,registrada
2022-09-19,desconocida
2022-09-26,registrada
2022-10-03,registrada
2022-10-10,registrada
2022-10-17,registrada
2022-10-24,registrada
2022-10-31,registrada
2022-11-07,registrada
2022-11-14,registrada
2022-11-21,registrada
2022-11-28,registrada
2022-12-05,registrada
2022-12-12,registrada
2022-12-19,registrada
2022-12-26,registrada
2023-01-02,registrada
2023-01-09,desconocida
2023-01-16,registrada
2023-01-23,registrada
2023-01-30,registrada
2023-02-06,registrada
2023-02-13,registrada
2023-02-20,registrada
2023-02-27,registrada
2023-03-06,desconocida
2023-03-13,registrada
2023-03-20,registrada
2023-03-27,registrada
2023-04-03,registrada
2023-04-10,registrada
2023-04-17,desconocida
2023-04-24,registrada
2023-05-01,registrada
2023-05-08,registrada
2023-05-15,registrada
2023-05-22,registrada
2023-05-29,desconocida
2023-06-05,desconocida
